"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
Cereais e leguminosas,"31,906","33,494","34,979","31,134","24,745","26,121","22,599"
   Cereais,"23,405","25,076","25,781","22,804","16,714","18,387","14,555"
      Arroz não especificado,"1,518","1,341","1,747","1,658","1,116","1,676","1,703"
      Arroz polido,"20,333","22,353","22,211","19,585","14,125","15,283","10,862"
      Milho em grão,"0,828","0,848","0,939","0,832","0,446","0,528","1,107"
      Milho verde em conserva,"0,126","0,045","0,118","0,173","0,231","0,289","0,308"
      Milho verde em espiga,"0,452","0,361","0,622","0,386","0,654","0,439","0,388"
      Outros,"0,147","0,128","0,144","0,170","0,143","0,172","0,187"
   Leguminosas,"8,501","8,419","9,198","8,330","8,031","7,734","8,043"
      Feijão-fradinho,"1,608","1,673","1,564","1,683","1,437","1,279","1,314"
      Feijão-jalo,"0,051","0,073","0,062","0,030","0,014","0,022","0,017"
      Feijão-manteiga,"0,049","0,050","0,053","0,043","0,092",-,"0,020"
      Feijão-mulatinho,"1,470","1,420","1,693","1,418","1,795","0,845","0,737"
      Feijão-preto,"0,578","0,502","0,517","0,608","0,693","0,892","1,039"
      Feijão-rajado,"3,160","2,928","3,550","3,177","2,654","3,753","3,735"
      Feijão-roxo,"0,006","0,004","0,010","0,002",-,"0,037",-
      Outros feijões,"0,966","1,194","1,118","0,716","0,669","0,440","0,661"
      Outras,"0,611","0,574","0,631","0,654","0,677","0,465","0,520"
Hortaliças,"21,124","15,143","20,568","23,195","29,489","30,628","47,018"
   Hortaliças folhosas e florais,"1,412","0,957","1,238","1,574","2,136","2,391","3,782"
      Acelga,"0,012","0,006","0,011","0,015","0,011","0,049","0,047"
      Agrião,"0,004","0,001",-,"0,001","0,010","0,020","0,059"
      Alface,"0,329","0,211","0,331","0,367","0,436","0,628","0,807"
      Cheiro-verde,"0,287","0,271","0,287","0,304","0,290","0,257","0,379"
      Couve,"0,130","0,055","0,094","0,155","0,304","0,301","0,429"
      Couve-brócolis,"0,033","0,004","0,012","0,031","0,084","0,121","0,314"
      Couve-flor,"0,022","0,009","0,009","0,034","0,032","0,060","0,113"
