"Alimento", "Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
Cereais e leguminosas,"26,245","28,839","24,925","27,899","23,508","26,650","22,963"
   Cereais,"20,017","22,068","18,899","21,501","17,721","20,071","17,359"
      Arroz não especificado,"1,763","2,071","1,112","1,766","1,822","1,855","2,283"
      Arroz polido,"17,050","18,964","16,811","18,672","14,600","16,760","12,996"
      Milho em grão,"0,663","0,712","0,520","0,524","0,790","0,694","1,144"
      Milho verde em conserva,"0,246","0,126","0,159","0,277","0,253","0,255","0,464"
      Milho verde em espiga,"0,189","0,140","0,186","0,159","0,169","0,374","0,271"
      Outros,"0,105","0,055","0,111","0,103","0,087","0,134","0,201"
   Leguminosas,"6,229","6,771","6,025","6,398","5,787","6,579","5,604"
      Feijão-fradinho,"0,083","0,027","0,215","0,051","0,084","0,095","0,040"
      Feijão-jalo,"0,096","0,077","0,097","0,129","0,068","0,065","0,073"
      Feijão-manteiga,"0,031","0,034","0,007","0,026","0,069","0,013","0,029"
      Feijão-mulatinho,"0,368","0,347","0,333","0,449","0,192","0,303","0,583"
      Feijão-preto,"1,524","1,845","1,638","1,529","1,324","1,880","0,824"
      Feijão-rajado,"2,813","3,252","2,621","2,842","3,079","2,631","1,902"
      Feijão-roxo,"0,030","0,077","0,002","0,029","0,004",-,"0,094"
      Outros feijões,"0,572","0,705","0,482","0,700","0,247","0,643","0,626"
      Outras,"0,712","0,408","0,632","0,644","0,720","0,949","1,433"
Hortaliças,"25,011","17,493","19,331","22,983","26,902","35,386","43,241"
   Hortaliças folhosas e florais,"2,893","1,800","2,045","2,534","3,057","4,561","5,952"
      Acelga,"0,059","0,016","0,008","0,034","0,050","0,174","0,250"
      Agrião,"0,071","0,040","0,048","0,053","0,081","0,112","0,190"
      Alface,"0,820","0,552","0,644","0,777","0,869","1,151","1,363"
      Cheiro-verde,"0,141","0,111","0,132","0,145","0,117","0,160","0,227"
      Couve,"0,417","0,347","0,371","0,400","0,406","0,506","0,634"
      Couve-brócolis,"0,196","0,067","0,096","0,125","0,220","0,388","0,673"
      Couve-flor,"0,171","0,061","0,087","0,118","0,189","0,452","0,432"
      Repolho,"0,694","0,432","0,432","0,624","0,839","1,173","1,167"
      Outras,"0,324","0,173","0,229","0,259","0,286","0,446","1,016"
   Hortaliças frutosas,"11,620","7,836","8,863","10,294","12,160","18,393","21,284"
      Abóbora,"1,171","0,923","1,225","0,959","1,209","1,375","2,122"
      Abobrinha,"0,534","0,452","0,334","0,376","0,510","0,925","1,405"
      Azeitona em conserva,"0,127","0,046","0,087","0,106","0,175","0,234","0,221"
      Berinjela,"0,290","0,082","0,138","0,174","0,298","0,472","1,244"
      Cebola,"2,821","1,835","2,075","2,555","3,114","4,661","4,629"
      Chuchu,"0,768","0,674","0,557","0,702","0,730","1,384","1,091"
      Jiló,"0,219","0,133","0,198","0,276","0,157","0,332","0,187"
      Maxixe,"0,041","0,103","0,058","0,027","0,014","0,045","0,013"
      Pepino fresco,"0,404","0,182","0,278","0,362","0,450","0,636","0,881"
      Pimentão,"0,427","0,203","0,285","0,370","0,487","0,822","0,811"
      Quiabo,"0,340","0,304","0,334","0,400","0,235","0,285","0,441"
      Tomate,"4,240","2,830","3,181","3,794","4,442","6,862","7,590"
      Vagem,"0,142","0,032","0,086","0,119","0,185","0,247","0,335"
      Outras,"0,099","0,037","0,028","0,073","0,154","0,113","0,313"
   Hortaliças tuberosas e outras,"10,498","7,857","8,423","10,155","11,684","12,432","16,005"
      Alho,"0,689","0,582","0,504","0,674","0,765","0,819","1,004"
      Batata-aipo,"0,114","0,080",-,"0,088","0,124","0,318","0,288"
      Batata-baroa,"0,099","0,038","0,040","0,084","0,101","0,244","0,231"
      Batata-doce,"0,831","0,355","0,699","0,840","0,900","0,779","1,761"
      Batata-inglesa,"4,464","3,802","4,114","4,211","5,171","4,745","5,519"
      Batata não especificada,"0,848","0,675","0,432","0,817","0,902","1,133","1,697"
      Beterraba,"0,447","0,286","0,278","0,491","0,441","0,548","0,784"
      Cará,"0,068","0,002","0,107","0,096","0,017","0,113","0,054"
      Cenoura,"1,641","1,178","1,233","1,514","1,816","2,278","2,760"
      Inhame,"0,273","0,144","0,271","0,312","0,275","0,261","0,337"
      Mandioca,"0,860","0,699","0,726","0,968","1,049","0,610","0,764"
      Outras,"0,163","0,018","0,019","0,060","0,124","0,584","0,805"
Frutas,"28,610","15,256","18,889","24,264","32,704","48,620","60,248"
   Frutas de clima tropical,"24,379","13,382","16,370","20,532","27,464","41,414","51,676"
      Abacate,"0,339","0,120","0,160","0,230","0,478","0,580","0,992"
      Abacaxi,"1,309","0,633","0,757","1,244","1,443","2,305","2,543"
      Acerola,"0,042","0,046","0,023","0,046","0,058","0,013","0,048"
      Banana-d'água,"3,300","2,496","2,732","2,984","3,930","4,092","4,964"
      Banana-da-terra,"0,267","0,246","0,432","0,181","0,222","0,434","0,279"
      Banana-maçã,"0,238","0,115","0,140","0,171","0,292","0,353","0,690"
      Banana-ouro,"0,007","0,005","0,003","0,012",-,"0,001","0,022"
      Banana-prata,"2,858","1,646","2,230","2,348","3,338","4,983","5,172"
      Outras bananas,"0,691","0,653","0,638","0,696","0,546","0,729","1,119"
      Goiaba,"0,238","0,165","0,205","0,170","0,269","0,445","0,442"
      Laranja-baía,"0,054","0,007","0,039","0,020","0,091","0,205","0,078"
      Laranja-lima,"0,825","0,326","0,728","0,890","1,057","0,758","1,144"
      Laranja-pera,"3,584","1,685","2,161","2,949","4,010","6,241","8,771"
      Laranja-seleta,"0,157","0,329","0,121","0,058","0,124","0,210","0,382"
      Outras laranjas,"0,775","0,653","0,355","0,799","0,770","0,886","1,600"
      Limão comum,"1,106","0,460","0,606","0,981","1,271","1,797","2,674"
      Mamão,"2,193","0,814","1,102","1,522","2,456","5,111","6,094"
      Manga,"1,440","0,763","1,002","1,073","1,744","2,846","2,964"
      Maracujá,"0,397","0,168","0,206","0,436","0,376","0,774","0,665"
      Melancia,"2,219","1,010","1,481","1,984","2,254","4,783","4,109"
      Melão,"0,821","0,240","0,228","0,504","1,077","1,468","3,139"
      Tangerina,"1,212","0,567","0,691","0,997","1,428","1,949","3,051"
      Outras,"0,309","0,237","0,329","0,238","0,229","0,451","0,735"
   Frutas de clima temperado,"4,231","1,875","2,519","3,732","5,240","7,206","8,572"
      Ameixa,"0,127","0,011","0,066","0,075","0,131","0,417","0,377"
      Caqui,"0,170","0,017","0,068","0,128","0,191","0,352","0,587"
      Maçã,"2,350","1,302","1,704","2,104","3,153","3,486","3,545"
      Morango,"0,175","0,041","0,084","0,178","0,202","0,269","0,423"
      Pera,"0,479","0,183","0,223","0,437","0,545","0,859","1,144"
      Pêssego,"0,181","0,035","0,094","0,137","0,176","0,439","0,549"
      Uva,"0,614","0,277","0,250","0,525","0,734","1,075","1,563"
      Outras,"0,134","0,008","0,029","0,147","0,107","0,310","0,384"
"Cocos, castanhas e nozes","0,346","0,148","0,156","0,201","0,330","0,641","1,418"
   Cocos,"0,287","0,138","0,141","0,189","0,264","0,536","1,050"
      Açaí (emulsão),"0,133","0,050","0,019","0,078","0,095","0,292","0,663"
      Coco-da-baía,"0,112","0,076","0,075","0,067","0,131","0,190","0,318"
      Outros,"0,042","0,012","0,047","0,045","0,038","0,055","0,069"
   Castanhas e nozes,"0,059","0,010","0,016","0,012","0,066","0,105","0,367"
"Farinhas, féculas e massas","8,203","7,721","7,352","7,955","8,012","9,441","10,959"
   Farinhas,"2,449","2,313","2,258","2,412","2,336","3,098","2,817"
      Farinha de mandioca,"0,587","0,832","0,739","0,597","0,371","0,514","0,375"
      Farinha de rosca,"0,094","0,027","0,040","0,107","0,131","0,098","0,171"
      Farinha de trigo,"1,657","1,409","1,406","1,603","1,737","2,382","1,909"
      Farinha vitaminada,"0,050","0,045","0,038","0,060","0,038","0,022","0,098"
      Outras,"0,060","0,001","0,034","0,045","0,058","0,081","0,264"
   Féculas,"1,880","1,835","1,591","1,721","1,798","2,195","3,083"
      Amido de milho,"0,070","0,024","0,070","0,072","0,039","0,114","0,163"
      Creme de arroz,"0,069","0,069","0,044","0,100","0,033","0,104","0,028"
      Creme de milho,"0,012","0,035","0,015","0,010","0,004",-,"0,007"
      Fécula de mandioca,"0,396","0,255","0,365","0,416","0,338","0,478","0,660"
      Flocos de aveia,"0,069","0,016","0,064","0,058","0,095","0,049","0,178"
      Flocos de milho,"0,392","0,235","0,097","0,177","0,513","0,957","1,328"
      Flocos de outros cereais,"0,085","0,035","0,036","0,089","0,086","0,079","0,250"
      Fubá de milho,"0,784","1,165","0,899","0,798","0,689","0,390","0,452"
      Outras,"0,003",-,-,-,"0,001","0,024","0,015"
   Massas,"3,874","3,573","3,503","3,822","3,878","4,149","5,059"
      Macarrão com ovos,"1,035","1,083","0,964","1,135","0,959","1,088","0,775"
      Macarrão não especificado,"1,276","1,448","1,279","1,218","1,177","0,866","1,856"
      Macarrão sem ovos,"0,606","0,707","0,535","0,652","0,568","0,472","0,597"
      Massa de lasanha,"0,271","0,197","0,151","0,207","0,374","0,467","0,484"
      Massa de pastel,"0,135","0,031","0,069","0,148","0,168","0,141","0,305"
      Massa de pizza,"0,266","0,052","0,325","0,233","0,268","0,518","0,406"
      Outras,"0,285","0,056","0,180","0,229","0,364","0,598","0,636"
Panificados,"18,170","13,735","15,524","17,678","19,236","22,335","26,567"
   Pães,"12,943","10,086","11,037","12,611","14,021","15,708","17,862"
      Pão caseiro,"0,124","0,053","0,123","0,128","0,149","0,136","0,166"
      Pão de forma de padaria,"0,067","0,021","0,034","0,089","0,036","0,120","0,132"
      Pão de forma industrializado,"1,053","0,538","0,633","0,909","1,276","1,791","2,154"
      Pão de milho,"0,055","0,020","0,026","0,048","0,069","0,081","0,142"
      Pão de queijo,"0,321","0,089","0,186","0,260","0,479","0,584","0,627"
      Pão doce,"0,959","0,453","0,644","0,870","1,019","1,745","1,913"
      Pão francês,"9,306","8,484","8,906","9,546","9,837","8,998","9,587"
      Pão integral,"0,445","0,084","0,221","0,306","0,550","1,085","1,233"
      Torrada,"0,128","0,036","0,055","0,114","0,137","0,237","0,355"
      Outros,"0,486","0,309","0,209","0,340","0,468","0,931","1,553"
   Bolos,"0,967","0,328","0,683","0,844","0,925","1,709","2,511"
"   Biscoitos, roscas, etc.","4,260","3,322","3,804","4,223","4,291","4,919","6,194"
      Biscoito doce,"2,060","1,548","1,791","2,114","2,073","2,083","3,184"
      Biscoito não especificado,"0,162","0,068","0,122","0,116","0,222","0,318","0,317"
      Biscoito salgado,"1,665","1,477","1,544","1,545","1,678","2,058","2,320"
      Rosca doce,"0,300","0,180","0,303","0,375","0,255","0,329","0,251"
      Rosca não especificada,"0,035","0,028","0,021","0,046","0,022","0,037","0,055"
      Rosca salgada,"0,009","0,017","0,010","0,006","0,005","0,011","0,012"
      Outros,"0,028","0,005","0,012","0,021","0,035","0,083","0,056"
Carnes,"19,660","13,475","16,281","19,827","22,998","22,918","25,502"
   Carnes bovinas de primeira,"4,842","1,943","3,007","4,604","6,147","7,192","9,192"
      Alcatra,"0,807","0,318","0,459","0,850","0,860","1,415","1,424"
      Carne moída,"0,347","0,174","0,211","0,293","0,469","0,467","0,748"
      Carne não especificada,"0,929","0,542","0,709","0,858","0,979","1,309","1,835"
      Chã de dentro,"0,768","0,292","0,486","0,906","0,943","1,145","0,775"
      Contrafilé,"1,000","0,238","0,703","0,855","1,651","1,400","1,661"
      Filé-mignon,"0,146","0,002","0,034","0,044","0,100","0,323","0,976"
      Lagarto comum,"0,292","0,212","0,189","0,308","0,419","0,303","0,267"
      Lagarto redondo,"0,018",-,"0,007","0,020","0,018","0,018","0,056"
      Patinho,"0,537","0,166","0,208","0,469","0,709","0,812","1,449"
   Carnes bovinas de segunda,"4,209","3,401","3,726","4,552","4,649","4,135","4,164"
