"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
Cereais e leguminosas,"22,345","22,879","27,770","23,545","19,155","19,154","18,035"
   Cereais,"17,528","17,480","22,065","18,776","14,901","14,862","13,449"
      Arroz não especificado,"0,966","0,472","0,984","1,196","0,823","1,087","0,899"
      Arroz polido,"14,702","15,576","19,325","15,770","12,161","11,286","10,458"
      Milho em grão,"0,739","0,647","0,691","0,648","0,760","1,094","0,934"
      Milho verde em conserva,"0,296","0,272","0,177","0,268","0,408","0,350","0,324"
      Milho verde em espiga,"0,320","0,290","0,296","0,361","0,213","0,508","0,293"
      Outros,"0,506","0,224","0,593","0,534","0,537","0,538","0,541"
   Leguminosas,"4,817","5,399","5,705","4,768","4,253","4,293","4,586"
      Feijão-fradinho,"0,020","0,012","0,007","0,032","0,028",-,-
      Feijão-jalo,"0,052","0,015","0,014","0,042","0,064","0,174","0,063"
      Feijão-manteiga,"0,060",-,"0,028","0,084","0,043","0,130","0,070"
      Feijão-mulatinho,"0,296","0,421","0,539","0,363","0,120","0,059","0,078"
      Feijão-preto,"2,735","3,381","3,393","2,778","2,334","1,998","2,210"
      Feijão-rajado,"0,589","0,472","0,692","0,607","0,522","0,628","0,636"
      Feijão-roxo,"0,001",-,"0,005",-,-,-,-
      Outros feijões,"0,311","0,258","0,426","0,212","0,408","0,396","0,264"
      Outras,"0,753","0,840","0,600","0,649","0,735","0,908","1,266"
Hortaliças,"31,333","25,882","24,967","31,653","30,277","36,186","48,435"
   Hortaliças folhosas e florais,"4,055","3,347","3,219","4,312","3,726","4,538","5,989"
      Acelga,"0,040","0,014","0,012","0,058","0,046","0,018","0,063"
      Agrião,"0,057","0,013","0,038","0,050","0,075","0,123","0,065"
      Alface,"1,209","1,085","1,043","1,275","1,099","1,326","1,588"
      Cheiro-verde,"0,250","0,137","0,169","0,274","0,287","0,324","0,279"
      Couve,"0,336","0,348","0,234","0,350","0,319","0,320","0,513"
      Couve-brócolis,"0,230","0,070","0,108","0,229","0,221","0,290","0,699"
      Couve-flor,"0,172","0,040","0,103","0,161","0,158","0,219","0,565"
      Repolho,"1,467","1,360","1,306","1,721","1,224","1,598","1,269"
      Outras,"0,295","0,280","0,205","0,193","0,297","0,321","0,948"
   Hortaliças frutosas,"12,303","10,017","9,231","11,416","12,344","15,635","22,223"
      Abóbora,"1,074","0,994","0,905","1,033","0,940","1,628","1,447"
      Abobrinha,"0,348","0,281","0,287","0,285","0,345","0,578","0,606"
      Azeitona em conserva,"0,097","0,042","0,048","0,081","0,152","0,134","0,160"
      Berinjela,"0,131","0,137","0,046","0,104","0,079","0,143","0,553"
      Cebola,"3,624","3,184","2,744","3,586","3,521","3,675","6,494"
      Chuchu,"0,709","0,345","0,751","0,627","0,798","0,897","1,152"
      Jiló,"0,022","0,031","0,015","0,018","0,018","0,062",-
      Maxixe,"0,000",-,-,-,-,"0,001",-
      Pepino fresco,"0,752","0,684","0,630","0,677","0,768","1,052","1,049"
      Pimentão,"0,321","0,150","0,187","0,294","0,338","0,614","0,595"
      Quiabo,"0,056","0,022","0,063","0,045","0,047","0,062","0,164"
      Tomate,"4,666","3,994","3,201","4,215","4,785","6,095","8,746"
      Vagem,"0,176","0,065","0,154","0,138","0,234","0,344","0,224"
      Outras,"0,328","0,088","0,201","0,315","0,320","0,350","1,033"
   Hortaliças tuberosas e outras,"14,975","12,518","12,517","15,925","14,207","16,012","20,223"
      Alho,"0,318","0,327","0,296","0,315","0,298","0,365","0,355"
      Batata-aipo,"0,112","0,056","0,079","0,069","0,055","0,387","0,302"
      Batata-baroa,"0,030","0,023","0,066","0,006","0,041","0,061","0,021"
      Batata-doce,"2,171","1,361","1,525","2,577","2,161","2,885","1,989"
      Batata-inglesa,"6,721","6,050","5,578","6,988","6,624","6,166","9,744"
      Batata não especificada,"0,891","0,584","0,937","0,778","0,684","1,041","2,269"
      Beterraba,"0,636","0,758","0,376","0,683","0,614","0,691","0,710"
      Cará,"0,006","0,031","0,008","0,002",-,-,-
      Cenoura,"1,522","0,840","1,023","1,580","1,400","1,989","3,136"
      Inhame,"0,018","0,016","0,010","0,009","0,004","0,041","0,086"
      Mandioca,"2,347","2,415","2,500","2,710","2,144","2,058","1,119"
      Outras,"0,203","0,057","0,120","0,209","0,182","0,329","0,494"
Frutas,"31,931","21,456","23,045","28,533","32,801","48,551","60,382"
   Frutas de clima tropical,"26,194","16,232","19,305","23,637","26,858","40,575","49,144"
      Abacate,"0,420","0,249","0,203","0,290","0,430","0,728","1,355"
      Abacaxi,"1,292","0,667","0,691","1,084","1,250","2,191","3,539"
      Acerola,"0,003",-,-,"0,001","0,013",-,-
      Banana-d'água,"4,995","4,685","4,787","4,980","4,841","5,905","5,324"
      Banana-da-terra,"0,055","0,043","0,040","0,091","0,012","0,017","0,105"
      Banana-maçã,"0,128","0,051","0,356","0,114","0,027","0,228","0,034"
      Banana-ouro,"0,005",-,"0,000","0,008","0,012",-,-
      Banana-prata,"2,473","1,044","1,472","2,105","2,613","3,871","6,474"
      Outras bananas,"0,633","0,498","0,619","0,506","0,680","0,801","1,160"
      Goiaba,"0,224","0,080","0,095","0,157","0,387","0,263","0,526"
      Laranja-baía,"0,544","0,170","0,456","0,522","0,575","0,940","0,872"
      Laranja-lima,"0,611","0,182","0,555","0,536","0,728","0,980","1,016"
      Laranja-pera,"2,204","1,750","1,667","2,129","1,845","3,761","3,495"
      Laranja-seleta,"0,093","0,016","0,037","0,234","0,012",-,-
      Outras laranjas,"0,855","0,742","0,700","0,916","0,690","1,472","0,768"
      Limão comum,"0,824","0,287","0,462","0,697","0,772","1,906","1,862"
      Mamão,"2,253","1,173","1,155","1,524","2,577","4,389","6,187"
      Manga,"1,493","0,666","0,924","1,146","1,812","2,221","3,854"
      Maracujá,"0,178","0,043","0,169","0,121","0,188","0,275","0,543"
      Melancia,"3,674","1,958","2,787","3,235","4,302","5,771","6,026"
      Melão,"0,953","0,460","0,417","0,594","0,956","2,309","2,889"
      Tangerina,"1,953","1,388","1,485","2,224","1,840","2,141","2,597"
      Outras,"0,332","0,080","0,227","0,425","0,298","0,407","0,517"
   Frutas de clima temperado,"5,737","5,225","3,739","4,896","5,943","7,977","11,239"
      Ameixa,"0,204","0,091","0,074","0,227","0,193","0,374","0,361"
      Caqui,"0,513","0,599","0,230","0,403","0,645","0,610","0,957"
      Maçã,"2,881","2,010","2,291","2,688","3,075","3,619","4,969"
      Morango,"0,285","0,051","0,113","0,184","0,320","0,661","0,945"
      Pera,"0,257","0,066","0,146","0,250","0,229","0,521","0,587"
      Pêssego,"0,479","0,213","0,226","0,408","0,496","0,843","1,268"
      Uva,"0,933","2,022","0,595","0,619","0,788","0,953","1,695"
      Outras,"0,184","0,172","0,066","0,118","0,199","0,395","0,456"
"Cocos, castanhas e nozes","0,438","0,210","0,226","0,390","0,490","0,830","0,843"
   Cocos,"0,170","0,031","0,114","0,085","0,198","0,533","0,394"
      Açaí (emulsão),"0,081",-,"0,003","0,033","0,085","0,429","0,169"
      Coco-da-baía,"0,046","0,022","0,070","0,014","0,055","0,038","0,176"
      Outros,"0,042","0,010","0,041","0,038","0,058","0,067","0,050"
   Castanhas e nozes,"0,268","0,178","0,112","0,305","0,292","0,296","0,448"
"Farinhas, féculas e massas","15,234","14,131","15,483","16,328","14,023","13,767","16,552"
   Farinhas,"8,078","7,946","8,323","9,292","6,969","6,446","7,123"
      Farinha de mandioca,"0,409","0,515","0,450","0,431","0,330","0,338","0,361"
      Farinha de rosca,"0,075","0,011","0,084","0,103","0,082","0,044","0,052"
      Farinha de trigo,"7,471","7,395","7,748","8,589","6,468","5,938","6,395"
      Farinha vitaminada,"0,024",-,"0,002","0,012","0,040","0,009","0,140"
      Outras,"0,098","0,025","0,038","0,157","0,049","0,117","0,176"
   Féculas,"2,154","1,844","1,933","2,118","1,998","2,046","3,854"
      Amido de milho,"0,127","0,051","0,082","0,135","0,121","0,227","0,199"
      Creme de arroz,"0,058","0,077","0,043","0,053","0,075","0,051","0,046"
      Creme de milho,-,-,-,-,-,-,-
      Fécula de mandioca,"0,414","0,209","0,324","0,437","0,414","0,420","0,821"
      Flocos de aveia,"0,061","0,003","0,085","0,040","0,086","0,101","0,091"
      Flocos de milho,"0,313","0,244","0,111","0,140","0,324","0,151","1,823"
      Flocos de outros cereais,"0,128","0,044","0,088","0,078","0,198","0,194","0,308"
      Fubá de milho,"1,049","1,204","1,199","1,230","0,781","0,904","0,566"
