"Alimento","Região Centro Oeste","Mato Grosso do Sul",Mato Grosso,Goiás,Distrito Federal
Cereais e leguminosas,"32,661","32,400","29,769","39,917","19,296"
   Cereais,"26,620","27,010","23,955","32,832","14,841"
      Arroz não especificado,"0,966","1,827","0,946","0,113","2,197"
      Arroz polido,"24,067","23,467","21,694","30,899","11,405"
      Milho em grão,"0,648","0,920","0,593","0,633","0,502"
      Milho verde em conserva,"0,261","0,418","0,298","0,166","0,297"
      Milho verde em espiga,"0,540","0,290","0,270","0,908","0,215"
      Outros,"0,139","0,088","0,155","0,113","0,225"
   Leguminosas,"6,041","5,390","5,814","7,086","4,455"
      Feijão-fradinho,"0,059","0,042","0,011","0,079","0,082"
      Feijão-jalo,"0,003",-,"0,013",-,-
      Feijão-manteiga,"0,048","0,024","0,009","0,097",-
      Feijão-mulatinho,"0,676","0,823","1,044","0,589","0,325"
      Feijão-preto,"0,465","0,706","0,451","0,213","0,853"
      Feijão-rajado,"3,743","2,370","3,511","4,972","2,383"
      Feijão-roxo,"0,065","0,005","0,002","0,129","0,040"
      Outros feijões,"0,435","0,699","0,409","0,408","0,289"
      Outras,"0,547","0,720","0,363","0,598","0,483"
Hortaliças,"25,946","28,734","22,020","28,734","21,415"
   Hortaliças folhosas e florais,"2,601","3,041","2,499","2,658","2,188"
      Acelga,"0,029","0,071","0,047","0,002","0,034"
      Agrião,"0,030","0,076","0,022","0,014","0,037"
      Alface,"0,846","0,989","0,687","0,983","0,581"
      Cheiro-verde,"0,174","0,136","0,155","0,188","0,200"
      Couve,"0,265","0,304","0,182","0,342","0,143"
      Couve-brócolis,"0,091","0,065","0,042","0,052","0,260"
      Couve-flor,"0,089","0,096","0,033","0,080","0,165"
      Repolho,"0,927","1,115","1,054","0,936","0,592"
      Outras,"0,150","0,189","0,277","0,061","0,176"
   Hortaliças frutosas,"12,970","13,058","9,996","15,169","11,161"
      Abóbora,"1,186","0,746","0,976","1,358","1,423"
      Abobrinha,"0,637","0,416","0,461","0,842","0,559"
      Azeitona em conserva,"0,162","0,122","0,099","0,187","0,213"
      Berinjela,"0,095","0,195","0,045","0,049","0,170"
      Cebola,"3,033","3,467","2,772","3,264","2,404"
      Chuchu,"0,575","0,347","0,317","0,704","0,773"
      Jiló,"0,377","0,140","0,231","0,673","0,071"
      Maxixe,"0,063","0,048","0,104","0,060","0,037"
      Pepino fresco,"0,478","0,501","0,493","0,509","0,371"
      Pimentão,"0,281","0,260","0,307","0,205","0,449"
      Quiabo,"0,293","0,304","0,172","0,389","0,198"
      Tomate,"5,583","6,261","3,785","6,764","4,272"
      Vagem,"0,097","0,069","0,119","0,079","0,137"
      Outras,"0,108","0,181","0,115","0,087","0,085"
   Hortaliças tuberosas e outras,"10,374","12,635","9,526","10,906","8,065"
      Alho,"0,627","0,692","0,890","0,557","0,432"
      Batata-aipo,"0,005",-,"0,004","0,004","0,011"
      Batata-baroa,"0,014","0,011",-,"0,003","0,060"
      Batata-doce,"1,287","1,093","1,093","1,479","1,237"
      Batata-inglesa,"3,877","4,204","3,347","4,366","3,045"
      Batata não especificada,"0,311","0,354","0,324","0,278","0,331"
      Beterraba,"0,459","0,573","0,461","0,462","0,345"
      Cará,"0,068","0,005","0,053","0,097","0,076"
      Cenoura,"1,595","1,758","1,182","1,867","1,285"
      Inhame,"0,067","0,020","0,027","0,098","0,081"
      Mandioca,"1,917","3,831","2,061","1,530","0,925"
      Outras,"0,149","0,095","0,082","0,164","0,237"
Frutas,"27,136","26,432","24,155","27,460","30,415"
   Frutas de clima tropical,"23,618","23,142","20,968","23,968","26,252"
      Abacate,"0,305","0,207","0,233","0,372","0,323"
      Abacaxi,"1,416","1,586","0,940","1,716","1,107"
      Acerola,"0,053","0,166","0,038","0,040",-
      Banana-d'água,"2,207","4,864","2,523","1,120","1,982"
      Banana-da-terra,"0,317","0,338","0,611","0,258","0,103"
      Banana-maçã,"1,030","0,712","1,193","1,430","0,200"
      Banana-ouro,"0,009",-,-,"0,010","0,024"
      Banana-prata,"2,126","0,345","0,417","2,729","4,278"
      Outras bananas,"1,105","0,495","0,809","1,459","1,168"
      Goiaba,"0,222","0,163","0,261","0,141","0,419"
      Laranja-baía,"0,037",-,"0,145",-,"0,032"
      Laranja-lima,"0,644","0,369","0,864","0,737","0,421"
      Laranja-pera,"2,444","3,705","2,189","1,814","3,064"
      Laranja-seleta,"0,138","0,086","0,169","0,180","0,048"
      Outras laranjas,"1,472","1,023","0,737","2,013","1,454"
      Limão comum,"0,814","0,822","0,475","0,863","1,078"
      Mamão,"1,628","1,915","0,870","1,544","2,431"
      Manga,"0,813","0,502","0,427","0,802","1,558"
      Maracujá,"0,441","0,147","0,122","0,589","0,729"
      Melancia,"3,865","3,974","4,990","3,748","2,758"
      Melão,"0,984","0,942","0,756","0,927","1,415"
      Tangerina,"0,935","0,542","1,156","0,845","1,250"
      Outras,"0,612","0,239","1,041","0,633","0,412"
   Frutas de clima temperado,"3,518","3,290","3,187","3,492","4,163"
      Ameixa,"0,132","0,103","0,117","0,133","0,173"
      Caqui,"0,147","0,165","0,234","0,141","0,045"
      Maçã,"2,090","2,153","1,881","1,948","2,601"
      Morango,"0,121","0,141","0,127","0,095","0,153"
      Pera,"0,335","0,173","0,375","0,361","0,376"
      Pêssego,"0,072","0,090","0,118","0,042","0,075"
      Uva,"0,544","0,417","0,320","0,703","0,542"
      Outras,"0,078","0,048","0,016","0,069","0,198"
