"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
Cereais e leguminosas,"31,906","60,644","52,584","32,600","25,154","23,684","23,164","23,734","20,863","26,219"
   Cereais,"23,405","54,599","45,301","24,990","14,510","14,835","14,809","15,864","13,192","15,977"
      Arroz não especificado,"1,518","2,892","0,463","2,210","2,286","1,364","1,057","1,282","2,187","0,784"
      Arroz polido,"20,333","49,580","41,744","21,520","10,591","11,409","12,257","13,978","9,675","13,941"
      Milho em grão,"0,828","1,478","1,057","0,773","0,635","1,010","0,611","0,346","0,840","0,745"
      Milho verde em conserva,"0,126","0,070","0,206","0,075","0,079","0,123","0,157","0,040","0,065","0,187"
      Milho verde em espiga,"0,452","0,345","1,718","0,098","0,823","0,786","0,571","0,125","0,341","0,280"
      Outros,"0,147","0,234","0,113","0,315","0,096","0,142","0,156","0,092","0,085","0,041"
   Leguminosas,"8,501","6,045","7,283","7,610","10,644","8,849","8,355","7,870","7,670","10,242"
      Feijão-fradinho,"1,608","0,787","2,389","3,741","1,263","1,605","1,866","0,750","0,214","0,842"
      Feijão-jalo,"0,051","0,174","0,265",-,"0,224","0,008",-,-,-,-
      Feijão-manteiga,"0,049","0,107","0,111","0,089",-,-,-,"0,087",-,"0,040"
      Feijão-mulatinho,"1,470","1,012","1,142","0,673","1,009","1,567","1,976","1,447","1,012","2,082"
      Feijão-preto,"0,578","0,808","0,207","0,364","1,915","0,975","0,777","0,108","0,119","0,312"
      Feijão-rajado,"3,160","1,362","1,618","1,256","2,508","2,855","2,841","4,320","3,430","5,656"
      Feijão-roxo,"0,006","0,025",-,"0,008",-,-,-,"0,021",-,-
      Outros feijões,"0,966","1,229","1,141","1,274","1,877","0,983","0,476","0,955","2,286","0,510"
      Outras,"0,611","0,542","0,410","0,205","1,847","0,857","0,418","0,182","0,609","0,800"
Hortaliças,"21,124","13,306","21,261","13,137","20,296","17,708","25,298","18,794","37,171","26,192"
   Hortaliças folhosas e florais,"1,412","1,041","1,932","1,233","1,252","0,965","1,324","0,695","2,207","1,834"
      Acelga,"0,012","0,008",-,"0,003","0,018","0,003","0,043","0,007","0,006","0,007"
      Agrião,"0,004","0,002",-,-,"0,006","0,002","0,008",-,"0,004","0,007"
      Alface,"0,329","0,168","0,320","0,193","0,290","0,298","0,371","0,230","0,594","0,464"
      Cheiro-verde,"0,287","0,309","1,088","0,693","0,191","0,032","0,071","0,056","0,111","0,160"
      Couve,"0,130","0,031","0,036","0,048","0,061","0,115","0,137","0,031","0,487","0,230"
      Couve-brócolis,"0,033","0,014","0,028","0,015","0,067","0,032","0,029","0,004","0,023","0,056"
      Couve-flor,"0,022","0,004","0,015","0,019","0,026","0,026","0,015","0,012","0,003","0,043"
