"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
Cereais e leguminosas,"26,245","30,760","20,677","27,731","24,082"
   Cereais,"20,017","23,979","16,039","19,993","18,540"
      Arroz não especificado,"1,763","2,232","1,782","2,230","1,369"
      Arroz polido,"17,050","20,219","12,702","16,960","15,997"
      Milho em grão,"0,663","0,805","0,901","0,420","0,668"
      Milho verde em conserva,"0,246","0,346","0,281","0,176","0,223"
      Milho verde em espiga,"0,189","0,303","0,111","0,112","0,173"
      Outros,"0,105","0,075","0,262","0,094","0,110"
   Leguminosas,"6,229","6,781","4,639","7,739","5,542"
      Feijão-fradinho,"0,083","0,213","0,010","0,121","0,015"
      Feijão-jalo,"0,096","0,239","0,201","0,149",-
      Feijão-manteiga,"0,031","0,009","0,005","0,025","0,046"
      Feijão-mulatinho,"0,368","0,350","0,012","0,110","0,505"
      Feijão-preto,"1,524","0,590","2,042","6,058","0,201"
      Feijão-rajado,"2,813","4,002","1,520","0,211","3,357"
      Feijão-roxo,"0,030","0,052","0,022",-,"0,031"
      Outros feijões,"0,572","0,711","0,545","0,502","0,537"
      Outras,"0,712","0,615","0,282","0,563","0,851"
Hortaliças,"25,011","27,268","18,694","21,840","25,714"
   Hortaliças folhosas e florais,"2,893","2,884","1,844","2,344","3,196"
      Acelga,"0,059","0,014",-,-,"0,108"
      Agrião,"0,071","0,026","0,011","0,136","0,073"
      Alface,"0,820","0,887","0,474","0,574","0,911"
      Cheiro-verde,"0,141","0,154","0,158","0,140","0,134"
      Couve,"0,417","0,660","0,345","0,370","0,328"
      Couve-brócolis,"0,196","0,106","0,096","0,173","0,255"
      Couve-flor,"0,171","0,086","0,106","0,211","0,200"
      Repolho,"0,694","0,680","0,571","0,550","0,766"
      Outras,"0,324","0,270","0,083","0,191","0,421"
   Hortaliças frutosas,"11,620","12,687","8,751","8,975","12,375"
      Abóbora,"1,171","1,957","0,867","0,907","0,934"
      Abobrinha,"0,534","0,397","0,257","0,481","0,641"
      Azeitona em conserva,"0,127","0,115","0,114","0,095","0,145"
      Berinjela,"0,290","0,132","0,041","0,133","0,443"
      Cebola,"2,821","2,515","2,042","2,659","3,091"
      Chuchu,"0,768","1,140","0,864","0,636","0,637"
      Jiló,"0,219","0,272","0,366","0,112","0,222"
      Maxixe,"0,041","0,123","0,019","0,025","0,010"
      Pepino fresco,"0,404","0,300","0,326","0,184","0,542"
      Pimentão,"0,427","0,404","0,302","0,397","0,461"
      Quiabo,"0,340","0,598","0,191","0,154","0,304"
      Tomate,"4,240","4,604","3,280","3,041","4,607"
      Vagem,"0,142","0,086","0,069","0,101","0,189"
      Outras,"0,099","0,045","0,012","0,051","0,149"
   Hortaliças tuberosas e outras,"10,498","11,697","8,098","10,521","10,143"
      Alho,"0,689","0,585","0,670","0,964","0,635"
      Batata-aipo,"0,114","0,032","0,004","0,015","0,199"
      Batata-baroa,"0,099","0,161","0,019","0,115","0,071"
      Batata-doce,"0,831","0,740","0,673","0,937","0,846"
      Batata-inglesa,"4,464","5,411","3,677","4,636","4,029"
      Batata não especificada,"0,848","0,547","0,234","0,599","1,135"
      Beterraba,"0,447","0,559","0,154","0,414","0,434"
      Cará,"0,068","0,111",-,"0,001","0,080"
      Cenoura,"1,641","1,858","0,974","1,589","1,619"
      Inhame,"0,273","0,407","0,671","0,467","0,103"
      Mandioca,"0,860","1,226","0,953","0,690","0,747"
      Outras,"0,163","0,058","0,068","0,092","0,246"
