"Alimento","Região Sul",Paraná,Santa Catarina,Rio Grande do sul
Cereais e leguminosas,"22,345","23,114","20,896","22,477"
   Cereais,"17,528","17,881","16,568","17,773"
      Arroz não especificado,"0,966","1,228","0,757","0,832"
      Arroz polido,"14,702","14,976","13,491","15,181"
      Milho em grão,"0,739","0,964","0,695","0,541"
      Milho verde em conserva,"0,296","0,330","0,372","0,214"
      Milho verde em espiga,"0,320","0,210","0,368","0,400"
      Outros,"0,506","0,172","0,884","0,605"
   Leguminosas,"4,817","5,233","4,328","4,704"
      Feijão-fradinho,"0,020","0,027","0,009","0,020"
      Feijão-jalo,"0,052","0,015","0,113","0,052"
      Feijão-manteiga,"0,060","0,157",-,-
      Feijão-mulatinho,"0,296","0,549","0,100","0,164"
      Feijão-preto,"2,735","2,058","2,801","3,373"
      Feijão-rajado,"0,589","1,062","0,361","0,258"
      Feijão-roxo,"0,001",-,-,"0,002"
      Outros feijões,"0,311","0,552","0,217","0,128"
      Outras,"0,753","0,813","0,727","0,708"
Hortaliças,"31,333","26,100","35,131","34,208"
   Hortaliças folhosas e florais,"4,055","3,316","4,392","4,586"
      Acelga,"0,040","0,071","0,057",-
      Agrião,"0,057","0,048","0,058","0,065"
      Alface,"1,209","0,927","1,221","1,483"
      Cheiro-verde,"0,250","0,201","0,294","0,270"
      Couve,"0,336","0,364","0,256","0,357"
      Couve-brócolis,"0,230","0,170","0,170","0,328"
      Couve-flor,"0,172","0,148","0,209","0,173"
      Repolho,"1,467","1,191","1,749","1,569"
      Outras,"0,295","0,197","0,378","0,340"
   Hortaliças frutosas,"12,303","11,234","12,689","13,133"
      Abóbora,"1,074","0,801","0,919","1,444"
      Abobrinha,"0,348","0,503","0,351","0,190"
      Azeitona em conserva,"0,097","0,163","0,071","0,048"
      Berinjela,"0,131","0,189","0,121","0,079"
      Cebola,"3,624","3,061","3,593","4,205"
      Chuchu,"0,709","0,536","0,983","0,713"
      Jiló,"0,022","0,056","0,001",-
      Maxixe,"0,000",-,"0,000",-
      Pepino fresco,"0,752","0,943","0,856","0,495"
      Pimentão,"0,321","0,236","0,346","0,391"
      Quiabo,"0,056","0,127","0,018","0,007"
      Tomate,"4,666","4,104","4,845","5,117"
      Vagem,"0,176","0,155","0,255","0,149"
      Outras,"0,328","0,359","0,331","0,294"
   Hortaliças tuberosas e outras,"14,975","11,550","18,049","16,489"
      Alho,"0,318","0,527","0,235","0,159"
      Batata-aipo,"0,112","0,153","0,119","0,066"
      Batata-baroa,"0,030","0,062","0,006","0,013"
      Batata-doce,"2,171","1,390","2,805","2,558"
      Batata-inglesa,"6,721","4,279","8,455","8,086"
