"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
Cereais e leguminosas,"32,661","34,995","41,218","32,755","30,327","26,820","23,833"
   Cereais,"26,620","29,316","33,526","27,141","24,468","21,474","17,690"
      Arroz não especificado,"0,966","1,360","0,218","0,906","0,608","1,270","2,127"
      Arroz polido,"24,067","27,033","32,294","24,800","21,730","18,182","12,879"
      Milho em grão,"0,648","0,667","0,468","0,520","0,780","0,531","1,186"
      Milho verde em conserva,"0,261","0,115","0,245","0,279","0,242","0,161","0,506"
      Milho verde em espiga,"0,540","0,107","0,269","0,520","0,894","1,210","0,585"
      Outros,"0,139","0,034","0,032","0,116","0,213","0,121","0,407"
   Leguminosas,"6,041","5,678","7,693","5,613","5,858","5,346","6,142"
      Feijão-fradinho,"0,059",-,"0,132","0,065","0,014",-,"0,112"
      Feijão-jalo,"0,003",-,"0,017",-,-,-,-
      Feijão-manteiga,"0,048","0,244","0,034","0,020",-,"0,020",-
      Feijão-mulatinho,"0,676","0,675","0,984","0,768","0,706","0,358","0,077"
      Feijão-preto,"0,465","0,225","0,586","0,381","0,359","0,740","0,849"
      Feijão-rajado,"3,743","3,592","5,164","3,661","3,589","3,273","2,598"
      Feijão-roxo,"0,065","0,003","0,013","0,019","0,291","0,021","0,055"
      Outros feijões,"0,435","0,322","0,178","0,358","0,349","0,475","1,325"
      Outras,"0,547","0,617","0,585","0,341","0,549","0,458","1,127"
Hortaliças,"25,946","14,220","24,495","23,436","26,536","33,492","45,581"
   Hortaliças folhosas e florais,"2,601","1,340","1,722","2,648","2,970","3,976","3,939"
      Acelga,"0,029",-,"0,001","0,014","0,064","0,109","0,050"
      Agrião,"0,030",-,"0,046","0,023","0,060","0,017","0,034"
      Alface,"0,846","0,417","0,526","0,902","0,895","1,364","1,286"
      Cheiro-verde,"0,174","0,181","0,134","0,159","0,189","0,323","0,158"
      Couve,"0,265","0,264","0,218","0,262","0,239","0,333","0,342"
      Couve-brócolis,"0,091","0,064","0,027","0,036","0,135","0,077","0,341"
      Couve-flor,"0,089",-,"0,024","0,054","0,142","0,088","0,332"
      Repolho,"0,927","0,331","0,666","1,046","1,101","1,491","1,066"
      Outras,"0,150","0,084","0,081","0,150","0,145","0,174","0,330"
   Hortaliças frutosas,"12,970","7,337","12,081","11,326","14,496","16,943","21,980"
      Abóbora,"1,186","0,582","1,884","1,125","1,073","0,948","1,448"
      Abobrinha,"0,637","0,363","0,612","0,644","0,811","0,641","0,735"
      Azeitona em conserva,"0,162","0,042","0,103","0,126","0,210","0,372","0,309"
      Berinjela,"0,095","0,031","0,045","0,035","0,105","0,236","0,341"
      Cebola,"3,033","2,102","2,276","2,578","3,240","3,808","6,037"
      Chuchu,"0,575","0,279","0,645","0,445","0,627","1,018","0,901"
      Jiló,"0,377","0,315","0,519","0,466","0,312","0,090","0,246"
      Maxixe,"0,063",-,"0,192","0,064","0,049","0,002","0,011"
