"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
Cereais e leguminosas,"26,644","26,773","28,141","25,785","27,033","24,221","23,900"
   Cereais,"21,324","21,531","22,810","20,342","21,411","19,304","19,389"
      Arroz não especificado,"1,971","2,500","1,705","1,644","1,441","1,751","2,271"
      Arroz polido,"17,942","17,845","19,637","16,937","18,648","16,485","15,873"
      Milho em grão,"0,840","0,751","1,035","0,894","0,658","0,665","0,868"
      Milho verde em conserva,"0,135","0,099","0,096","0,175","0,185","0,241","0,208"
      Milho verde em espiga,"0,180","0,032","0,152","0,450","0,106","0,028","0,104"
      Outros,"0,257","0,304","0,185","0,243","0,372","0,133","0,063"
   Leguminosas,"5,320","5,242","5,331","5,442","5,622","4,916","4,511"
      Feijão-fradinho,"0,160","0,193","0,112","0,176","0,029","0,072","0,461"
      Feijão-jalo,"0,211","0,296","0,174","0,094","0,272","0,267","0,264"
      Feijão-manteiga,"0,096","0,110","0,066","0,143","0,020","0,034",-
      Feijão-mulatinho,"0,482","0,535","0,557","0,518","0,239","0,060","0,234"
      Feijão-preto,"0,806","0,600","0,688","1,115","0,789","0,711","1,497"
      Feijão-rajado,"2,282","2,038","2,529","2,461","2,358","2,847","1,032"
      Feijão-roxo,"0,005","0,012",-,-,-,"0,025",-
      Outros feijões,"0,938","1,094","0,802","0,704","1,491","0,636","0,635"
      Outras,"0,339","0,365","0,403","0,231","0,423","0,265","0,389"
Hortaliças,"11,594","7,334","11,335","13,024","15,824","19,386","30,918"
   Hortaliças folhosas e florais,"1,367","0,735","1,235","1,653","1,900","2,539","4,508"
      Acelga,"0,017","0,005","0,010","0,008","0,086","0,005","0,075"
      Agrião,"0,003",-,-,-,"0,017",-,"0,039"
      Alface,"0,197","0,097","0,206","0,221","0,244","0,321","0,893"
      Cheiro-verde,"0,351","0,241","0,301","0,411","0,452","0,607","0,921"
      Couve,"0,212","0,109","0,237","0,206","0,278","0,338","1,015"
      Couve-brócolis,"0,046","0,003","0,008","0,031","0,064","0,548","0,393"
      Couve-flor,"0,017","0,004","0,002","0,011","0,097","0,006","0,088"
      Repolho,"0,376","0,222","0,271","0,548","0,558","0,488","0,717"
      Outras,"0,148","0,054","0,200","0,218","0,106","0,226","0,367"
   Hortaliças frutosas,"6,041","4,039","5,866","6,570","8,039","9,378","17,173"
      Abóbora,"0,419","0,210","0,354","0,520","0,391","1,717","1,203"
      Abobrinha,"0,061","0,009","0,076","0,093","0,012",-,"0,557"
      Azeitona em conserva,"0,042","0,035","0,021","0,042","0,098","0,050","0,083"
      Berinjela,"0,034","0,020","0,063","0,035","0,007",-,"0,130"
      Cebola,"2,300","1,847","2,279","2,375","3,245","2,395","4,195"
      Chuchu,"0,106","0,028","0,095","0,104","0,101","0,167","1,152"
      Jiló,"0,036","0,018","0,084","0,025","0,060",-,-
      Maxixe,"0,082","0,040","0,068","0,131","0,064","0,104","0,296"
      Pepino fresco,"0,330","0,144","0,327","0,406","0,446","0,908","0,937"
      Pimentão,"0,269","0,174","0,194","0,238","0,476","0,726","1,081"
      Quiabo,"0,055","0,030","0,063","0,080","0,029","0,028","0,212"
      Tomate,"2,132","1,395","2,102","2,319","2,800","2,842","6,857"
      Vagem,"0,016",-,"0,022","0,013","0,013","0,025","0,202"
      Outras,"0,158","0,088","0,119","0,189","0,300","0,416","0,268"
   Hortaliças tuberosas e outras,"4,186","2,560","4,235","4,801","5,885","7,469","9,237"
      Alho,"0,328","0,258","0,312","0,344","0,500","0,407","0,512"
      Batata-aipo,"0,010",-,"0,041",-,"0,007",-,"0,014"
      Batata-baroa,"0,005",-,"0,012","0,005","0,008",-,-
      Batata-doce,"0,294","0,149","0,195","0,438","0,419","0,710","0,601"
      Batata-inglesa,"1,433","0,895","1,367","1,456","2,458","3,201","3,070"
      Batata não especificada,"0,323","0,121","0,347","0,480","0,466","0,427","0,641"
      Beterraba,"0,169","0,121","0,211","0,197","0,214","0,100","0,144"
      Cará,"0,059","0,077","0,018","0,058","0,014","0,087","0,246"
      Cenoura,"0,713","0,363","0,594","0,861","1,311","1,487","1,734"
      Inhame,"0,039","0,014","0,053","0,071","0,011","0,083",-
      Mandioca,"0,751","0,548","1,014","0,764","0,448","0,934","2,107"
      Outras,"0,062","0,012","0,070","0,125","0,031","0,032","0,168"
Frutas,"13,851","7,799","12,530","14,380","19,698","42,045","43,450"
   Frutas de clima tropical,"12,374","7,006","11,224","12,776","17,366","38,636","38,343"
      Abacate,"0,287","0,262","0,141","0,391","0,322","0,601","0,183"
      Abacaxi,"0,846","0,327","0,551","1,216","1,226","2,024","3,401"
      Acerola,"0,175","0,022","0,147","0,192","0,455","0,891","0,391"
      Banana-d'água,"0,585","0,397","0,797","0,492","1,010","0,776","0,720"
      Banana-da-terra,"0,583","0,548","0,546","0,572","0,504","0,977","1,224"
      Banana-maçã,"0,245","0,213","0,296","0,233","0,214","0,374","0,363"
      Banana-ouro,"0,001",-,-,"0,004",-,-,-
      Banana-prata,"2,057","1,016","2,002","2,217","3,161","6,619","5,251"
      Outras bananas,"0,639","0,527","0,464","0,704","0,670","0,788","2,422"
      Goiaba,"0,194","0,063","0,140","0,140","0,409","1,477","0,587"
      Laranja-baía,"0,005",-,"0,010",-,-,-,"0,093"
      Laranja-lima,"0,274","0,164","0,268","0,175","0,631","1,082","0,533"
      Laranja-pera,"0,868","0,332","0,198","0,465","0,963","9,608","6,010"
      Laranja-seleta,"0,169","0,077","0,067","0,337","0,126","0,601","0,121"
      Outras laranjas,"0,735","0,440","0,523","0,798","0,860","3,291","2,071"
      Limão comum,"0,579","0,248","0,511","0,790","0,792","1,634","1,342"
      Mamão,"0,556","0,275","0,346","0,405","1,288","1,846","3,137"
      Manga,"0,288","0,140","0,432","0,273","0,195","0,156","1,752"
      Maracujá,"0,202","0,097","0,248","0,223","0,319","0,241","0,572"
      Melancia,"2,070","1,173","2,587","2,063","2,855","4,065","4,913"
      Melão,"0,461","0,264","0,561","0,402","0,601","0,650","2,120"
      Tangerina,"0,201","0,110","0,136","0,179","0,370","0,779","0,813"
      Outras,"0,354","0,311","0,251","0,504","0,394","0,155","0,324"
   Frutas de clima temperado,"1,477","0,793","1,307","1,604","2,333","3,409","5,107"
      Ameixa,"0,016","0,001","0,005","0,031","0,052",-,"0,051"
      Caqui,"0,023","0,009","0,022","0,019","0,060",-,"0,158"
      Maçã,"1,006","0,601","0,825","1,164","1,533","1,897","3,151"
      Morango,"0,043","0,006","0,014","0,060","0,058","0,229","0,312"
      Pera,"0,107","0,018","0,110","0,115","0,277","0,272","0,370"
      Pêssego,"0,004","0,001","0,014",-,"0,003","0,010",-
      Uva,"0,268","0,149","0,314","0,205","0,344","0,944","1,033"
      Outras,"0,010","0,007","0,002","0,011","0,007","0,057","0,033"
"Cocos, castanhas e nozes","9,530","7,503","9,343","10,859","15,314","10,455","3,701"
   Cocos,"9,478","7,436","9,326","10,856","15,303","10,315","3,083"
      Açaí (emulsão),"9,290","7,275","9,149","10,632","15,058","10,108","3,023"
      Coco-da-baía,"0,047","0,048","0,012","0,093","0,012","0,008","0,012"
      Outros,"0,141","0,113","0,164","0,131","0,233","0,199","0,048"
   Castanhas e nozes,"0,052","0,067","0,017","0,003","0,011","0,140","0,617"
"Farinhas, féculas e massas","17,889","17,576","18,786","17,224","20,880","16,036","13,888"
