"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"Cereais e leguminosas","27.757","30.505","30.086","28.189","23.585","24.992","22.252","","","","",""
"   Cereais","21.203","23.359","22.985","21.749","17.779","18.881","16.473","","","","",""
"      Arroz não especificado","1.539","1.634","1.306","1.571","1.394","1.623","1.959","","","","",""
"      Arroz polido","18.224","20.483","20.277","18.804","14.865","15.569","12.398","","","","",""
"      Milho em grão","0.733","0.772","0.727","0.639","0.725","0.735","1.100","","","","",""
"      Milho verde em conserva","0.212","0.096","0.147","0.245","0.276","0.270","0.417","","","","",""
"      Milho verde em espiga","0.306","0.237","0.348","0.293","0.307","0.466","0.324","","","","",""
"      Outros","0.189","0.136","0.180","0.197","0.212","0.218","0.276","","","","",""
"   Leguminosas","6.554","7.146","7.101","6.439","5.807","6.110","5.779","","","","",""
"      Feijão-fradinho","0.495","0.804","0.627","0.425","0.263","0.234","0.224","","","","",""
"      Feijão-jalo","0.080","0.098","0.077","0.079","0.065","0.084","0.062","","","","",""
"      Feijão-manteiga","0.047","0.059","0.032","0.047","0.058","0.036","0.030","","","","",""
"      Feijão-mulatinho","0.692","0.888","0.881","0.684","0.460","0.325","0.441","","","","",""
"      Feijão-preto","1.297","1.095","1.298","1.394","1.323","1.617","1.110","","","","",""
"      Feijão-rajado","2.615","2.724","2.878","2.604","2.506","2.454","1.987","","","","",""
"      Feijão-roxo","0.020","0.024","0.005","0.015","0.027","0.008","0.057","","","","",""
"      Outros feijões","0.663","0.931","0.699","0.598","0.418","0.551","0.661","","","","",""
"      Outras","0.646","0.523","0.602","0.592","0.686","0.801","1.207","","","","",""
"Hortaliças","23.775","15.478","19.972","23.717","27.323","34.025","44.411","","","","",""
"   Hortaliças folhosas e florais","2.502","1.363","1.808","2.545","2.985","4.114","5.362","","","","",""
"      Acelga","0.038","0.009","0.009","0.030","0.047","0.112","0.160","","","","",""
"      Agrião","0.042","0.012","0.026","0.035","0.064","0.088","0.127","","","","",""
"      Alface","0.690","0.367","0.534","0.734","0.820","1.095","1.300","","","","",""
"      Cheiro-verde","0.217","0.208","0.205","0.222","0.201","0.239","0.273","","","","",""
"      Couve","0.298","0.175","0.238","0.311","0.353","0.418","0.565","","","","",""
"      Couve-brócolis","0.135","0.029","0.056","0.106","0.184","0.311","0.577","","","","",""
"      Couve-flor","0.111","0.024","0.050","0.093","0.151","0.300","0.386","","","","",""
"      Repolho","0.707","0.385","0.487","0.787","0.894","1.183","1.112","","","","",""
"      Outras","0.264","0.154","0.204","0.228","0.273","0.367","0.861","","","","",""
"   Hortaliças frutosas","11.112","7.616","9.449","10.595","12.497","16.721","21.398","","","","",""
"      Abóbora","1.022","0.653","1.078","0.979","1.083","1.390","1.834","","","","",""
"      Abobrinha","0.356","0.182","0.233","0.306","0.412","0.697","1.070","","","","",""
"      Azeitona em conserva","0.094","0.027","0.054","0.085","0.156","0.209","0.210","","","","",""
"      Berinjela","0.167","0.048","0.078","0.117","0.185","0.319","0.871","","","","",""
"      Cebola","3.104","2.418","2.604","2.982","3.483","4.242","5.418","","","","",""
"      Chuchu","0.651","0.389","0.538","0.635","0.744","1.120","1.246","","","","",""
"      Jiló","0.134","0.062","0.128","0.178","0.121","0.199","0.144","","","","",""
"      Maxixe","0.053","0.081","0.069","0.045","0.024","0.047","0.033","","","","",""
"      Pepino fresco","0.407","0.227","0.286","0.390","0.501","0.753","0.885","","","","",""
