"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"637,28","473,75","592,63","767,97","822,06","868,57","878,31","897,89"
 Alimentação no domicílio,"446,84","359,27","416,56","541,50","484,06","571,75","546,38","721,64"
"  Cereais, leguminosas e oleaginosas","26,97","23,47","28,82","31,21","23,68","15,54","46,37","26,60"
   Arroz,"18,31","15,95","18,14","22,45","16,37","8,62","34,04","14,81"
   Feijão,"5,17","5,12","5,94","5,17","3,85","2,99","7,77","4,04"
   Orgânicos,"0,02","0,04",-,-,-,-,-,-
   Outros,"3,48","2,36","4,74","3,59","3,47","3,93","4,56","7,75"
"  Farinhas, féculas e massas","18,64","15,07","15,38","25,21","21,31","24,28","14,72","12,27"
   Macarrão,"3,82","3,08","3,94","5,36","1,88","3,46","4,94","4,60"
   Farinha de trigo,"0,82","0,61","0,63","1,21","0,79","0,23","1,05","3,71"
   Farinha de mandioca,"7,57","5,90","6,34","12,16","7,29","3,66","3,35","2,32"
   Outras,"6,43","5,47","4,48","6,47","11,35","16,93","5,39","1,64"
  Tubérculos e raízes,"4,64","2,02","6,29","7,29","2,90","5,81","3,12","7,78"
   Batata inglesa,"0,43","0,20","0,42","0,73","0,59","0,60",-,-
   Cenoura,"0,49","0,34","0,43","0,68","0,38","0,64","1,36","1,03"
   Mandioca,"2,31","0,60","4,42","3,60","0,63","1,54","0,71","4,17"
   Outros,"1,41","0,88","1,03","2,28","1,30","3,03","1,05","2,57"
  Açúcares e derivados,"14,78","9,68","14,13","20,80","18,31","10,70","17,61","27,58"
   Açúcar refinado,"2,08","1,23","2,68","2,76","1,55","0,93","6,56",-
   Açúcar cristal,"4,69","2,79","5,53","7,81","3,23","2,39","1,88","1,44"
   Light e diet,"0,13",-,-,"0,49",-,-,-,-
   Outros,"7,88","5,65","5,92","9,74","13,52","7,37","9,18","26,13"
  Legumes e verduras,"12,67","8,76","12,15","14,73","14,60","13,75","21,51","62,36"
   Tomate,"2,62","1,57","2,13","3,43","2,90","3,38","8,40","10,34"
   Cebola,"1,63","0,99","1,70","2,08","1,83","1,64","2,54","6,76"
   Alface,"1,29","0,29","1,13","2,05","1,61","1,14","2,86","13,03"
   Outros,"7,13","5,91","7,19","7,18","8,26","7,59","7,71","32,23"
  Frutas,"19,35","10,11","16,27","25,48","31,93","41,10","15,27","66,14"
   Banana,"7,19","3,15","6,34","12,02","9,69","10,27","4,19","15,98"
   Laranja,"1,35","1,03","0,85","1,16","2,86","3,99",-,"7,30"
   Maçã,"1,52","1,19","1,06","2,02","0,95","4,99","1,23","3,59"
   Outras frutas,"9,30","4,73","8,03","10,28","18,43","21,85","9,84","39,27"
"  Carnes, vísceras e pescados","129,47","108,96","135,62","142,77","145,08","164,76","86,41","196,87"
   Carne de boi de primeira,"25,65","15,06","24,08","24,46","56,59","48,91","28,48","80,84"
   Carne de boi de segunda,"21,59","20,84","32,59","16,52","16,76","8,51","12,02","46,74"
   Carne de suíno,"5,31","5,01","0,77","9,45","4,98","9,98","3,92",-
   Carnes e peixes industrializados,"9,90","8,37","9,29","12,00","11,46","8,23","8,35","17,46"
   Pescados frescos,"22,41","19,95","29,09","20,08","22,63","31,41","9,76","17,31"
   Outros,"44,60","39,73","39,80","60,26","32,65","57,71","23,88","34,51"
  Aves e ovos,"46,22","44,52","45,41","57,09","34,85","26,82","27,00","61,88"
   Frango,"35,25","35,64","35,08","41,81","26,01","15,45","20,49","45,55"
   Ovo de galinha,"8,61","6,46","7,09","12,76","8,66","9,49","5,86","13,82"
   Orgânicos,"0,04",-,-,"0,14",-,-,-,-
   Outros,"2,32","2,41","3,25","2,38","0,18","1,87","0,65","2,51"
  Leites e derivados,"42,35","29,59","31,09","59,52","46,84","63,15","83,50","84,74"
