"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"390,71","269,13","382,08","540,63","639,89","832,50","953,16","1814,49"
 Alimentação no domicílio,"311,94","237,51","315,91","398,11","480,68","672,93","588,14","681,38"
"  Cereais, leguminosas e oleaginosas","18,69","17,80","18,17","22,60","14,93","25,45","10,36","18,99"
   Arroz,"10,43","10,45","10,04","12,53","6,58","10,21","3,54","4,94"
   Feijão,"7,03","6,83","7,32","7,21","7,18","4,74","6,82","14,04"
   Orgânicos,"0,02",-,-,"0,11",-,-,-,-
   Outros,"1,21","0,52","0,81","2,75","1,17","10,50",-,-
"  Farinhas, féculas e massas","15,26","15,13","12,39","18,41","14,76","19,06","7,63","41,09"
   Macarrão,"4,18","3,81","3,51","6,17","3,74","4,61","1,31","5,91"
   Farinha de trigo,"0,47","0,54","0,20","0,58","0,57","0,82",-,"1,14"
   Farinha de mandioca,"2,63","2,73","1,82","3,88","1,49",-,"1,08","7,26"
   Outras,"7,98","8,06","6,85","7,78","8,95","13,63","5,24","26,78"
  Tubérculos e raízes,"8,43","5,87","8,58","12,58","13,00","16,15","21,71","6,76"
   Batata inglesa,"1,94","1,31","2,18","2,61","3,55","2,57","8,40",-
   Cenoura,"1,18","1,09","1,10","1,36","1,55","0,51","2,56","2,42"
   Mandioca,"1,85","1,37","1,73","3,00","2,39","3,35","2,89",-
   Outros,"3,46","2,09","3,56","5,61","5,51","9,72","7,87","4,33"
  Açúcares e derivados,"12,17","10,28","11,59","13,34","19,97","29,67","20,16","19,10"
   Açúcar refinado,"2,35","2,90","3,11","0,73","0,24",-,"0,82","6,70"
   Açúcar cristal,"4,12","3,42","3,66","6,16","5,85","4,84","3,10","1,00"
   Light e diet,"0,02",-,"0,04",-,"0,22",-,-,-
   Outros,"5,68","3,96","4,79","6,45","13,67","24,83","16,24","11,39"
  Legumes e verduras,"9,51","8,11","10,47","10,90","12,72","8,17","15,33","14,80"
   Tomate,"4,21","3,83","4,84","4,18","4,98","3,67","5,57","5,94"
   Cebola,"2,11","1,81","2,39","2,49","2,75","0,87","2,93","1,42"
   Alface,"0,44","0,30","0,50","0,55","0,92","0,58",-,"1,43"
   Outros,"2,76","2,16","2,74","3,67","4,07","3,05","6,84","6,00"
  Frutas,"13,07","7,75","12,25","19,91","27,57","42,44","34,19","25,78"
   Banana,"4,45","2,36","4,49","7,69","7,37","16,83","5,17","11,76"
   Laranja,"1,10","0,86","0,97","1,50","1,00","4,95","2,79",-
   Maçã,"1,15","0,62","1,33","1,72","1,66","3,97","6,42","1,01"
   Outras frutas,"6,37","3,92","5,46","8,99","17,54","16,69","19,80","13,00"
"  Carnes, vísceras e pescados","70,92","56,70","74,57","84,91","90,18","144,97","200,96","106,86"
   Carne de boi de primeira,"9,66","6,03","5,68","7,91","28,06","53,99","132,95","40,41"
   Carne de boi de segunda,"8,15","8,47","8,51","7,81","5,82","5,46","9,33","5,96"
   Carne de suíno,"3,62","3,43","3,71","2,19","6,92","9,72","12,03",-
   Carnes e peixes industrializados,"18,70","14,61","22,64","22,69","20,36","24,30","31,80","38,51"
   Pescados frescos,"10,47","10,45","10,92","12,67","3,90","9,61",-,"4,93"
   Outros,"20,32","13,71","23,11","31,63","25,11","41,89","14,84","17,05"
  Aves e ovos,"43,65","35,70","49,95","54,26","42,10","84,58","52,89","18,10"
   Frango,"32,23","27,94","33,24","40,03","27,22","74,58","46,48","7,72"
   Ovo de galinha,"10,86","7,76","16,39","12,98","10,17","10,00","6,41","10,38"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"0,56",-,"0,32","1,24","4,71",-,-,-
  Leites e derivados,"24,97","15,35","20,81","37,01","54,81","83,33","67,32","101,94"
   Leite de vaca,"3,95","2,69","3,00","6,04","6,56","11,82","20,78","8,58"
   Leite em pó,"7,60","6,17","5,96","10,73","12,67","12,46","3,44","36,14"
   Queijos,"5,51","1,74","4,99","8,66","16,28","26,20","34,48","39,85"
   Light e diet,"0,27","0,06","0,03","0,06","1,92","6,24",-,-
   Orgânicos,"0,00",-,-,-,"0,09",-,-,-
   Outros,"7,64","4,68","6,84","11,51","17,28","26,61","8,61","17,36"
  Panificados,"33,20","24,58","32,27","45,29","56,26","59,23","69,39","76,09"
   Pão francês,"13,08","8,73","13,51","16,82","29,69","29,55","24,74","25,58"
   Biscoito,"11,45","9,04","10,65","16,36","15,94","16,48","17,75","27,50"
   Light e diet,"0,04",-,"0,06","0,05","0,41",-,-,-
   Outros panificados,"8,63","6,82","8,06","12,06","10,22","13,20","26,90","23,01"
  Óleos e gorduras,"4,52","4,43","3,63","4,94","6,05","5,21","2,32","19,82"
   Óleo de soja,"3,88","4,10","3,36","4,19","3,62","2,46",-,"7,77"
   Azeite de oliva,"0,30","0,15","0,00","0,41","1,15","1,56",-,"8,98"
   Outros,"0,34","0,18","0,27","0,35","1,28","1,19","2,32","3,08"
  Bebidas e infusões,"23,54","16,27","17,60","34,09","53,35","74,95","63,91","43,79"
   Café moído,"8,14","7,74","7,03","8,75","11,05","14,62","8,13","18,43"
   Refrigerantes,"7,40","4,36","6,66","11,42","17,69","22,50","11,18","18,96"
   Bebidas não alcoólicas light e diet,-,-,-,-,-,-,-,-
   Cervejas e chopes,"3,48","1,96","1,09","4,20","13,02","22,62","41,76",-
   Outras bebidas alcoólicas,"0,79","0,39","0,22","1,98","2,57","2,03",-,-
   Outras,"3,73","1,83","2,60","7,75","9,02","13,19","2,85","6,40"
  Enlatados e conservas,"2,49","2,50","1,89","2,83","4,20","0,64","0,82","6,10"
  Sal e condimentos,"5,74","4,88","4,70","7,13","10,12","5,45","5,16","35,56"
   Massa de tomate,"0,33","0,12","0,46","0,38","0,99","0,21","0,60","5,47"
   Maionese,"0,24","0,08","0,09","0,54","0,64",-,-,"7,79"
   Sal refinado,"0,38","0,48","0,15","0,45","0,09","0,12","0,81","0,70"
   Outros,"4,79","4,20","4,00","5,76","8,41","5,12","3,75","21,60"
  Alimentos preparados,"4,53","2,19","3,19","6,90","7,00","49,24","15,99",-
  Outros alimentos,"21,22","9,97","33,86","23,00","53,66","24,37",-,"146,60"
 Alimentação fora do domicílio,"78,77","31,62","66,17","142,53","159,22","159,58","365,01","1133,11"
  Almoço e jantar,"47,94","14,45","37,34","85,46","109,72","114,33","236,36","1038,11"
"  Café, leite, café/leite e chocolate","0,32","0,22","0,48","0,30","0,50","0,96","0,15","0,24"
  Sanduíches e salgados,"6,54","2,67","6,07","10,51","14,20","21,71","44,57","54,69"
  Refrigerantes e outras bebidas não alcoólicas ,"3,99","1,56","4,84","7,68","6,49","10,53","11,02","8,38"
  Lanches,"9,79","6,81","6,87","21,30","7,56","0,82","34,49","31,44"
"  Cervejas, chopes e outras bebidas alcoólicas ","6,55","3,82","6,22","12,62","9,97","10,10","20,84",-
  Alimentação light e diet,"0,04","0,00","0,04","0,03","0,16",-,"1,82",-
  Outras,"3,61","2,09","4,31","4,61","10,61","1,12","15,77","0,24"
