"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"2.417,84 ","1.222,74 ","1.927,90 ","3.384,59 ","5.793,43 ","8.576,51 ","11.728,68 ","27.512,17 "
 Despesas correntes,"2.250,60 ","1.157,02 ","1.813,24 ","3.177,36 ","5.291,63 ","7.986,64 ","10.524,88 ","24.006,78 "
  Despesas de consumo,"2.018,02 ","1.116,97 ","1.695,51 ","2.887,30 ","4.534,73 ","6.377,29 ","7.565,92 ","18.131,26 "
   Alimentação,"390,71 ","269,13 ","382,08 ","540,63 ","639,89 ","832,50 ","953,16 ","1.814,49 "
   Habitação,"723,51 ","450,51 ","661,16 ","957,61 ","1.730,68 ","2.017,63 ","2.298,09 ","3.232,58 "
    Aluguel,"372,39 ","232,55 ","344,07 ","508,21 ","925,49 ","939,78 ","941,00 ","1.330,66 "
     Aluguel monetário,"48,46 ","36,67 ","43,62 ","55,58 ","107,25 ","152,12 ","86,27 ","83,74 "
     Aluguel não monetário,"323,93 ","195,88 ","300,46 ","452,64 ","818,24 ","787,66 ","854,73 ","1.246,91 "
    Condomínio,"11,03 ","0,19 ","10,41 ","25,53 ","34,39 ","96,56 ",-,"28,65 "
    Serviços e taxas,"203,90 ","140,28 ","188,37 ","257,64 ","428,56 ","517,71 ","655,03 ","790,93 "
     Energia elétrica,"81,09 ","55,43 ","75,18 ","102,06 ","178,80 ","222,81 ","169,16 ","340,96 "
     Telefone fixo,"1,81 ","0,27 ","2,18 ","2,90 ","6,59 ","13,42 ","3,52 ",-
     Telefone Celular,"16,61 ","7,23 ","14,42 ","28,28 ","49,03 ","44,68 ","74,80 ","60,42 "
"     Pacote de telefone, TV e Internet","8,40 ","1,06 ","3,43 ","10,75 ","27,94 ","81,76 ","137,78 ","147,73 "
     Gás doméstico,"41,63 ","40,92 ","43,25 ","41,43 ","42,10 ","36,32 ","54,44 ","41,00 "
     Água e esgoto,"35,79 ","26,16 ","32,28 ","44,50 ","75,15 ","69,47 ","164,60 ","64,21 "
     Outros,"18,58 ","9,20 ","17,64 ","27,72 ","48,97 ","49,25 ","50,74 ","136,62 "
