"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total," 3 218,87"," 1 482,29"," 2 292,91"," 3 402,85"," 5 551,84"," 8 343,71"," 12 889,83"," 17 463,51"
 Despesas correntes," 3 074,41"," 1 435,34"," 2 229,48"," 3 246,19"," 5 239,06"," 7 687,30"," 12 365,39"," 16 857,54"
  Despesas de consumo," 2 696,00"," 1 391,24"," 2 093,96"," 2 978,79"," 4 547,78"," 6 194,43"," 9 399,04"," 11 236,07"
   Alimentação,"  557,70","  386,44","  536,46","  618,46","  777,59","  933,51"," 1 134,25"," 1 274,29"
   Habitação," 1 131,74","  590,49","  864,44"," 1 208,15"," 1 787,15"," 2 584,88"," 4 628,40"," 5 388,10"
    Aluguel,"  584,86","  316,61","  467,96","  641,94","  876,23"," 1 328,62"," 2 223,71"," 2 418,56"
     Aluguel monetário,"  45,12","  33,74","  28,95","  40,37","  75,63","  167,78","  113,67","  24,15"
     Aluguel não monetário,"  539,74","  282,88","  439,01","  601,57","  800,60"," 1 160,84"," 2 110,04"," 2 394,41"
    Condomínio,"  17,85","  0,18","  0,43","  2,02","  38,67","  72,17","  276,51","  380,30"
    Serviços e taxas,"  323,03","  174,83","  252,52","  358,84","  590,96","  678,78"," 1 085,93"," 1 104,55"
     Energia elétrica,"  135,36","  73,71","  103,39","  141,63","  239,05","  314,39","  501,31","  526,34"
     Telefone fixo,"  3,65","  1,86","  1,46","  2,99","  6,70","  6,96","  28,48","  34,10"
     Telefone Celular,"  35,76","  15,05","  25,14","  45,21","  67,93","  79,46","  155,12","  121,06"
"     Pacote de telefone, TV e Internet","  34,97","  9,62","  16,41","  32,53","  84,62","  99,85","  258,82","  258,13"
     Gás doméstico,"  40,47","  35,25","  41,67","  45,34","  45,32","  48,14","  38,12","  34,02"
     Água e esgoto,"  44,10","  27,82","  42,69","  52,34","  78,56","  56,57","  62,27","  99,03"
     Outros,"  28,71","  11,52","  21,77","  38,79","  68,79","  73,42","  41,81","  31,87"
    Manutenção do lar,"  97,11","  31,99","  56,68","  77,04","  127,27","  302,22","  685,99"," 1 125,95"
    Artigos de limpeza,"  17,03","  11,48","  13,28","  16,93","  29,33","  33,83","  59,21","  47,78"
    Mobiliários e artigos do lar,"  36,42","  21,04","  26,55","  44,39","  57,57","  58,32","  115,13","  157,32"
    Eletrodomésticos,"  52,52","  32,81","  44,30","  63,29","  64,33","  103,04","  173,34","  145,76"
    Consertos artigos do lar,"  2,92","  1,55","  2,71","  3,70","  2,79","  7,90","  8,58","  7,88"
   Vestuário,"  127,62","  66,48","  104,05","  165,52","  215,89","  254,38","  240,07","  383,15"
    Roupa de homem,"  32,29","  15,53","  30,21","  40,49","  52,50","  64,92","  54,82","  115,36"
    Roupa de mulher,"  37,84","  19,10","  26,57","  49,61","  63,24","  92,99","  81,97","  115,81"
    Roupa de criança,"  17,53","  10,32","  12,66","  26,06","  25,31","  21,03","  25,65","  60,17"
    Calçados e apetrechos,"  34,14","  19,08","  29,08","  42,39","  62,63","  62,21","  59,66","  82,85"
    Jóias e bijuterias,"  4,91","  2,09","  4,09","  5,77","  11,30","  12,03","  14,91","  8,19"
    Tecidos e armarinhos,"  0,92","  0,36","  1,45","  1,22","  0,91","  1,20","  3,06","  0,76"
   Transporte,"  377,09","  118,85","  224,62","  395,30","  793,16"," 1 290,22"," 2 003,12"," 1 913,42"
    Urbano,"  53,92","  37,37","  44,95","  71,76","  97,61","  57,40","  40,32","  69,99"
    Gasolina - veículo próprio,"  125,08","  35,12","  79,82","  144,85","  310,34","  408,78","  490,14","  449,36"
    Álcool - veículo próprio,"  2,59","  0,18","  1,82","  0,78","  1,58",-,-,"  104,57"
    Manutenção e acessórios,"  57,57","  11,14","  28,27","  59,54","  173,34","  229,65","  91,85","  371,35"
    Aquisição de veículos,"  93,38","  20,30","  54,56","  83,52","  123,49","  427,18"," 1 123,16","  437,73"
    Viagens esporádicas,"  30,84","  8,85","  13,20","  27,81","  55,50","  95,61","  198,74","  339,39"
    Outras,"  13,70","  5,88","  2,01","  7,05","  31,30","  71,62","  58,92","  141,03"
   Higiene e Cuidados Pessoais,"  147,84","  95,04","  122,40","  195,64","  246,68","  243,23","  162,74","  210,57"
    Perfume,"  61,27","  39,65","  49,41","  84,06","  110,38","  76,83","  54,85","  89,76"
    Produtos para cabelo,"  14,28","  9,12","  15,05","  17,69","  18,98","  26,87","  13,28","  18,24"
    Sabonete,"  7,80","  5,58","  7,22","  9,21","  12,31","  12,07","  8,48","  10,89"
    Instrumentos e produtos de uso pessoal,"  64,49","  40,69","  50,71","  84,69","  105,01","  127,46","  86,13","  91,67"
   Assistência a saúde,"  112,54","  46,56","  92,11","  102,11","  232,24","  317,55","  264,29","  738,46"
    Remédios,"  77,05","  35,78","  66,94","  74,03","  156,86","  170,46","  167,67","  461,91"
    Plano/Seguro saúde,"  10,61","  0,66","  2,29","  4,00","  24,50","  67,37","  36,64","  183,21"
    Consulta e tratamento dentário  ,"  4,23","  1,81","  3,29","  4,50","  5,31","  10,05","  8,70","  40,95"
    Consulta médica,"  7,91","  2,72","  7,23","  7,25","  21,14","  24,34","  30,66","  16,83"
    Tratamento médico e ambulatorial,"  1,12","  0,74",-,"  1,17","  1,18","  2,32","  16,33","  5,50"
    Serviços de cirurgia,"  0,11","  0,09",-,"  0,03","  0,49",-,"  1,75",-
    Hospitalização,-,-,-,-,-,-,-,-
    Exames diversos,"  3,57","  1,94","  2,92","  3,76","  7,26","  10,39","  0,24","  12,16"
    Material de tratamento,"  6,51","  2,22","  7,99","  5,45","  11,76","  32,21",-,"  13,56"
    Outras,"  1,43","  0,59","  1,46","  1,93","  3,73","  0,40","  2,30","  4,34"
    Educação,"  82,00","  19,36","  41,51","  106,31","  140,68","  225,62","  578,62","  533,05"
    Cursos regulares,"  17,83","  1,33","  5,18","  18,55","  29,83","  56,10","  207,14","  206,94"
