"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"894,87","643,36","747,85","931,67","1207,28","1252,77","1733,69","1491,99"
 Alimentação no domicílio,"709,87","540,42","617,94","758,87","1043,04","886,90","808,27","959,79"
"  Cereais, leguminosas e oleaginosas","31,03","29,52","26,84","30,80","43,45","30,93","28,60","34,22"
   Arroz,"17,18","17,44","12,72","17,65","21,09","18,85","21,98","19,97"
   Feijão,"11,31","10,66","12,31","9,65","17,19","9,84","4,04","13,82"
   Orgânicos,"0,07","0,18",-,-,"0,11",-,-,-
   Outros,"2,48","1,24","1,81","3,50","5,06","2,24","2,58","0,44"
"  Farinhas, féculas e massas","42,22","39,58","38,46","37,96","65,83","34,44","53,80","46,60"
   Macarrão,"6,90","6,84","5,59","5,92","10,76","9,72","7,61","4,32"
   Farinha de trigo,"1,29","1,36","0,96","1,52","1,34","1,46",-,"1,79"
   Farinha de mandioca,"23,30","23,79","25,01","22,48","30,63","11,48","16,31","12,78"
   Outras,"10,74","7,59","6,89","8,05","23,10","11,77","29,88","27,72"
  Tubérculos e raízes,"4,67","2,35","3,65","4,95","11,01","3,66","4,98","11,28"
   Batata inglesa,"1,71","0,55","1,87","2,12","3,98","1,15","2,30",-
   Cenoura,"1,44","1,05","0,40","1,04","3,86","1,23","1,65","9,01"
   Mandioca,"0,42",-,"0,45","0,37","1,82","0,34",-,-
   Outros,"1,09","0,75","0,92","1,41","1,34","0,94","1,03","2,27"
  Açúcares e derivados,"16,68","14,51","16,34","14,06","22,91","20,43","23,48","28,60"
   Açúcar refinado,"7,07","5,88","7,22","6,77","10,91","3,27","11,71","8,24"
   Açúcar cristal,"0,58","0,68","0,51","0,36","1,35","0,30","0,26",-
   Light e diet,"0,47","1,03",-,-,"0,16",-,-,"6,35"
   Outros,"8,56","6,92","8,62","6,93","10,49","16,85","11,51","14,01"
  Legumes e verduras,"19,49","10,75","14,85","19,08","42,25","26,79","34,40","28,67"
   Tomate,"4,46","2,98","3,48","4,42","8,34","5,45","8,93","5,24"
   Cebola,"3,77","3,00","3,50","3,53","6,12","3,86","6,36","3,67"
   Alface,"0,83","0,40","0,43","0,36","3,07","1,57","1,03","2,30"
   Outros,"10,43","4,37","7,44","10,77","24,71","15,91","18,08","17,45"
  Frutas,"20,84","12,15","13,84","20,34","29,42","41,39","37,89","86,32"
   Banana,"5,41","3,16","4,57","6,30","5,12","9,83","8,01","18,75"
   Laranja,"1,47","1,38","0,35","1,90","2,81","0,80","2,38","1,83"
   Maçã,"2,26","0,68","1,41","1,78","4,00","4,71","4,76","17,64"
   Outras frutas,"11,70","6,93","7,51","10,36","17,50","26,04","22,75","48,11"
"  Carnes, vísceras e pescados","185,80","128,63","165,30","222,58","258,30","230,60","178,73","229,61"
