"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"  876,27","  327,16","  359,25","  587,35","  713,59"," 1 104,46"," 1 441,89"," 1 813,31"
 Alimentação no domicílio,"  520,47","  234,69","  270,49","  404,41","  453,71","  682,00","  803,81","  889,69"
"  Cereais, leguminosas e oleaginosas","  18,12","  14,84","  14,70","  13,65","  17,71","  14,06","  24,70","  29,85"
   Arroz,"  8,05","  9,90","  9,23","  8,08","  10,48","  6,58","  5,35","  5,87"
   Feijão,"  3,88","  3,04","  3,91","  2,83","  4,61","  3,86","  4,17","  5,31"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"  6,19","  1,89","  1,57","  2,75","  2,62","  3,63","  15,17","  18,67"
"  Farinhas, féculas e massas","  15,21","  5,09","  7,65","  13,75","  12,44","  16,38","  15,60","  34,19"
   Macarrão,"  2,98","  1,61","  3,05","  3,33","  3,29","  2,26","  2,82","  3,90"
   Farinha de trigo,"  0,62","  0,49","  0,76","  0,81","  0,80","  0,12","  0,47","  0,62"
   Farinha de mandioca,"  0,55","  0,20","  0,20","  0,80","  0,41","  1,00","  0,26","  0,69"
   Outras,"  11,06","  2,79","  3,63","  8,82","  7,94","  13,00","  12,04","  28,98"
  Tubérculos e raízes,"  6,08","  2,74","  3,38","  5,29","  7,30","  6,15","  6,83","  10,36"
   Batata inglesa,"  2,35","  1,40","  1,71","  2,39","  3,64","  2,12","  2,63","  2,09"
   Cenoura,"  0,98","  0,44","  0,58","  0,70","  1,08","  1,13","  1,63","  1,53"
   Mandioca,"  0,78","  0,48","  0,41","  0,62","  0,92","  0,94","  0,62","  1,39"
   Outros,"  1,98","  0,42","  0,68","  1,58","  1,66","  1,96","  1,96","  5,35"
  Açúcares e derivados,"  22,99","  12,78","  10,13","  19,61","  17,30","  23,20","  34,66","  45,05"
   Açúcar refinado,"  0,72","  0,10",-,"  0,58","  1,50","  1,36","  0,17","  1,02"
   Açúcar cristal,"  2,23","  2,37","  1,88","  2,65","  3,05","  0,96","  1,73","  2,11"
   Light e diet,"  0,71","  0,10",-,"  0,19","  0,05","  0,05","  1,95","  3,04"
   Outros,"  19,34","  10,20","  8,25","  16,20","  12,70","  20,83","  30,82","  38,89"
  Legumes e verduras,"  16,89","  10,09","  7,65","  11,57","  18,41","  15,31","  32,58","  26,55"
   Tomate,"  5,02","  1,98","  2,61","  3,44","  6,62","  4,77","  9,77","  6,98"
   Cebola,"  1,62","  1,17","  0,89","  1,35","  1,72","  1,32","  2,15","  2,71"
   Alface,"  1,88","  0,95","  0,89","  1,64","  1,00","  2,71","  3,02","  3,31"
   Outros,"  8,38","  5,99","  3,25","  5,13","  9,07","  6,51","  17,64","  13,55"
  Frutas,"  27,14","  13,67","  12,44","  19,18","  27,73","  26,00","  39,60","  54,26"
   Banana,"  7,18","  3,00","  2,89","  5,75","  8,33","  6,05","  11,32","  12,94"
   Laranja,"  2,62","  1,01","  0,79","  2,41","  3,37","  4,10","  2,70","  3,62"
   Maçã,"  2,56","  1,94","  0,84","  2,01","  2,75","  1,90","  3,82","  4,71"
   Outras frutas,"  14,79","  7,72","  7,93","  9,02","  13,28","  13,95","  21,76","  32,99"
"  Carnes, vísceras e pescados","  80,35","  45,09","  44,18","  71,58","  76,73","  101,72","  83,67","  137,66"
