"Tabela 1.3.18.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Espírito Santo - período 2017-2018,,,,,,,,
,,,,,,,(continua),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1)             ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
Despesas com alimentação,"465,51","225,66","308,44","484,72","634,68","783,47","1096,40","1516,07"
 Alimentação no domicílio,"319,66","178,02","223,00","340,50","414,22","528,18","718,66","758,77"
"  Cereais, leguminosas e oleaginosas","14,03","13,10","13,06","14,59","15,72","11,10","17,95","17,14"
   Arroz,"7,60","8,49","7,91","7,22","7,90","5,21","8,72","3,95"
   Feijão,"4,09","3,72","3,76","4,54","4,56","3,04","3,42","5,16"
   Orgânicos,"0,01",-,"0,06",-,-,-,-,-
   Outros,"2,33","0,88","1,34","2,83","3,25","2,86","5,82","8,03"
"  Farinhas, féculas e massas","10,34","6,37","9,80","10,40","15,09","9,34","22,28","14,70"
   Macarrão,"3,55","2,41","4,34","3,87","3,78","2,23","4,25","5,20"
   Farinha de trigo,"1,15","1,10","1,22","1,05","1,95","0,71","0,09","0,56"
   Farinha de mandioca,"1,29","1,36","1,70","1,16","1,01","0,71","2,24","0,75"
   Outras,"4,34","1,50","2,54","4,32","8,36","5,68","15,70","8,19"
  Tubérculos e raízes,"5,24","2,55","4,85","5,79","6,62","7,95","9,98","7,29"
   Batata inglesa,"2,55","1,56","1,99","2,77","3,60","3,43","5,03","2,72"
   Cenoura,"0,67","0,27","0,55","0,88","0,79","0,98","1,00","1,14"
   Mandioca,"0,63","0,35","0,81","0,65","0,38","1,61","0,65","0,63"
   Outros,"1,38","0,37","1,49","1,49","1,85","1,92","3,30","2,80"
  Açúcares e derivados,"12,28","8,30","8,98","11,20","13,97","24,10","34,20","30,56"
   Açúcar refinado,"0,35","0,43","0,13","0,35","0,34","0,70","0,12","1,05"
   Açúcar cristal,"3,11","3,21","3,39","3,50","2,96","1,63","1,22","0,85"
   Light e diet,"0,19",-,"0,03","0,10","0,40","1,35",-,"1,00"
   Outros,"8,64","4,67","5,43","7,25","10,28","20,42","32,86","27,66"
  Legumes e verduras,"10,80","5,59","7,99","10,91","14,43","19,62","26,97","23,53"
   Tomate,"3,62","2,02","2,97","3,65","5,07","5,33","7,81","7,57"
   Cebola,"1,28","0,79","1,01","1,31","1,82","1,96","2,36","1,95"
   Alface,"0,96","0,58","0,59","0,78","1,49","1,49","4,57","1,76"
   Outros,"4,94","2,21","3,42","5,17","6,04","10,85","12,23","12,24"
  Frutas,"14,34","5,11","10,21","12,08","21,19","30,79","57,79","41,32"
   Banana,"3,83","1,82","3,77","3,21","4,98","9,11","8,76","7,43"
   Laranja,"1,26","0,46","0,94","1,26","0,94","3,29","6,00","2,55"
