"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"4.739,83 ","1.701,94 ","2.404,05 ","3.892,72 ","6.549,20 ","8.946,25 ","13.362,80 ","25.518,71 "
 Despesas correntes,"4.343,28 ","1.641,23 ","2.294,58 ","3.666,05 ","6.046,27 ","8.484,51 ","11.694,13 ","21.131,10 "
  Despesas de consumo,"3.830,03 ","1.555,87 ","2.175,92 ","3.384,13 ","5.383,38 ","7.317,18 ","9.740,37 ","15.967,35 "
   Alimentação,"708,29 ","309,53 ","467,46 ","734,14 ","931,64 ","1.080,82 ","1.530,53 ","2.233,34 "
   Habitação,"1.268,74 ","676,18 ","820,73 ","1.143,74 ","1.703,42 ","2.090,93 ","2.752,89 ","4.707,45 "
    Aluguel,"586,18 ","318,50 ","429,99 ","548,84 ","804,78 ","991,15 ","1.191,13 ","1.582,43 "
     Aluguel monetário,"74,31 ","66,08 ","66,69 ","68,08 ","94,66 ","88,22 ","151,16 ","48,30 "
     Aluguel não monetário,"511,86 ","252,42 ","363,30 ","480,76 ","710,13 ","902,93 ","1.039,96 ","1.534,13 "
    Condomínio,"17,31 ","0,44 ",-,"4,16 ","6,84 ","8,48 ","36,85 ","426,91 "
    Serviços e taxas,"375,28 ","211,51 ","232,99 ","352,34 ","500,93 ","698,72 ","776,35 ","1.135,24 "
     Energia elétrica,"162,89 ","95,79 ","99,54 ","149,27 ","208,58 ","340,75 ","330,86 ","498,46 "
     Telefone fixo,"3,75 ","1,23 ","1,38 ","2,86 ","6,46 ","13,15 ","17,60 ","2,89 "
     Telefone Celular,"55,36 ","22,64 ","31,29 ","48,88 ","73,91 ","88,45 ","126,47 ","292,66 "
"     Pacote de telefone, TV e Internet","28,80 ","6,82 ","8,12 ","25,41 ","48,38 ","64,53 ","93,91 ","130,97 "
     Gás doméstico,"50,59 ","43,53 ","44,91 ","52,45 ","57,36 ","59,91 ","61,00 ","58,69 "
