"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"2.893,59 ","1.287,74 ","2.002,00 ","3.432,70 ","5.918,60 ","8.708,58 ","15.108,78 ","19.824,42 "
 Despesas correntes,"2.680,30 ","1.239,22 ","1.866,35 ","3.182,26 ","5.438,73 ","7.918,08 ","12.004,00 ","18.872,20 "
  Despesas de consumo,"2.349,91 ","1.190,07 ","1.742,42 ","2.900,37 ","4.705,97 ","6.375,49 ","8.874,54 ","12.934,45 "
   Alimentação,"496,10 ","320,58 ","466,40 ","592,40 ","757,75 ","962,30 ","1.317,05 ","2.007,01 "
   Habitação,"798,84 ","453,94 ","612,51 ","1.002,64 ","1.503,61 ","2.037,59 ","2.592,05 ","3.402,84 "
    Aluguel,"368,57 ","216,74 ","286,61 ","478,69 ","705,47 ","870,86 ","1.072,42 ","1.225,08 "
     Aluguel monetário,"47,48 ","32,64 ","30,47 ","66,49 ","55,97 ","133,75 ","117,44 ","178,81 "
     Aluguel não monetário,"321,09 ","184,10 ","256,14 ","412,20 ","649,50 ","737,11 ","954,98 ","1.046,28 "
    Condomínio,"13,65 ","0,22 ","4,09 ","8,92 ","19,46 ","76,14 ","131,64 ","391,52 "
    Serviços e taxas,"235,62 ","140,44 ","197,90 ","286,59 ","456,11 ","553,14 ","681,37 ","791,08 "
     Energia elétrica,"82,94 ","51,18 ","70,64 ","100,66 ","159,00 ","177,87 ","219,32 ","276,49 "
     Telefone fixo,"2,66 ","0,96 ","1,35 ","4,83 ","5,00 ","7,16 ","22,35 ","4,46 "
     Telefone Celular,"28,39 ","12,89 ","19,90 ","33,32 ","70,59 ","78,44 ","110,81 ","166,18 "
"     Pacote de telefone, TV e Internet","20,06 ","3,59 ","9,92 ","21,63 ","58,41 ","106,01 ","142,04 ","167,22 "
     Gás doméstico,"41,86 ","35,87 ","44,73 ","47,64 ","52,30 ","43,57 ","42,74 ","47,14 "
     Água e esgoto,"39,02 ","25,75 ","32,46 ","51,15 ","64,61 ","89,14 ","96,01 ","76,04 "
     Outros,"20,69 ","10,22 ","18,90 ","27,37 ","46,19 ","50,94 ","48,10 ","53,54 "
    Manutenção do lar,"76,83 ","29,63 ","37,11 ","94,83 ","145,57 ","331,59 ","424,12 ","655,41 "
    Artigos de limpeza,"16,61 ","9,91 ","16,20 ","20,52 ","22,68 ","27,95 ","65,47 ","83,40 "
    Mobiliários e artigos do lar,"41,73 ","26,00 ","33,96 ","51,28 ","82,31 ","72,37 ","123,94 ","161,85 "
    Eletrodomésticos,"43,24 ","29,48 ","35,01 ","58,36 ","67,87 ","95,53 ","85,62 ","86,91 "
    Consertos artigos do lar,"2,58 ","1,52 ","1,62 ","3,45 ","4,13 ","10,02 ","7,47 ","7,59 "
   Vestuário,"118,60 ","55,98 ","80,79 ","149,80 ","239,26 ","379,55 ","517,61 ","630,76 "
    Roupa de homem,"29,73 ","14,67 ","22,64 ","36,65 ","67,15 ","101,04 ","94,25 ","90,71 "
    Roupa de mulher,"38,40 ","15,53 ","23,30 ","51,55 ","61,97 ","137,57 ","239,59 ","275,75 "
    Roupa de criança,"12,35 ","7,67 ","9,91 ","15,38 ","25,26 ","26,32 ","18,25 ","45,53 "
    Calçados e apetrechos,"30,93 ","15,62 ","21,31 ","35,91 ","68,52 ","90,37 ","117,49 ","177,23 "
    Jóias e bijuterias,"5,85 ","1,97 ","3,10 ","8,26 ","14,93 ","18,36 ","25,48 ","40,16 "
    Tecidos e armarinhos,"1,35 ","0,52 ","0,53 ","2,05 ","1,43 ","5,90 ","22,56 ","1,38 "
   Transporte,"348,21 ","115,08 ","186,27 ","438,01 ","910,00 ","1.035,09 ","1.974,12 ","2.927,62 "
    Urbano,"42,01 ","32,59 ","31,78 ","56,98 ","72,54 ","51,08 ","41,82 ","81,52 "
    Gasolina - veículo próprio,"93,47 ","37,31 ","52,18 ","118,86 ","242,71 ","285,50 ","559,00 ","484,51 "
    Álcool - veículo próprio,"4,38 ","1,31 ","0,15 ","4,53 ","23,21 ","24,14 ","19,46 ",-
    Manutenção e acessórios,"54,64 ","17,74 ","24,47 ","85,08 ","134,31 ","178,03 ","213,61 ","375,02 "
    Aquisição de veículos,"102,99 ","17,13 ","60,95 ","133,53 ","331,77 ","324,79 ","764,40 ","736,45 "
    Viagens esporádicas,"36,11 ","8,10 ","11,30 ","25,20 ","70,37 ","105,77 ","179,63 ","1.022,88 "
    Outras,"14,61 ","0,90 ","5,45 ","13,83 ","35,09 ","65,79 ","196,19 ","227,24 "
   Higiene e Cuidados Pessoais,"126,46 ","75,54 ","109,77 ","159,65 ","207,58 ","322,32 ","439,41 ","360,06 "
    Perfume,"43,64 ","24,33 ","37,45 ","60,17 ","67,71 ","123,39 ","160,18 ","95,10 "
    Produtos para cabelo,"16,07 ","10,03 ","14,29 ","18,28 ","29,36 ","39,93 ","69,24 ","32,65 "
    Sabonete,"8,86 ","5,83 ","8,23 ","11,48 ","14,48 ","17,68 ","24,16 ","12,84 "
    Instrumentos e produtos de uso pessoal,"57,88 ","35,36 ","49,81 ","69,73 ","96,02 ","141,32 ","185,83 ","219,47 "
   Assistência a saúde,"180,42 ","67,91 ","126,97 ","222,87 ","444,50 ","552,11 ","796,78 ","1.158,52 "
    Remédios,"97,88 ","43,81 ","70,24 ","122,25 ","250,47 ","303,06 ","317,00 ","390,39 "
    Plano/Seguro saúde,"34,62 ","1,46 ","8,79 ","38,15 ","98,95 ","163,65 ","380,49 ","500,18 "
    Consulta e tratamento dentário  ,"3,96 ","1,62 ","2,29 ","7,28 ","11,43 ","6,31 ","1,78 ","9,32 "
    Consulta médica,"14,57 ","6,93 ","14,39 ","22,00 ","23,18 ","31,11 ","24,52 ","60,19 "
    Tratamento médico e ambulatorial,"1,46 ","0,56 ","0,03 ","2,14 ","2,35 ","7,94 ","24,66 ","1,81 "
    Serviços de cirurgia,"3,24 ","3,64 ","0,86 ","4,65 ","5,59 ",-,-,-
    Hospitalização,-,-,-,-,-,-,-,-
    Exames diversos,"9,77 ","5,38 ","9,36 ","11,68 ","22,58 ","15,77 ","11,76 ","44,63 "
    Material de tratamento,"11,66 ","4,29 ","10,62 ","11,77 ","27,94 ","22,80 ","35,90 ","133,20 "
    Outras,"3,26 ","0,22 ","10,40 ","2,95 ","2,01 ","1,46 ","0,68 ","18,80 "
    Educação,"105,97 ","34,04 ","58,22 ","124,88 ","301,33 ","464,60 ","510,04 ","603,43 "
    Cursos regulares,"30,78 ","5,30 ","14,08 ","36,59 ","122,04 ","125,24 ","135,53 ","206,20 "
    Cursos superiores,"21,25 ","4,52 ","6,88 ","17,16 ","53,63 ","196,95 ","123,76 ","155,23 "
    Outros cursos e atividades,"17,99 ","4,37 ","9,28 ","24,82 ","45,15 ","76,65 ","76,31 ","149,36 "
    Livros didáticos e revistas técnicas,"20,90 ","12,98 ","17,49 ","24,45 ","45,45 ","29,04 ","138,57 ","25,07 "
    Artigos escolares,"5,93 ","4,03 ","3,85 ","8,57 ","9,95 ","14,41 ","12,65 ","9,90 "
    Outras,"9,13 ","2,84 ","6,63 ","13,28 ","25,12 ","22,30 ","23,22 ","57,66 "
   Recreação e cultura,"75,39 ","27,02 ","43,41 ","98,00 ","136,06 ","244,65 ","319,14 ","850,29 "
    Brinquedos e jogos,"4,79 ","1,70 ","3,20 ","6,07 ","14,90 ","15,51 ","9,41 ","24,99 "
    Celular e acessórios,"44,75 ","21,79 ","32,58 ","69,79 ","77,14 ","131,06 ","110,90 ","152,74 "
"    Periódicos, livros e revistas não didáticos","2,75 ","0,41 ","0,34 ","2,53 ","4,22 ","21,73 ","10,08 ","58,49 "
    Recreações e esportes,"10,21 ","1,54 ","4,09 ","10,16 ","24,48 ","30,90 ","127,65 ","161,36 "
    Outras,"12,90 ","1,58 ","3,21 ","9,45 ","15,32 ","45,46 ","61,11 ","452,71 "
   Fumo,"10,00 ","7,97 ","6,68 ","12,19 ","18,32 ","10,45 ","8,03 ","46,76 "
   Serviços pessoais,"32,50 ","13,37 ","20,82 ","34,59 ","74,81 ","133,10 ","159,84 ","220,10 "
    Cabeleireiro,"21,72 ","10,20 ","15,14 ","23,50 ","50,21 ","69,81 ","93,31 ","138,11 "
    Manicuro e pedicuro,"5,22 ","1,42 ","1,88 ","5,26 ","11,48 ","32,31 ","44,45 ","46,14 "
