"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"2.841,37 ","1.307,97 ","2.072,19 ","3.265,19 ","5.995,30 ","8.895,69 ","13.733,48 ","19.224,28 "
 Despesas correntes,"2.676,57 ","1.258,98 ","1.929,93 ","3.067,85 ","5.620,94 ","8.219,58 ","12.907,20 ","18.749,25 "
  Despesas de consumo,"2.428,64 ","1.224,51 ","1.849,57 ","2.863,30 ","5.060,21 ","6.692,66 ","10.255,71 ","13.294,03 "
   Alimentação,"647,17 ","425,72 ","583,43 ","760,46 ","1.165,61 ","988,60 ","1.723,31 ","2.601,41 "
   Habitação,"717,02 ","389,94 ","590,69 ","845,56 ","1.291,96 ","1.917,10 ","2.904,42 ","3.302,34 "
    Aluguel,"311,60 ","184,96 ","257,55 ","361,60 ","520,90 ","897,45 ","1.163,02 ","1.012,79 "
     Aluguel monetário,"17,07 ","11,13 ","17,54 ","18,23 ","24,50 ","26,85 ","99,77 ",-
     Aluguel não monetário,"294,53 ","173,82 ","240,01 ","343,36 ","496,39 ","870,60 ","1.063,25 ","1.012,79 "
    Condomínio,"3,45 ",-,-,"3,08 ","6,77 ","33,62 ","23,12 ","116,01 "
    Serviços e taxas,"226,58 ","122,65 ","192,99 ","270,73 ","434,59 ","595,54 ","771,76 ","823,87 "
     Energia elétrica,"88,95 ","46,92 ","71,82 ","104,93 ","168,56 ","258,20 ","349,80 ","381,55 "
     Telefone fixo,"1,99 ","0,71 ","1,92 ","2,17 ","4,33 ","7,20 ","9,18 ","8,07 "
     Telefone Celular,"31,18 ","13,67 ","24,75 ","40,78 ","66,83 ","90,30 ","98,14 ","149,76 "
"     Pacote de telefone, TV e Internet","10,40 ","1,02 ","3,37 ","10,03 ","35,71 ","65,98 ","100,40 ","89,23 "
     Gás doméstico,"41,54 ","35,12 ","43,35 ","46,70 ","51,06 ","48,65 ","46,37 ","30,03 "
     Água e esgoto,"28,72 ","16,74 ","24,78 ","36,48 ","47,13 ","65,28 ","98,86 ","79,52 "
     Outros,"23,80 ","8,48 ","23,00 ","29,64 ","60,98 ","59,94 ","69,01 ","85,70 "
    Manutenção do lar,"76,73 ","26,57 ","50,13 ","91,67 ","166,21 ","157,67 ","599,19 ","991,18 "
    Artigos de limpeza,"16,55 ","8,47 ","17,35 ","18,85 ","28,76 ","33,41 ","76,85 ","38,46 "
    Mobiliários e artigos do lar,"34,88 ","19,85 ","30,37 ","47,59 ","53,37 ","70,09 ","117,20 ","94,53 "
    Eletrodomésticos,"44,93 ","25,84 ","40,73 ","49,84 ","75,14 ","124,22 ","147,28 ","214,85 "
    Consertos artigos do lar,"2,31 ","1,60 ","1,59 ","2,19 ","6,22 ","5,10 ","5,99 ","10,66 "
   Vestuário,"111,46 ","50,96 ","80,46 ","146,60 ","244,19 ","267,38 ","520,91 ","515,80 "
    Roupa de homem,"29,89 ","11,93 ","21,24 ","40,96 ","61,44 ","77,50 ","128,98 ","233,50 "
    Roupa de mulher,"35,29 ","14,67 ","25,86 ","46,79 ","85,34 ","76,45 ","205,89 ","88,61 "
    Roupa de criança,"13,14 ","9,18 ","9,47 ","16,63 ","27,71 ","16,21 ","33,21 ","47,08 "
    Calçados e apetrechos,"28,25 ","13,99 ","21,07 ","36,12 ","56,87 ","80,10 ","110,30 ","117,43 "
    Jóias e bijuterias,"3,93 ","0,84 ","2,03 ","4,61 ","11,52 ","14,50 ","35,52 ","29,17 "
    Tecidos e armarinhos,"0,97 ","0,37 ","0,80 ","1,49 ","1,30 ","2,62 ","7,00 ",-
   Transporte,"422,79 ","137,73 ","232,32 ","490,00 ","1.146,47 ","1.588,03 ","2.492,59 ","3.855,32 "
    Urbano,"40,82 ","26,37 ","35,95 ","59,77 ","57,00 ","60,69 ","60,71 ","102,44 "
    Gasolina - veículo próprio,"130,63 ","59,35 ","74,88 ","143,25 ","311,73 ","469,17 ","618,15 ","1.259,15 "
    Álcool - veículo próprio,"1,11 ",-,"0,36 ","2,93 ","0,36 ","9,28 ",-,-
    Manutenção e acessórios,"51,87 ","16,92 ","32,31 ","68,68 ","105,28 ","201,56 ","259,38 ","477,85 "
    Aquisição de veículos,"148,56 ","23,74 ","62,44 ","161,42 ","557,50 ","673,93 ","1.110,28 ","1.155,70 "
    Viagens esporádicas,"29,00 ","7,29 ","17,41 ","33,77 ","76,47 ","77,89 ","144,35 ","572,54 "
    Outras,"20,81 ","4,07 ","8,98 ","20,17 ","38,14 ","95,52 ","299,72 ","287,64 "
   Higiene e Cuidados Pessoais,"119,37 ","67,67 ","87,54 ","148,55 ","267,17 ","276,96 ","405,68 ","346,44 "
    Perfume,"44,69 ","20,81 ","27,80 ","59,94 ","106,81 ","121,78 ","199,77 ","160,82 "
    Produtos para cabelo,"13,59 ","8,74 ","11,27 ","15,15 ","32,28 ","27,27 ","32,05 ","25,04 "
    Sabonete,"7,82 ","5,04 ","6,89 ","9,01 ","14,92 ","17,11 ","20,59 ","16,33 "
    Instrumentos e produtos de uso pessoal,"53,26 ","33,09 ","41,58 ","64,45 ","113,16 ","110,80 ","153,27 ","144,24 "
   Assistência a saúde,"170,87 ","72,33 ","131,48 ","205,57 ","365,70 ","570,52 ","754,45 ","887,32 "
    Remédios,"92,21 ","53,34 ","85,25 ","116,00 ","155,26 ","173,07 ","251,27 ","401,48 "
    Plano/Seguro saúde,"37,34 ","0,96 ","10,91 ","38,11 ","114,43 ","281,28 ","360,80 ","373,33 "
    Consulta e tratamento dentário  ,"3,76 ","1,31 ","2,04 ","3,13 ","12,45 ","25,22 ","19,26 ",-
    Consulta médica,"14,15 ","5,47 ","15,50 ","16,60 ","35,64 ","20,14 ","64,12 ","26,70 "
    Tratamento médico e ambulatorial,"0,42 ","0,29 ","0,35 ","0,10 ","1,30 ","0,64 ","5,63 ",-
    Serviços de cirurgia,"0,37 ","0,02 ",-,"0,13 ",-,"9,84 ",-,-
    Hospitalização,"1,25 ",-,-,"1,86 ",-,"24,24 ",-,-
    Exames diversos,"10,17 ","6,14 ","7,03 ","17,66 ","19,68 ","6,86 ","13,19 ","12,66 "
    Material de tratamento,"9,50 ","4,45 ","10,14 ","10,43 ","22,29 ","18,51 ","22,55 ","44,72 "
    Outras,"1,70 ","0,34 ","0,26 ","1,54 ","4,65 ","10,73 ","17,65 ","28,44 "
    Educação,"121,23 ","37,04 ","64,13 ","126,95 ","300,15 ","640,08 ","816,82 ","956,78 "
    Cursos regulares,"30,47 ","2,53 ","9,90 ","29,07 ","105,62 ","186,14 ","329,40 ","246,22 "
    Cursos superiores,"22,17 ","3,61 ","4,64 ","25,30 ","66,18 ","125,22 ","114,27 ","467,94 "
    Outros cursos e atividades,"12,70 ","2,00 ","7,36 ","11,97 ","29,28 ","58,11 ","210,21 ","24,84 "
