"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"641,75","282,30","364,60","594,64","829,12","1164,43","1456,71","2062,82"
 Alimentação no domicílio,"448,09","234,68","277,15","441,02","554,28","755,59","899,55","1154,46"
"  Cereais, leguminosas e oleaginosas","16,88","15,11","16,27","16,94","17,39","18,95","20,67","18,71"
   Arroz,"9,25","8,88","9,45","9,89","8,77","7,99","10,82","6,42"
   Feijão,"4,23","4,63","4,30","4,24","4,10","4,83","3,21","1,21"
   Orgânicos,"0,06","0,05","0,02","0,04","0,13",-,"0,16",-
   Outros,"3,34","1,55","2,50","2,76","4,39","6,13","6,48","11,08"
"  Farinhas, féculas e massas","15,57","11,28","12,18","15,23","18,37","18,61","32,51","24,78"
   Macarrão,"5,24","4,58","4,60","5,55","5,62","6,25","5,09","5,66"
   Farinha de trigo,"2,54","2,94","2,41","2,78","2,09","2,17","1,98","2,30"
   Farinha de mandioca,"0,55","0,49","0,61","0,58","0,65","0,36","0,46",-
   Outras,"7,24","3,27","4,55","6,32","10,01","9,82","24,99","16,81"
  Tubérculos e raízes,"6,27","4,42","4,35","6,93","6,18","9,59","12,76","6,10"
   Batata inglesa,"2,33","1,73","1,43","2,60","2,35","3,03","6,99","0,56"
   Cenoura,"0,90","0,38","0,45","1,15","0,95","1,42","1,41","2,26"
   Mandioca,"1,07","1,14","0,94","1,24","1,05","1,04","0,51","0,23"
   Outros,"1,97","1,17","1,54","1,94","1,82","4,10","3,86","3,05"
  Açúcares e derivados,"24,62","13,75","15,90","22,23","31,11","52,88","47,03","42,29"
   Açúcar refinado,"1,91","1,86","1,85","1,90","2,18","1,37","3,18","0,93"
   Açúcar cristal,"2,24","2,48","2,74","2,43","1,68","2,07","1,14",-
   Light e diet,"0,10","0,06","0,11","0,12","0,12","0,10",-,"0,32"
   Outros,"20,36","9,35","11,20","17,79","27,13","49,34","42,71","41,03"
  Legumes e verduras,"14,37","8,33","8,62","13,57","17,49","21,64","33,05","43,54"
   Tomate,"4,18","3,05","2,32","3,96","4,84","6,47","7,68","13,15"
   Cebola,"1,70","1,22","1,06","1,51","2,08","2,24","3,94","4,99"
   Alface,"1,99","1,42","1,35","2,19","1,92","2,06","4,24","5,13"
   Outros,"6,51","2,65","3,88","5,91","8,65","10,86","17,21","20,28"
  Frutas,"20,59","9,08","13,95","19,02","22,87","37,28","49,43","69,39"
   Banana,"4,16","2,46","3,34","4,21","4,40","6,57","7,64","8,49"
   Laranja,"1,98","1,21","1,59","2,08","2,02","3,11","3,53","3,42"
   Maçã,"2,42","1,57","1,70","2,43","2,56","3,28","4,03","8,41"
   Outras frutas,"12,02","3,83","7,33","10,30","13,89","24,32","34,22","49,08"
"  Carnes, vísceras e pescados","82,90","44,38","54,20","86,55","105,00","127,90","138,11","185,16"
   Carne de boi de primeira,"26,51","6,85","13,57","27,92","35,76","47,69","50,94","96,66"
   Carne de boi de segunda,"16,11","14,04","13,80","17,90","14,88","25,29","14,44","8,10"
   Carne de suíno,"9,74","8,40","6,56","10,43","12,25","11,27","10,44","13,06"
   Carnes e peixes industrializados,"19,05","8,93","13,39","17,71","26,14","30,42","41,86","42,08"
   Pescados frescos,"1,88","1,30","0,57","1,63","2,63","5,09","2,33","4,03"
   Outros,"9,62","4,87","6,33","10,97","13,32","8,13","18,10","21,22"
  Aves e ovos,"22,81","15,00","17,69","25,32","23,97","34,61","29,92","34,14"
   Frango,"16,50","11,71","13,71","19,07","15,88","22,25","18,38","24,32"
   Ovo de galinha,"5,03","2,73","3,50","5,34","6,40","8,83","6,70","7,44"
   Orgânicos,"0,01",-,-,"0,03",-,-,-,-
   Outros,"1,27","0,57","0,48","0,88","1,69","3,53","4,84","2,38"
  Leites e derivados,"44,49","21,42","26,73","41,06","55,81","77,76","119,22","109,41"
   Leite de vaca,"15,08","10,18","10,63","14,29","18,63","23,95","33,28","17,81"
   Leite em pó,"2,76","1,75","1,23","3,01","3,79","2,47","10,06","1,51"
   Queijos,"11,27","3,16","5,70","9,01","14,29","26,36","35,54","41,78"
   Light e diet,"0,51","0,01","0,27","0,58","0,61","0,37","0,86","4,66"
   Orgânicos,"0,19","0,14","0,11","0,07","0,02","0,76","0,80","1,26"
   Outros,"14,68","6,20","8,79","14,10","18,47","23,85","38,68","42,39"
  Panificados,"41,22","19,42","25,50","39,68","53,77","74,81","65,48","128,87"
   Pão francês,"11,70","7,41","8,81","12,57","15,79","15,44","14,92","12,98"
   Biscoito,"11,47","6,82","7,17","11,70","13,67","18,36","20,75","27,04"
   Light e diet,"0,19","0,05","0,06","0,13","0,25","0,09",-,"3,22"
   Outros panificados,"17,86","5,15","9,47","15,28","24,06","40,93","29,81","85,63"
  Óleos e gorduras,"7,46","5,94","5,47","6,60","9,43","13,61","9,86","10,30"
   Óleo de soja,"4,42","4,63","4,28","3,97","4,26","5,24","4,78","7,66"
   Azeite de oliva,"1,84","0,36","0,59","1,54","3,07","6,15","3,83","2,33"
   Outros,"1,20","0,95","0,60","1,09","2,10","2,21","1,25","0,32"
