"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"4.611,78 ","1.580,67 ","2.371,68 ","3.467,02 ","6.030,19 ","8.681,12 ","13.532,35 ","29.938,35 "
 Despesas correntes,"4.380,78 ","1.550,84 ","2.310,61 ","3.345,29 ","5.841,95 ","8.254,65 ","12.990,21 ","25.706,48 "
  Despesas de consumo,"3.753,21 ","1.463,16 ","2.146,10 ","3.068,23 ","5.028,69 ","6.785,40 ","10.738,17 ","18.040,99 "
   Alimentação,"596,14 ","275,91 ","373,29 ","553,66 ","720,58 ","1.075,60 ","1.403,07 ","2.267,87 "
   Habitação,"1.634,44 ","760,22 ","1.063,01 ","1.363,31 ","2.135,68 ","2.680,57 ","4.501,46 ","6.776,48 "
    Aluguel,"875,85 ","431,74 ","612,09 ","758,91 ","1.175,57 ","1.326,81 ","2.247,11 ","3.180,18 "
     Aluguel monetário,"126,61 ","95,28 ","111,48 ","108,41 ","162,32 ","229,96 ","157,27 ","180,99 "
     Aluguel não monetário,"749,24 ","336,47 ","500,61 ","650,50 ","1.013,26 ","1.096,84 ","2.089,84 ","2.999,19 "
    Condomínio,"99,26 ","10,17 ","12,97 ","39,81 ","138,49 ","245,84 ","551,18 ","911,01 "
    Serviços e taxas,"408,99 ","214,64 ","300,87 ","387,28 ","551,52 ","618,09 ","865,98 ","1.119,03 "
     Energia elétrica,"148,41 ","93,08 ","117,96 ","147,32 ","189,09 ","206,90 ","257,79 ","321,36 "
     Telefone fixo,"17,57 ","11,98 ","17,38 ","17,08 ","19,48 ","19,32 ","31,15 ","37,90 "
     Telefone Celular,"50,68 ","16,34 ","27,98 ","44,08 ","76,91 ","74,17 ","151,37 ","251,76 "
"     Pacote de telefone, TV e Internet","72,23 ","16,69 ","35,10 ","58,54 ","112,82 ","138,31 ","245,83 ","324,91 "
     Gás doméstico,"41,19 ","34,55 ","35,93 ","38,16 ","38,67 ","56,56 ","69,32 ","97,08 "
     Água e esgoto,"37,23 ","21,72 ","32,34 ","39,89 ","55,28 ","47,31 ","48,22 ","37,66 "
     Outros,"41,68 ","20,27 ","34,18 ","42,21 ","59,28 ","75,53 ","62,31 ","48,36 "
    Manutenção do lar,"130,37 ","33,07 ","47,19 ","73,96 ","140,17 ","299,11 ","556,14 ","1.094,42 "
    Artigos de limpeza,"17,71 ","9,66 ","11,25 ","18,30 ","19,71 ","26,89 ","36,79 ","63,91 "
    Mobiliários e artigos do lar,"47,24 ","26,23 ","36,13 ","37,18 ","48,32 ","71,75 ","124,09 ","246,80 "
    Eletrodomésticos,"52,05 ","33,31 ","40,86 ","45,61 ","58,12 ","87,28 ","113,12 ","140,64 "
    Consertos artigos do lar,"2,96 ","1,41 ","1,64 ","2,25 ","3,77 ","4,80 ","7,05 ","20,49 "
   Vestuário,"122,18 ","48,80 ","62,64 ","109,76 ","163,05 ","219,12 ","298,20 ","615,99 "
    Roupa de homem,"28,83 ","7,76 ","16,38 ","28,16 ","41,82 ","51,57 ","70,88 ","117,81 "
    Roupa de mulher,"39,67 ","18,62 ","21,44 ","35,46 ","49,59 ","69,26 ","88,49 ","207,83 "
    Roupa de criança,"14,60 ","8,98 ","8,08 ","12,22 ","19,83 ","20,50 ","36,81 ","66,03 "
    Calçados e apetrechos,"33,29 ","12,62 ","14,28 ","31,05 ","47,89 ","65,42 ","83,41 ","137,28 "
    Jóias e bijuterias,"4,97 ","0,59 ","1,50 ","2,04 ","2,87 ","12,10 ","16,21 ","84,46 "
    Tecidos e armarinhos,"0,81 ","0,22 ","0,96 ","0,83 ","1,06 ","0,28 ","2,39 ","2,57 "
   Transporte,"574,31 ","135,12 ","261,57 ","450,53 ","892,98 ","1.168,76 ","1.864,59 ","2.874,30 "
    Urbano,"119,98 ","64,47 ","87,14 ","133,72 ","136,40 ","197,91 ","217,00 ","195,49 "
    Gasolina - veículo próprio,"107,28 ","19,00 ","43,96 ","81,09 ","183,47 ","238,93 ","366,32 ","476,82 "
    Álcool - veículo próprio,"8,22 ","0,08 ","2,52 ","7,22 ","11,35 ","19,51 ","51,13 ","7,14 "
    Manutenção e acessórios,"44,58 ","12,85 ","23,16 ","39,60 ","74,16 ","77,90 ","137,66 ","142,96 "
    Aquisição de veículos,"180,11 ","27,77 ","65,62 ","125,79 ","288,88 ","395,66 ","622,10 ","1.179,81 "
    Viagens esporádicas,"54,94 ","5,63 ","17,14 ","21,50 ","76,52 ","95,60 ","309,32 ","569,29 "
    Outras,"59,20 ","5,31 ","22,03 ","41,61 ","122,20 ","143,27 ","161,06 ","302,78 "
   Higiene e Cuidados Pessoais,"98,69 ","55,57 ","73,03 ","96,34 ","139,13 ","159,32 ","156,14 ","222,22 "
    Perfume,"19,80 ","10,02 ","15,99 ","17,33 ","29,66 ","40,64 ","31,34 ","29,71 "
    Produtos para cabelo,"14,50 ","8,66 ","11,78 ","14,61 ","19,80 ","19,82 ","22,23 ","30,34 "
    Sabonete,"7,57 ","5,52 ","6,54 ","7,41 ","9,70 ","9,43 ","11,20 ","13,02 "
    Instrumentos e produtos de uso pessoal,"56,82 ","31,37 ","38,72 ","56,98 ","79,96 ","89,42 ","91,38 ","149,16 "
   Assistência a saúde,"311,36 ","97,37 ","149,05 ","205,38 ","412,78 ","653,75 ","1.156,19 ","1.830,44 "
    Remédios,"128,81 ","66,41 ","94,85 ","104,57 ","167,35 ","237,54 ","283,09 ","463,62 "
    Plano/Seguro saúde,"123,57 ","15,31 ","21,96 ","58,02 ","184,93 ","281,19 ","650,80 ","1.030,38 "
    Consulta e tratamento dentário  ,"11,47 ","1,00 ","6,97 ","7,98 ","17,97 ","17,79 ","64,76 ","37,18 "
