"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"386,79","203,78","290,27","456,11","624,25","939,99","904,45","1063,53"
 Alimentação no domicílio,"274,64","163,82","198,40","342,41","410,15","637,89","490,84","460,10"
"  Cereais, leguminosas e oleaginosas","20,18","15,77","19,87","24,46","21,87","19,88","17,87","16,55"
   Arroz,"13,61","11,01","13,19","16,09","15,50","12,51","12,07","10,24"
   Feijão,"4,62","3,65","5,30","6,25","2,84","1,00","3,08",-
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"1,96","1,11","1,38","2,12","3,53","6,37","2,72","6,31"
"  Farinhas, féculas e massas","11,17","5,86","9,78","14,21","12,43","25,03","20,89","50,53"
   Macarrão,"2,16","1,70","1,79","2,33","2,71","3,46","3,97","8,14"
   Farinha de trigo,"2,36","1,31","2,05","4,00","2,37","0,41","0,36",-
   Farinha de mandioca,"1,80","1,10","0,98","2,53","2,24","4,16","3,04","7,32"
   Outras,"4,85","1,74","4,96","5,35","5,11","17,00","13,52","35,07"
  Tubérculos e raízes,"4,45","2,44","2,96","5,72","8,40","8,14","7,02","1,95"
   Batata inglesa,"1,68","0,78","1,26","2,19","3,43","1,40","3,68",-
   Cenoura,"0,67","0,42","0,62","0,59","1,49","1,51","0,94",-
   Mandioca,"0,54","0,44","0,14","0,83","0,85","0,59",-,"1,23"
   Outros,"1,56","0,79","0,93","2,12","2,63","4,63","2,40","0,73"
  Açúcares e derivados,"14,37","8,48","6,70","19,74","22,63","33,73","40,37","10,71"
   Açúcar refinado,"1,10","1,22","0,33","1,69","0,94","1,55",-,-
   Açúcar cristal,"3,26","1,92","3,10","3,69","6,44","2,88","1,61","3,98"
   Light e diet,"0,03",-,-,-,-,-,"1,28",-
   Outros,"9,99","5,34","3,26","14,35","15,25","29,30","37,48","6,73"
  Legumes e verduras,"11,42","6,07","9,43","14,95","16,57","19,87","21,10","12,37"
