"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total," 3 157,71"," 1 335,58"," 1 979,97"," 3 341,66"," 5 939,42"," 9 622,37"," 9 901,47"," 24 120,30"
 Despesas correntes," 2 887,73"," 1 299,72"," 1 895,73"," 3 094,97"," 5 439,62"," 8 598,80"," 8 649,08"," 16 046,28"
  Despesas de consumo," 2 566,77"," 1 203,45"," 1 742,64"," 2 781,43"," 4 782,07"," 7 244,95"," 7 359,46"," 12 321,08"
   Alimentação,"  386,79","  203,78","  290,27","  456,11","  624,25","  939,99","  904,45"," 1 063,53"
   Habitação,"  915,90","  526,27","  707,23"," 1 004,01"," 1 431,87"," 2 158,64"," 2 204,43"," 4 068,72"
    Aluguel,"  445,68","  268,03","  363,40","  485,06","  694,37","  908,38"," 1 101,89"," 1 497,40"
     Aluguel monetário,"  49,68","  42,16","  46,29","  50,45","  34,30","  33,28","  301,63","  28,12"
     Aluguel não monetário,"  396,00","  225,87","  317,11","  434,61","  660,07","  875,10","  800,26"," 1 469,28"
    Condomínio,"  3,60",-,-,"  3,33","  1,76","  6,85","  73,66","  103,05"
    Serviços e taxas,"  254,88","  157,84","  195,75","  278,34","  389,93","  638,62","  558,93","  864,62"
     Energia elétrica,"  118,61","  78,19","  91,71","  123,71","  181,39","  291,33","  276,84","  407,43"
     Telefone fixo,"  4,85","  2,81","  2,39","  4,90","  7,65","  10,31","  33,82","  22,90"
     Telefone Celular,"  25,85","  11,20","  18,10","  30,67","  46,57","  84,02","  36,02","  120,40"
"     Pacote de telefone, TV e Internet","  19,70","  4,98","  8,00","  20,52","  44,61","  86,03","  84,80","  166,62"
     Gás doméstico,"  38,08","  32,39","  39,42","  41,38","  38,50","  39,83","  50,66","  44,40"
     Água e esgoto,"  17,74","  16,06","  13,84","  17,21","  21,18","  37,71","  38,48","  49,87"
     Outros,"  30,04","  12,22","  22,27","  39,95","  50,02","  89,40","  38,29","  53,00"
    Manutenção do lar,"  59,24","  17,06","  26,56","  68,88","  97,96","  257,93","  209,25","  711,30"
    Artigos de limpeza,"  20,15","  14,02","  15,31","  24,53","  30,16","  37,88","  7,82","  64,20"
    Mobiliários e artigos do lar,"  56,84","  27,57","  43,06","  61,41","  102,91","  140,50","  115,96","  353,83"
    Eletrodomésticos,"  72,68","  40,94","  61,38","  79,03","  109,63","  156,35","  126,31","  470,49"
    Consertos artigos do lar,"  2,83","  0,80","  1,77","  3,43","  5,16","  12,12","  10,60","  3,83"
