"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total," 3 346,81"," 1 326,83"," 2 132,61"," 3 062,43"," 5 457,18"," 8 717,15"," 8 086,07"," 13 727,71"
 Despesas correntes," 3 206,72"," 1 285,38"," 2 096,16"," 2 938,70"," 5 216,28"," 8 117,24"," 7 835,47"," 12 993,51"
  Despesas de consumo," 2 701,37"," 1 233,72"," 1 978,52"," 2 629,38"," 4 370,36"," 6 666,51"," 5 521,96"," 7 650,26"
   Alimentação,"  545,88","  309,14","  460,37","  491,33","  729,75"," 1 837,96","  663,94","  898,32"
   Habitação," 1 071,03","  527,17","  740,97"," 1 075,99"," 1 719,85"," 1 872,13"," 2 381,80"," 4 109,78"
    Aluguel,"  587,61","  291,03","  397,94","  600,91"," 1 004,63","  918,74"," 1 443,53"," 1 957,89"
     Aluguel monetário,"  47,14","  51,96","  46,54","  52,40","  17,16","  14,61","  57,54","  145,65"
     Aluguel não monetário,"  540,47","  239,07","  351,40","  548,51","  987,47","  904,13"," 1 385,99"," 1 812,24"
    Condomínio,"  4,41",-,-,-,"  26,79","  19,87","  0,26",-
    Serviços e taxas,"  335,25","  181,81","  251,21","  347,65","  485,40","  649,61","  661,41"," 1 031,39"
     Energia elétrica,"  183,59","  98,86","  143,15","  185,72","  270,91","  350,01","  374,98","  548,04"
     Telefone fixo,"  2,47",-,"  1,24","  1,01","  8,65","  2,85","  8,81","  19,81"
     Telefone Celular,"  20,30","  10,02","  7,96","  23,28","  28,49","  68,18","  17,66","  77,68"
"     Pacote de telefone, TV e Internet","  21,02","  4,77","  10,16","  20,21","  41,11","  73,67","  71,10","  45,61"
     Gás doméstico,"  44,59","  37,72","  41,34","  47,40","  52,38","  53,23","  56,22","  60,38"
     Água e esgoto,"  45,15","  26,15","  38,60","  42,80","  71,49","  71,46","  101,49","  109,34"
     Outros,"  18,13","  4,30","  8,76","  27,23","  12,36","  30,20","  31,16","  170,51"
    Manutenção do lar,"  63,13","  13,51","  29,83","  37,13","  78,05","  85,77","  188,54","  957,04"
    Artigos de limpeza,"  19,82","  11,20","  19,93","  21,83","  29,07","  30,89","  26,97","  33,52"
    Mobiliários e artigos do lar,"  21,20","  11,92","  15,47","  16,36","  38,62","  73,40","  36,88","  11,47"
    Eletrodomésticos,"  37,87","  16,98","  25,29","  50,16","  54,64","  89,46","  21,76","  113,15"
    Consertos artigos do lar,"  1,74","  0,71","  1,29","  1,95","  2,67","  4,39","  2,45","  5,33"
   Vestuário,"  96,81","  41,00","  61,09","  115,74","  145,26","  214,90","  299,12","  160,38"
    Roupa de homem,"  25,10","  7,58","  13,39","  27,25","  47,82","  59,30","  62,48","  89,52"
    Roupa de mulher,"  31,94","  11,99","  20,06","  32,28","  53,11","  83,13","  145,18","  18,27"
    Roupa de criança,"  13,75","  12,51","  9,29","  21,16","  10,61","  18,49","  5,76","  6,78"
    Calçados e apetrechos,"  21,68","  7,10","  14,99","  32,23","  23,22","  43,33","  76,51","  36,07"
    Jóias e bijuterias,"  3,55","  1,16","  3,07","  2,39","  9,15","  9,38","  3,33","  9,75"
    Tecidos e armarinhos,"  0,80","  0,65","  0,29","  0,43","  1,35","  1,25","  5,86",-
   Transporte,"  466,60","  98,74","  328,44","  459,08","  990,47"," 1 228,72"," 1 025,15"," 1 463,25"
    Urbano,"  11,99","  8,30","  23,02","  16,83","  5,01","  2,24",-,-
    Gasolina - veículo próprio,"  178,86","  41,31","  126,28","  198,67","  241,85","  551,81","  584,96","  539,76"
    Álcool - veículo próprio,"  0,11",-,-,-,-,-,"  3,52",-
    Manutenção e acessórios,"  62,15","  18,34","  27,09","  76,45","  95,31","  156,17","  102,43","  347,91"
    Aquisição de veículos,"  155,82","  15,33","  117,02","  117,69","  527,06","  366,77","  182,05","  349,00"
    Viagens esporádicas,"  26,98","  10,72","  16,67","  22,29","  26,86","  97,93","  53,48","  175,76"
    Outras,"  30,70","  4,73","  18,36","  27,14","  94,39","  53,80","  98,70","  50,81"
   Higiene e Cuidados Pessoais,"  166,42","  90,23","  136,04","  168,71","  269,05","  374,48","  302,21","  236,43"
    Perfume,"  68,52","  33,41","  68,94","  67,56","  119,93","  89,44","  159,83","  121,78"
    Produtos para cabelo,"  21,36","  11,21","  14,19","  24,65","  36,27","  57,67","  20,71","  24,03"
    Sabonete,"  8,80","  4,48","  6,73","  10,50","  13,59","  11,26","  23,13","  17,68"
    Instrumentos e produtos de uso pessoal,"  67,74","  41,13","  46,18","  66,00","  99,26","  216,12","  98,53","  72,94"
   Assistência a saúde,"  108,42","  58,76","  66,35","  117,50","  116,88","  463,55","  145,41","  108,80"
    Remédios,"  83,80","  51,55","  51,69","  95,04","  79,75","  349,49","  72,40","  81,94"
    Plano/Seguro saúde,"  4,30","  0,03",-,"  5,16","  2,65","  30,32","  18,16","  17,40"
    Consulta e tratamento dentário  ,"  2,08","  0,09","  1,57","  1,13","  0,90","  4,62","  27,34","  9,46"
    Consulta médica,"  7,04","  4,65","  6,22","  4,90","  16,57","  13,86","  9,75",-
    Tratamento médico e ambulatorial,"  0,22",-,-,"  0,89",-,-,-,-
    Serviços de cirurgia,"  1,23",-,-,-,-,"  21,81",-,-
    Hospitalização,"  0,34",-,"  1,79",-,-,-,-,-
    Exames diversos,"  4,04","  0,06","  4,67","  4,69","  8,93","  13,92","  3,33",-
    Material de tratamento,"  3,09","  2,10","  0,41","  0,20","  2,67","  26,31","  14,44",-
    Outras,"  2,28","  0,28",-,"  5,50","  5,41","  3,23",-,-
    Educação,"  107,14","  42,62","  96,64","  72,26","  129,67","  353,24","  299,37","  474,39"
    Cursos regulares,"  47,62","  20,00","  56,44","  21,96","  42,92","  78,32","  123,09","  459,03"
    Cursos superiores,"  30,33","  3,79","  20,77","  20,24","  58,60","  210,69","  35,51",-
    Outros cursos e atividades,"  19,80","  13,08","  13,92","  21,88","  14,27","  34,67","  111,46","  9,37"
    Livros didáticos e revistas técnicas,"  1,34","  0,16","  0,72","  0,21","  0,28","  10,11","  15,39",-
    Artigos escolares,"  5,23","  4,73","  3,58","  5,67","  3,69","  17,22","  1,29","  5,99"
    Outras,"  2,82","  0,86","  1,21","  2,29","  9,91","  2,23","  12,63",-
   Recreação e cultura,"  54,50","  14,50","  29,49","  41,24","  136,02","  92,06","  293,91","  112,84"
    Brinquedos e jogos,"  2,08","  0,58","  1,93","  2,10","  1,99","  4,05","  6,01","  13,80"
    Celular e acessórios,"  35,87","  8,34","  12,25","  18,27","  118,08","  48,00","  247,36","  50,24"
"    Periódicos, livros e revistas não didáticos","  1,71","  0,44","  2,91","  0,65","  3,69","  6,18","  1,57",-
    Recreações e esportes,"  11,11","  4,23","  8,41","  15,44","  8,33","  28,19","  37,04","  22,30"
    Outras,"  3,74","  0,91","  3,99","  4,77","  3,93","  5,64","  1,93","  26,50"
   Fumo,"  14,79","  8,78","  11,26","  16,84","  32,57","  23,45","  10,15",-
   Serviços pessoais,"  28,47","  11,54","  22,97","  29,55","  45,02","  77,17","  74,52","  33,54"
    Cabeleireiro,"  19,43","  8,38","  13,82","  22,21","  30,31","  54,29","  46,51","  14,22"
    Manicuro e pedicuro,"  5,11","  2,20","  5,62","  4,29","  6,40","  13,04","  20,82","  3,34"
    Consertos de artigos pessoais ,"  0,40","  0,05","  0,66","  0,42","  0,10","  2,58",-,-
    Outras,"  3,52","  0,90","  2,87","  2,63","  8,21","  7,26","  7,18","  15,97"
   Despesas diversas,"  41,31","  31,24","  24,90","  41,13","  55,82","  128,85","  26,37","  52,54"
    Jogos e apostas,"  13,83","  7,76","  14,62","  19,17","  26,63","  7,16","  2,29","  2,31"
    Comunicação,"  3,10","  1,15","  2,17","  4,25","  3,70","  6,21","  9,62","  6,43"
    Cerimônias e festas,"  3,92","  2,23","  0,46","  3,05","  8,51","  18,15","  3,75","  6,71"
    Serviços profissionais,"  7,61","  12,73","  1,59","  5,14","  5,93","  14,82",-,"  12,32"
    Imóveis de uso ocasional,"  6,24","  3,98","  2,21","  2,76","  4,45","  58,52",-,-
    Outras,"  6,61","  3,38","  3,85","  6,76","  6,60","  23,99","  10,71","  24,76"
  Outras despesas correntes,"  505,35","  51,66","  117,65","  309,32","  845,92"," 1 450,72"," 2 313,51"," 5 343,25"
    Impostos,"  268,61","  15,79","  55,29","  170,08","  415,96","  700,18","  972,08"," 3 662,98"
    Contribuições trabalhistas,"  185,91","  20,92","  54,42","  125,69","  379,81","  609,92","  919,51"," 1 128,65"
    Serviços bancários,"  14,61","  5,70","  2,62","  8,83","  22,22","  2,69","  216,25","  11,85"
"    Pensões, mesadas e doações","  6,58","  3,21",-,"  0,68","  19,85","  46,16","  10,37",-
    Previdência privada,"  0,62",-,-,-,-,-,"  19,36",-
    Outras,"  29,01","  6,05","  5,32","  4,04","  8,08","  91,77","  175,94","  539,77"
 Aumento do ativo,"  61,00","  22,85","  17,77","  46,04","  69,30","  237,38","  91,14","  573,83"
   Imóvel (aquisição),"  18,65","  2,86",-,"  1,89","  9,09","  72,88","  45,04","  431,65"
   Imóvel (reforma),"  42,31","  19,99","  17,77","  44,14","  60,21","  163,86","  46,10","  142,19"
  Outros investimentos,"  0,04",-,-,-,-,"  0,64",-,-
 Diminuição do passivo,"  79,10","  18,59","  18,67","  77,69","  171,59","  362,53","  159,46","  160,36"
   Empréstimo,"  73,61","  13,79","  18,67","  77,69","  171,59","  312,94","  124,45","  160,36"
   Prestação de imóvel,"  5,49","  4,80",-,-,-,"  49,59","  35,01",-
Número de famílias,137535,45276,26363,33524,16870,7733,4393,3376
Tamanho médio da família,"3,68","3,34","3,67","3,93","4,03","4,30","3,43","3,19"
