"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"736,69","314,88","433,73","630,77","862,44","1214,03","1499,12","2063,73"
 Alimentação no domicílio,"487,00","248,57","339,91","440,32","534,63","760,46","835,10","1253,49"
"  Cereais, leguminosas e oleaginosas","19,23","12,89","18,91","19,17","16,92","22,57","24,77","51,06"
   Arroz,"9,24","7,37","10,69","10,72","7,48","8,16","7,16","11,94"
   Feijão,"4,41","4,01","4,62","4,73","4,00","3,51","5,47","5,12"
   Orgânicos,"0,08",-,-,-,"0,12","0,48",-,"0,65"
   Outros,"5,50","1,50","3,61","3,71","5,32","10,41","12,14","33,35"
"  Farinhas, féculas e massas","17,67","9,51","12,35","16,81","21,63","23,87","31,57","23,68"
   Macarrão,"5,18","4,15","4,51","5,32","5,17","5,78","8,18","4,98"
   Farinha de trigo,"3,39","1,83","3,14","3,81","3,43","3,24","5,41","3,40"
   Farinha de mandioca,"0,20","0,10","0,08","0,22","0,24","0,07","0,49","0,59"
   Outras,"8,91","3,43","4,62","7,46","12,80","14,77","17,50","14,71"
  Tubérculos e raízes,"9,79","5,96","7,36","10,20","10,12","12,51","13,05","20,57"
   Batata inglesa,"4,30","2,46","3,15","4,31","4,68","4,26","7,66","10,88"
   Cenoura,"1,19","0,56","0,48","1,05","1,49","1,91","2,12","3,78"
   Mandioca,"1,93","1,78","2,04","2,19","1,78","2,42","0,86","0,40"
   Outros,"2,38","1,16","1,69","2,66","2,18","3,91","2,41","5,51"
  Açúcares e derivados,"26,46","10,83","21,91","24,11","28,64","41,02","42,88","67,67"
   Açúcar refinado,"1,84","1,65","1,85","1,86","1,69","2,16","1,63","3,21"
   Açúcar cristal,"2,43","1,93","2,69","2,89","1,82","2,59","3,01","0,63"
   Light e diet,"0,37","0,08","0,12","0,19","0,39","0,78","1,32","2,35"
   Outros,"21,82","7,18","17,25","19,17","24,74","35,49","36,92","61,48"
  Legumes e verduras,"17,56","9,97","10,75","16,90","19,18","25,09","29,23","45,24"
