"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"5.195,32 ","1.754,45 ","2.468,78 ","3.693,68 ","5.839,26 ","9.702,51 ","14.027,57 ","22.039,05 "
 Despesas correntes,"4.834,04 ","1.705,39 ","2.374,84 ","3.493,43 ","5.556,99 ","8.986,58 ","12.588,60 ","18.969,19 "
  Despesas de consumo,"4.170,46 ","1.617,23 ","2.236,29 ","3.185,33 ","4.875,88 ","7.473,72 ","10.354,39 ","13.490,35 "
   Alimentação,"736,69 ","314,88 ","433,73 ","630,77 ","862,44 ","1.214,03 ","1.499,12 ","2.063,73 "
   Habitação,"1.504,08 ","747,55 ","971,73 ","1.220,44 ","1.661,01 ","2.456,09 ","3.268,87 ","4.542,16 "
    Aluguel,"742,56 ","411,40 ","486,64 ","617,22 ","795,50 ","1.225,90 ","1.606,99 ","1.967,76 "
     Aluguel monetário,"72,20 ","89,54 ","53,28 ","63,24 ","71,48 ","89,90 ","126,29 ","62,85 "
     Aluguel não monetário,"670,36 ","321,86 ","433,36 ","553,98 ","724,02 ","1.135,99 ","1.480,70 ","1.904,91 "
    Condomínio,"40,40 ","7,34 ","7,53 ","16,61 ","56,04 ","81,23 ","113,79 ","316,77 "
    Serviços e taxas,"405,77 ","211,45 ","284,43 ","360,65 ","479,30 ","626,62 ","694,08 ","853,93 "
     Energia elétrica,"135,56 ","80,24 ","102,86 ","124,52 ","157,95 ","191,91 ","214,14 ","244,39 "
     Telefone fixo,"6,83 ","4,78 ","3,95 ","6,20 ","7,02 ","13,25 ","10,93 ","12,96 "
     Telefone Celular,"63,11 ","26,02 ","33,91 ","52,75 ","75,71 ","100,16 ","141,65 ","190,15 "
"     Pacote de telefone, TV e Internet","64,12 ","12,59 ","26,49 ","44,60 ","86,46 ","136,91 ","149,24 ","229,87 "
     Gás doméstico,"30,44 ","26,73 ","29,04 ","28,34 ","29,94 ","37,87 ","40,47 ","46,39 "
     Água e esgoto,"63,18 ","45,14 ","57,47 ","63,20 ","67,14 ","81,12 ","71,51 ","82,80 "
     Outros,"42,52 ","15,94 ","30,71 ","41,05 ","55,08 ","65,40 ","66,14 ","47,37 "
    Manutenção do lar,"123,72 ","32,03 ","69,96 ","67,07 ","100,97 ","232,82 ","436,54 ","884,52 "
    Artigos de limpeza,"26,34 ","10,55 ","17,94 ","23,65 ","27,51 ","41,44 ","48,06 ","91,82 "
    Mobiliários e artigos do lar,"85,18 ","32,50 ","44,88 ","67,27 ","105,82 ","128,98 ","221,26 ","259,98 "
    Eletrodomésticos,"74,66 ","40,44 ","57,32 ","64,13 ","88,54 ","109,96 ","133,68 ","152,32 "
    Consertos artigos do lar,"5,45 ","1,84 ","3,03 ","3,83 ","7,32 ","9,16 ","14,48 ","15,07 "
   Vestuário,"183,53 ","59,51 ","89,54 ","144,16 ","236,19 ","353,60 ","421,79 ","466,56 "
    Roupa de homem,"43,74 ","18,13 ","18,08 ","32,66 ","56,87 ","77,68 ","111,72 ","127,60 "
    Roupa de mulher,"55,22 ","13,33 ","30,11 ","41,46 ","71,19 ","108,39 ","133,87 ","149,27 "
    Roupa de criança,"26,45 ","8,83 ","13,87 ","22,56 ","31,87 ","55,22 ","54,91 ","52,02 "
    Calçados e apetrechos,"50,04 ","18,27 ","25,43 ","43,48 ","66,89 ","94,91 ","82,49 ","102,34 "
    Jóias e bijuterias,"6,67 ","0,59 ","1,02 ","3,43 ","7,23 ","13,92 ","34,11 ","33,75 "
    Tecidos e armarinhos,"1,42 ","0,36 ","1,04 ","0,57 ","2,14 ","3,47 ","4,69 ","1,59 "
   Transporte,"792,92 ","186,78 ","254,03 ","513,94 ","1.005,72 ","1.555,32 ","2.636,80 ","3.065,57 "
    Urbano,"61,46 ","25,45 ","42,20 ","58,25 ","82,91 ","84,31 ","92,41 ","95,08 "
    Gasolina - veículo próprio,"206,08 ","50,58 ","71,08 ","179,09 ","277,25 ","341,04 ","505,16 ","572,37 "
    Álcool - veículo próprio,"0,60 ",-,"0,99 ","0,45 ","0,73 ","1,62 ",-,-
    Manutenção e acessórios,"99,05 ","23,28 ","41,39 ","80,66 ","118,08 ","171,26 ","337,45 ","229,76 "
    Aquisição de veículos,"301,02 ","62,34 ","68,58 ","138,35 ","380,58 ","656,28 ","1.247,07 ","1.452,74 "
    Viagens esporádicas,"68,41 ","10,84 ","15,79 ","31,66 ","89,92 ","154,63 ","242,33 ","374,70 "
    Outras,"56,30 ","14,28 ","14,00 ","25,49 ","56,25 ","146,19 ","212,38 ","340,91 "
   Higiene e Cuidados Pessoais,"139,87 ","72,53 ","95,88 ","130,01 ","176,82 ","209,27 ","182,25 ","269,99 "
    Perfume,"31,12 ","15,70 ","17,70 ","31,69 ","41,76 ","41,60 ","32,68 ","58,58 "
    Produtos para cabelo,"20,44 ","10,61 ","14,81 ","20,01 ","24,00 ","32,26 ","24,90 ","34,25 "
    Sabonete,"9,82 ","6,80 ","8,20 ","9,18 ","11,01 ","12,85 ","12,09 ","19,57 "
    Instrumentos e produtos de uso pessoal,"78,48 ","39,42 ","55,16 ","69,13 ","100,05 ","122,57 ","112,57 ","157,58 "
   Assistência a saúde,"345,63 ","126,11 ","217,16 ","243,23 ","382,98 ","694,64 ","806,39 ","1.270,40 "
    Remédios,"171,83 ","90,29 ","152,51 ","147,38 ","190,55 ","252,90 ","302,34 ","361,60 "
    Plano/Seguro saúde,"97,28 ","9,01 ","21,65 ","39,17 ","107,13 ","277,09 ","320,88 ","675,25 "
    Consulta e tratamento dentário  ,"16,50 ","4,81 ","3,70 ","14,93 ","14,25 ","29,16 ","64,53 ","58,15 "
    Consulta médica,"17,20 ","8,44 ","9,98 ","15,56 ","21,35 ","27,29 ","27,22 ","40,98 "
    Tratamento médico e ambulatorial,"5,22 ","0,46 ","2,35 ","1,60 ","4,73 ","8,48 ","29,14 ","41,96 "
    Serviços de cirurgia,"8,58 ","2,70 ","9,81 ","3,56 ","9,66 ","36,25 ","0,88 ","15,47 "
    Hospitalização,"1,45 ","0,91 ","0,69 ","0,17 ","2,53 ","6,31 ","2,37 ",-
    Exames diversos,"11,23 ","5,48 ","6,74 ","9,93 ","13,72 ","20,01 ","17,14 ","24,67 "
    Material de tratamento,"14,34 ","3,82 ","9,50 ","10,01 ","16,53 ","36,58 ","34,10 ","27,43 "
    Outras,"2,01 ","0,18 ","0,22 ","0,93 ","2,54 ","0,58 ","7,77 ","24,88 "
    Educação,"147,37 ","15,21 ","38,84 ","85,45 ","178,42 ","306,21 ","624,88 ","608,79 "
    Cursos regulares,"29,22 ","1,16 ","9,46 ","15,68 ","27,44 ","68,01 ","180,11 ","71,76 "
    Cursos superiores,"54,23 ","2,72 ","8,75 ","22,97 ","72,87 ","102,73 ","257,64 ","302,85 "
    Outros cursos e atividades,"44,00 ","3,77 ","7,99 ","28,78 ","55,02 ","104,53 ","138,87 ","198,43 "
