"Tabela 1.3.22.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Santa Catarina - período 2017-2018,,,,,,,,
,,,,,,,(continua),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1)                 ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
Despesas com alimentação,"698,67","358,42","483,26","595,04","854,41"," 1 076,38"," 1 450,36"," 1 609,41"
 Alimentação no domicílio,"506,08","293,90","396,84","459,09","620,00","667,60","831,63","981,03"
"  Cereais, leguminosas e oleaginosas","16,50","9,41","16,00","16,95","17,94","19,29","17,47","26,11"
   Arroz,"7,59","4,80","8,28","7,76","8,72","8,63","4,52","5,48"
   Feijão,"3,66","1,79","4,08","3,82","4,15","4,08","2,81","3,19"
   Orgânicos,"0,04",-,-,"0,10",-,-,-,-
   Outros,"5,22","2,82","3,65","5,26","5,07","6,57","10,14","17,44"
"  Farinhas, féculas e massas","20,93","12,18","19,76","22,79","21,18","22,87","24,45","29,05"
   Macarrão,"5,84","3,18","5,74","6,29","6,10","5,43","8,08","8,50"
   Farinha de trigo,"4,29","2,86","3,97","5,55","4,01","3,05","3,06","2,18"
   Farinha de mandioca,"0,93","0,59","0,99","1,08","0,70","1,15","1,31",-
   Outras,"9,87","5,56","9,07","9,86","10,37","13,24","11,99","18,37"
  Tubérculos e raízes,"10,39","7,91","7,53","10,59","11,24","10,77","17,98","17,82"
   Batata inglesa,"4,17","4,54","3,20","4,22","4,54","3,13","5,10","7,27"
   Cenoura,"1,04","0,38","0,88","0,98","0,81","1,43","3,29","3,47"
   Mandioca,"1,96","0,63","1,32","2,38","2,49","1,89","2,62","0,28"
   Outros,"3,22","2,37","2,12","3,01","3,39","4,32","6,97","6,81"
  Açúcares e derivados,"30,37","16,82","22,83","31,32","38,19","32,62","42,27","34,89"
   Açúcar refinado,"5,66","2,54","4,86","7,05","6,22","4,80","4,89","3,04"
   Açúcar cristal,"1,15","0,86","1,19","1,29","1,02","1,11","0,22","3,70"
   Light e diet,"0,09",-,-,"0,08","0,06","0,12","0,82","0,28"
   Outros,"23,47","13,41","16,78","22,90","30,89","26,60","36,34","27,86"
  Legumes e verduras,"16,38","12,15","13,21","14,97","15,83","21,36","34,32","42,15"
   Tomate,"4,63","3,02","3,72","4,15","4,48","6,04","11,93","11,49"
   Cebola,"1,96","2,02","1,41","1,79","1,86","2,13","3,05","7,32"
   Alface,"2,33","1,87","1,97","2,20","2,27","2,82","3,54","6,70"
   Outros,"7,46","5,25","6,11","6,82","7,22","10,36","15,80","16,64"
  Frutas,"28,28","31,37","15,94","21,16","35,86","34,11","51,17","93,43"
   Banana,"4,92","4,28","4,30","4,24","5,50","6,05","6,16","13,87"
   Laranja,"2,35","1,35","1,32","2,22","2,50","4,17","4,28","5,46"
