"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"4.451,32 ","1.972,46 ","2.700,34 ","4.065,98 ","6.025,50 ","10.215,97 ","15.371,50 ","19.966,31 "
 Despesas correntes,"4.137,42 ","1.910,20 ","2.636,37 ","3.892,97 ","5.492,07 ","9.180,85 ","13.713,42 ","17.198,12 "
  Despesas de consumo,"3.613,20 ","1.872,64 ","2.554,86 ","3.639,19 ","4.703,09 ","7.095,62 ","10.880,12 ","11.550,47 "
   Alimentação,"894,87 ","643,36 ","747,85 ","931,67 ","1.207,28 ","1.252,77 ","1.733,69 ","1.491,99 "
   Habitação,"1.185,68 ","596,68 ","844,81 ","1.159,18 ","1.710,55 ","1.999,88 ","3.460,45 ","4.485,54 "
    Aluguel,"590,60 ","310,60 ","444,19 ","547,60 ","884,52 ","970,74 ","1.749,25 ","2.056,03 "
     Aluguel monetário,"53,77 ","36,93 ","45,86 ","43,43 ","102,57 ","68,03 ","190,08 ",-
     Aluguel não monetário,"536,83 ","273,67 ","398,33 ","504,17 ","781,95 ","902,71 ","1.559,17 ","2.056,03 "
    Condomínio,"0,17 ",-,-,-,-,"1,75 ","2,31 ",-
    Serviços e taxas,"339,68 ","172,15 ","246,76 ","350,10 ","536,78 ","647,07 ","723,92 ","975,21 "
     Energia elétrica,"155,42 ","78,94 ","104,91 ","154,64 ","268,81 ","307,29 ","328,76 ","443,02 "
     Telefone fixo,"1,56 ",-,"0,62 ","0,49 ","3,06 ","3,64 ","3,70 ","26,88 "
     Telefone Celular,"53,65 ","24,00 ","38,70 ","60,08 ","79,26 ","105,11 ","122,43 ","151,79 "
"     Pacote de telefone, TV e Internet","13,46 ","3,28 ","6,37 ","10,08 ","35,79 ","17,76 ","52,82 ","73,52 "
