"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"626,61","350,18","534,74","778,11","1000,31","1032,27","1705,04","2587,56"
 Alimentação no domicílio,"400,48","264,82","370,68","464,01","551,67","614,03","960,08","1413,25"
"  Cereais, leguminosas e oleaginosas","21,43","18,56","23,04","22,70","20,38","25,00","30,81","37,92"
   Arroz,"10,74","10,17","11,52","11,91","7,77","10,58","12,83","6,70"
   Feijão,"8,26","7,13","9,93","8,18","8,96","9,31","8,30","7,19"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"2,44","1,26","1,59","2,60","3,65","5,11","9,68","24,03"
"  Farinhas, féculas e massas","18,17","13,98","18,13","19,70","25,17","19,08","30,16","52,13"
   Macarrão,"4,03","3,47","3,67","4,67","4,39","5,81","3,65","8,43"
   Farinha de trigo,"0,85","0,56","0,64","1,25","1,00","0,86","2,91","1,08"
   Farinha de mandioca,"6,43","5,80","7,49","6,34","7,42","2,49","11,74","4,27"
   Outras,"6,86","4,14","6,33","7,45","12,36","9,93","11,87","38,35"
  Tubérculos e raízes,"8,41","4,81","7,20","10,04","12,51","13,85","26,25","39,35"
   Batata inglesa,"3,03","1,93","2,66","3,70","3,59","4,29","9,93","11,66"
   Cenoura,"1,66","1,03","1,50","2,07","1,82","2,13","4,78","8,30"
   Mandioca,"1,27","0,76","0,90","1,54","1,89","2,39","3,94","7,19"
   Outros,"2,46","1,09","2,13","2,74","5,21","5,04","7,60","12,20"
  Açúcares e derivados,"13,58","9,12","11,72","14,23","18,24","26,52","45,14","53,93"
   Açúcar refinado,"1,49","1,53","1,66","1,56","0,81","2,09",-,"0,34"
   Açúcar cristal,"4,07","3,20","4,29","5,19","4,18","3,84","3,76","5,08"
   Light e diet,"0,05",-,"0,03","0,07","0,11",-,"0,67","0,47"
   Outros,"7,97","4,39","5,72","7,40","13,14","20,58","40,71","48,04"
  Legumes e verduras,"16,70","11,29","15,41","19,55","21,47","22,88","34,51","75,86"
   Tomate,"5,57","4,15","5,78","6,34","5,91","9,40","11,21","8,59"
