"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"3.423,63 ","1.363,98 ","2.193,30 ","3.794,95 ","6.427,49 ","9.525,98 ","15.225,05 ","26.736,02 "
 Despesas correntes,"3.223,68 ","1.318,22 ","2.095,25 ","3.557,41 ","6.046,52 ","8.765,61 ","14.320,95 ","24.489,26 "
  Despesas de consumo,"2.906,56 ","1.281,15 ","1.990,78 ","3.278,76 ","5.271,86 ","7.705,16 ","11.761,86 ","19.566,16 "
   Alimentação,"626,61 ","350,18 ","534,74 ","778,11 ","1.000,31 ","1.032,27 ","1.705,04 ","2.587,56 "
   Habitação,"931,46 ","465,25 ","657,16 ","949,95 ","1.533,47 ","2.617,58 ","3.624,65 ","7.079,55 "
    Aluguel,"428,96 ","238,99 ","316,84 ","448,31 ","653,00 ","1.123,69 ","1.630,20 ","2.625,06 "
     Aluguel monetário,"52,99 ","32,93 ","35,92 ","62,11 ","119,54 ","111,62 ","164,83 ","26,32 "
     Aluguel não monetário,"375,98 ","206,06 ","280,91 ","386,19 ","533,46 ","1.012,08 ","1.465,37 ","2.598,74 "
    Condomínio,"34,66 ","0,53 ","5,73 ","12,31 ","80,21 ","188,66 ","366,96 ","794,16 "
    Serviços e taxas,"231,35 ","122,53 ","182,41 ","269,27 ","393,20 ","569,54 ","721,79 ","964,64 "
     Energia elétrica,"71,21 ","40,25 ","58,31 ","80,73 ","111,17 ","172,34 ","203,64 ","325,09 "
     Telefone fixo,"4,58 ","1,70 ","4,95 ","5,35 ","7,36 ","10,72 ","5,74 ","36,74 "
     Telefone Celular,"35,62 ","14,32 ","25,05 ","40,84 ","69,57 ","111,66 ","148,28 ","169,80 "
"     Pacote de telefone, TV e Internet","20,54 ","2,52 ","6,57 ","19,57 ","64,78 ","94,96 ","160,54 ","126,98 "
     Gás doméstico,"35,49 ","30,15 ","37,86 ","39,82 ","38,49 ","43,93 ","33,15 ","35,09 "
     Água e esgoto,"34,16 ","22,34 ","31,79 ","41,65 ","46,68 ","71,86 ","49,10 ","90,13 "
     Outros,"29,75 ","11,25 ","17,88 ","41,31 ","55,13 ","64,06 ","121,33 ","180,81 "
    Manutenção do lar,"97,55 ","27,81 ","40,75 ","65,95 ","168,35 ","423,72 ","509,61 ","1.917,54 "
    Artigos de limpeza,"17,92 ","10,07 ","15,16 ","20,81 ","30,99 ","33,17 ","60,73 ","56,59 "
    Mobiliários e artigos do lar,"62,11 ","34,74 ","49,52 ","64,90 ","101,93 ","136,02 ","167,92 ","460,43 "
    Eletrodomésticos,"55,75 ","29,63 ","45,09 ","64,95 ","101,02 ","133,55 ","148,94 ","221,94 "
    Consertos artigos do lar,"3,14 ","0,95 ","1,66 ","3,45 ","4,76 ","9,23 ","18,50 ","39,19 "
   Vestuário,"154,73 ","68,56 ","109,69 ","200,28 ","286,14 ","354,77 ","579,19 ","639,12 "
    Roupa de homem,"39,77 ","17,33 ","24,86 ","52,89 ","70,02 ","107,89 ","177,49 ","129,91 "
    Roupa de mulher,"42,33 ","17,11 ","27,71 ","56,65 ","80,86 ","111,90 ","143,08 ","201,60 "
    Roupa de criança,"20,28 ","10,90 ","16,90 ","24,40 ","37,82 ","24,96 ","72,28 ","78,90 "
    Calçados e apetrechos,"44,13 ","20,19 ","34,45 ","57,03 ","81,61 ","93,07 ","143,61 ","166,76 "
    Jóias e bijuterias,"6,11 ","2,43 ","3,95 ","7,01 ","12,23 ","12,13 ","28,10 ","49,28 "
    Tecidos e armarinhos,"2,12 ","0,61 ","1,83 ","2,31 ","3,60 ","4,83 ","14,63 ","12,68 "
   Transporte,"461,76 ","135,17 ","248,48 ","538,94 ","993,59 ","1.554,95 ","2.445,59 ","3.196,69 "
    Urbano,"61,40 ","32,92 ","61,27 ","85,10 ","103,78 ","98,77 ","94,84 ","52,29 "
    Gasolina - veículo próprio,"96,74 ","31,29 ","45,95 ","123,42 ","208,32 ","318,60 ","390,24 ","714,77 "
    Álcool - veículo próprio,"6,81 ","1,38 ","1,10 ","3,02 ","19,68 ","85,50 ","15,65 ","42,46 "
    Manutenção e acessórios,"66,48 ","19,79 ","36,05 ","71,80 ","154,22 ","182,66 ","427,19 ","470,71 "
    Aquisição de veículos,"147,41 ","31,58 ","75,46 ","167,18 ","301,52 ","586,22 ","927,00 ","1.145,43 "
    Viagens esporádicas,"40,41 ","9,46 ","20,69 ","44,04 ","83,63 ","116,02 ","249,44 ","454,50 "
    Outras,"42,51 ","8,76 ","7,97 ","44,38 ","122,43 ","167,20 ","341,23 ","316,53 "
   Higiene e Cuidados Pessoais,"132,63 ","73,68 ","116,66 ","176,24 ","208,80 ","255,88 ","298,03 ","286,84 "
    Perfume,"44,00 ","22,53 ","37,83 ","64,73 ","69,05 ","87,77 ","58,54 ","111,34 "
    Produtos para cabelo,"16,28 ","8,06 ","15,33 ","20,67 ","29,35 ","35,61 ","36,53 ","31,95 "
    Sabonete,"8,85 ","6,34 ","8,80 ","11,21 ","10,70 ","12,98 ","12,28 ","12,63 "
    Instrumentos e produtos de uso pessoal,"63,49 ","36,75 ","54,71 ","79,63 ","99,70 ","119,52 ","190,67 ","130,92 "
   Assistência a saúde,"252,51 ","84,93 ","159,38 ","241,28 ","575,91 ","772,16 ","1.136,69 ","2.429,07 "
    Remédios,"108,69 ","56,82 ","95,91 ","119,23 ","189,95 ","217,06 ","299,00 ","619,36 "
    Plano/Seguro saúde,"79,10 ","2,47 ","12,41 ","53,50 ","247,46 ","403,97 ","552,20 ","1.438,41 "
    Consulta e tratamento dentário  ,"12,69 ","2,76 ","7,20 ","12,13 ","36,22 ","24,02 ","93,09 ","114,51 "
    Consulta médica,"17,65 ","9,11 ","14,72 ","21,62 ","26,89 ","42,51 ","49,49 ","77,44 "
    Tratamento médico e ambulatorial,"2,18 ","0,36 ","0,63 ","0,96 ","3,20 ","3,08 ","35,30 ","45,16 "
    Serviços de cirurgia,"4,43 ","0,12 ","7,10 ","1,30 ","16,43 ","14,30 ","0,47 ","59,23 "
    Hospitalização,"0,62 ",-,"0,26 ","0,39 ","6,01 ",-,-,-
    Exames diversos,"11,75 ","6,50 ","9,96 ","17,36 ","14,85 ","22,96 ","25,72 ","21,64 "
