"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"2.830,34 ","1.284,38 ","2.013,65 ","3.334,21 ","5.934,52 ","8.288,86 ","13.992,36 ","22.256,25 "
 Despesas correntes,"2.644,33 ","1.236,11 ","1.871,09 ","3.104,33 ","5.593,62 ","7.268,72 ","13.471,17 ","19.782,94 "
  Despesas de consumo,"2.375,65 ","1.194,45 ","1.774,02 ","2.846,20 ","4.916,75 ","6.136,70 ","11.064,35 ","14.066,15 "
   Alimentação,"526,53 ","339,64 ","449,39 ","672,62 ","936,21 ","1.011,37 ","1.296,32 ","1.588,62 "
   Habitação,"817,87 ","459,99 ","650,62 ","934,61 ","1.566,04 ","2.072,59 ","3.266,72 ","4.836,69 "
    Aluguel,"383,43 ","227,71 ","329,45 ","448,04 ","713,38 ","921,86 ","1.227,29 ","1.740,98 "
     Aluguel monetário,"68,80 ","49,17 ","54,68 ","65,37 ","139,82 ","106,01 ","355,32 ","223,08 "
     Aluguel não monetário,"314,63 ","178,55 ","274,77 ","382,67 ","573,56 ","815,84 ","871,98 ","1.517,90 "
    Condomínio,"23,96 ","0,25 ","4,60 ","9,74 ","52,49 ","112,47 ","507,91 ","534,96 "
    Serviços e taxas,"229,11 ","140,89 ","198,05 ","277,05 ","423,66 ","489,03 ","678,45 ","851,31 "
     Energia elétrica,"82,92 ","54,60 ","73,13 ","95,97 ","145,76 ","181,03 ","229,07 ","291,17 "
     Telefone fixo,"1,96 ","0,53 ","2,10 ","2,32 ","5,88 ","5,12 ","6,73 ","8,92 "
     Telefone Celular,"22,47 ","9,05 ","16,57 ","29,53 ","49,17 ","63,89 ","110,40 ","129,32 "
"     Pacote de telefone, TV e Internet","16,89 ","2,58 ","8,22 ","15,62 ","59,16 ","68,74 ","134,32 ","244,37 "
     Gás doméstico,"40,70 ","35,48 ","41,78 ","46,53 ","45,30 ","42,04 ","47,57 ","53,61 "
     Água e esgoto,"32,15 ","23,11 ","30,28 ","41,11 ","57,94 ","46,53 ","38,95 ","31,83 "
     Outros,"32,01 ","15,54 ","25,96 ","45,98 ","60,44 ","81,68 ","111,40 ","92,09 "
    Manutenção do lar,"67,94 ","26,12 ","31,75 ","64,80 ","168,67 ","313,53 ","508,14 ","718,90 "
    Artigos de limpeza,"17,91 ","10,48 ","13,99 ","22,06 ","33,77 ","44,65 ","43,45 ","116,50 "
    Mobiliários e artigos do lar,"47,26 ","24,55 ","36,53 ","52,27 ","84,34 ","108,49 ","154,13 ","583,98 "
    Eletrodomésticos,"46,00 ","28,97 ","35,04 ","57,84 ","84,57 ","80,16 ","141,75 ","246,06 "
    Consertos artigos do lar,"2,27 ","1,02 ","1,22 ","2,81 ","5,17 ","2,41 ","5,60 ","44,02 "
   Vestuário,"105,10 ","47,64 ","81,01 ","134,96 ","231,11 ","300,25 ","462,75 ","449,95 "
    Roupa de homem,"26,63 ","11,89 ","18,87 ","34,62 ","60,29 ","85,30 ","127,76 ","96,95 "
    Roupa de mulher,"30,78 ","12,81 ","23,10 ","39,17 ","70,92 ","92,00 ","154,87 ","136,12 "
    Roupa de criança,"11,97 ","7,54 ","11,54 ","14,14 ","19,03 ","22,29 ","34,91 ","45,15 "
    Calçados e apetrechos,"30,76 ","13,93 ","25,10 ","41,14 ","63,90 ","78,98 ","120,79 ","134,90 "
