"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"4.872,92 ","1.707,40 ","2.435,02 ","3.788,90 ","6.998,81 ","9.335,79 ","13.453,12 ","28.193,52 "
 Despesas correntes,"4.403,33 ","1.641,79 ","2.316,71 ","3.544,26 ","6.415,06 ","8.468,14 ","10.353,79 ","26.028,40 "
  Despesas de consumo,"3.777,75 ","1.539,49 ","2.170,94 ","3.201,74 ","5.675,29 ","7.065,78 ","8.090,02 ","17.897,73 "
   Alimentação,"652,88 ","276,62 ","445,91 ","635,55 ","864,97 ","1.226,11 ","1.301,29 ","1.887,61 "
   Habitação,"1.242,75 ","703,42 ","873,21 ","1.107,12 ","1.726,96 ","1.966,33 ","2.190,44 ","4.646,05 "
    Aluguel,"605,12 ","374,20 ","467,94 ","563,85 ","819,50 ","871,13 ","940,99 ","1.802,38 "
     Aluguel monetário,"91,43 ","107,85 ","93,27 ","77,76 ","129,62 ","118,91 ","26,65 ","15,39 "
     Aluguel não monetário,"513,69 ","266,35 ","374,67 ","486,09 ","689,87 ","752,22 ","914,33 ","1.786,99 "
    Condomínio,"26,68 ","9,00 ","6,46 ","9,85 ","49,89 ","12,85 ","114,50 ","305,44 "
    Serviços e taxas,"366,49 ","211,14 ","265,98 ","343,63 ","470,41 ","597,32 ","706,20 ","990,41 "
     Energia elétrica,"135,85 ","86,95 ","105,16 ","132,40 ","166,57 ","222,90 ","200,35 ","369,15 "
     Telefone fixo,"4,54 ","2,61 ","4,02 ","4,73 ","7,82 ","3,72 ","4,44 ","3,90 "
     Telefone Celular,"47,29 ","20,69 ","28,72 ","45,58 ","65,33 ","94,63 ","80,82 ","187,43 "
"     Pacote de telefone, TV e Internet","35,92 ","8,43 ","17,54 ","25,98 ","63,61 ","81,60 ","93,62 ","185,28 "
     Gás doméstico,"35,02 ","28,64 ","35,96 ","38,17 ","37,25 ","32,67 ","30,70 ","32,40 "
     Água e esgoto,"66,37 ","48,34 ","54,26 ","63,52 ","84,10 ","96,11 ","96,05 ","129,40 "
