"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"4.390,72 ","1.501,78 ","2.271,56 ","3.697,32 ","6.575,93 ","9.589,42 ","14.391,83 ","23.891,78 "
 Despesas correntes,"4.082,30 ","1.457,93 ","2.159,63 ","3.510,91 ","6.027,63 ","8.811,94 ","13.263,37 ","20.768,46 "
  Despesas de consumo,"3.635,92 ","1.392,69 ","2.039,02 ","3.247,30 ","5.409,91 ","7.559,27 ","10.752,93 ","15.961,57 "
   Alimentação,"688,51 ","327,38 ","470,26 ","682,91 ","965,76 ","1.183,04 ","1.511,11 ","2.111,32 "
   Habitação,"1.230,81 ","601,35 ","817,04 ","1.148,45 ","1.658,10 ","2.278,54 ","3.102,18 ","4.744,36 "
    Aluguel,"609,12 ","316,33 ","423,40 ","581,47 ","799,82 ","1.098,35 ","1.430,00 ","2.098,02 "
     Aluguel monetário,"92,49 ","82,43 ","79,43 ","78,22 ","99,00 ","143,10 ","236,04 ","191,60 "
     Aluguel não monetário,"516,63 ","233,90 ","343,97 ","503,24 ","700,82 ","955,25 ","1.193,96 ","1.906,41 "
    Condomínio,"28,10 ","2,30 ","5,36 ","14,68 ","43,67 ","90,80 ","186,18 ","261,47 "
    Serviços e taxas,"340,70 ","174,18 ","237,69 ","341,73 ","476,34 ","587,92 ","676,47 ","897,56 "
     Energia elétrica,"107,03 ","66,75 ","82,63 ","109,75 ","141,75 ","158,21 ","168,93 ","228,30 "
     Telefone fixo,"9,25 ","2,94 ","7,50 ","10,25 ","11,31 ","16,83 ","20,02 ","21,46 "
     Telefone Celular,"55,75 ","22,68 ","32,74 ","52,05 ","87,47 ","112,58 ","124,18 ","205,80 "
"     Pacote de telefone, TV e Internet","42,06 ","6,83 ","14,33 ","34,91 ","73,12 ","117,63 ","165,52 ","197,16 "
     Gás doméstico,"38,20 ","31,14 ","38,56 ","40,99 ","42,44 ","35,95 ","33,29 ","35,31 "
     Água e esgoto,"49,02 ","29,50 ","38,07 ","53,10 ","65,11 ","67,83 ","60,23 ","99,00 "
     Outros,"39,39 ","14,34 ","23,86 ","40,67 ","55,14 ","78,89 ","104,31 ","110,54 "
    Manutenção do lar,"99,18 ","28,70 ","48,72 ","61,75 ","119,08 ","253,63 ","517,68 ","886,85 "
    Artigos de limpeza,"23,35 ","13,39 ","16,36 ","23,14 ","33,53 ","37,58 ","41,47 ","58,59 "
