"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"  806,48","  331,91","  544,75","  798,39"," 1 162,59"," 1 158,10"," 1 524,81"," 1 759,50"
 Alimentação no domicílio,"  463,98","  210,21","  331,10","  457,30","  639,95","  632,47","  910,89"," 1 031,10"
"  Cereais, leguminosas e oleaginosas","  22,05","  12,83","  22,84","  24,60","  23,95","  18,45","  37,88","  10,83"
   Arroz,"  14,62","  9,21","  14,76","  17,16","  15,84","  11,29","  18,65","  4,04"
   Feijão,"  4,35","  2,52","  5,62","  4,52","  4,23","  3,57","  7,96","  2,12"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"  3,08","  1,10","  2,46","  2,92","  3,88","  3,59","  11,27","  4,67"
"  Farinhas, féculas e massas","  11,45","  4,94","  7,56","  12,11","  13,98","  15,74","  24,14","  28,01"
   Macarrão,"  4,08","  2,36","  2,76","  4,72","  5,62","  4,73","  4,41","  2,25"
   Farinha de trigo,"  1,44","  1,20","  1,21","  1,68","  1,20","  1,04","  2,98","  1,23"
   Farinha de mandioca,"  0,37","  0,27","  0,36","  0,49","  0,30","  0,24","  0,42","  0,12"
   Outras,"  5,56","  1,11","  3,24","  5,22","  6,87","  9,72","  16,33","  24,41"
  Tubérculos e raízes,"  8,22","  2,72","  6,48","  9,23","  9,10","  11,92","  14,44","  17,70"
   Batata inglesa,"  2,48","  0,87","  1,72","  2,84","  3,46","  2,12","  4,70","  4,69"
   Cenoura,"  1,31","  0,34","  0,57","  1,85","  1,28","  1,82","  2,10","  2,38"
   Mandioca,"  2,95","  0,79","  3,58","  2,84","  3,28","  4,97","  3,23","  6,61"
   Outros,"  1,49","  0,71","  0,61","  1,70","  1,07","  3,01","  4,42","  4,02"
  Açúcares e derivados,"  20,35","  10,85","  11,20","  19,99","  27,46","  33,07","  34,78","  57,30"
   Açúcar refinado,"  0,97","  0,46","  1,07","  0,95","  0,16","  1,39","  4,88","  2,53"
   Açúcar cristal,"  4,49","  3,18","  4,15","  5,19","  4,87","  5,88","  2,14","  0,88"
   Light e diet,"  0,14","  0,18","  0,06",-,"  0,35","  0,35","  0,52",-
   Outros,"  14,75","  7,02","  5,91","  13,86","  22,08","  25,46","  27,24","  53,88"
  Legumes e verduras,"  19,39","  5,68","  11,35","  20,36","  23,36","  33,28","  45,13","  56,07"
   Tomate,"  7,21","  2,67","  4,88","  7,14","  7,99","  15,17","  15,04","  17,34"
   Cebola,"  2,24","  0,80","  1,17","  2,39","  3,41","  3,24","  3,85","  4,67"
   Alface,"  3,19","  1,02","  1,37","  3,66","  4,92","  4,71","  4,09","  7,16"
   Outros,"  6,75","  1,20","  3,94","  7,16","  7,04","  10,17","  22,15","  26,90"
  Frutas,"  20,52","  7,82","  13,10","  18,38","  25,36","  40,39","  55,38","  58,40"
   Banana,"  5,78","  3,39","  3,04","  5,67","  6,96","  10,54","  12,51","  12,87"
   Laranja,"  2,10","  1,08","  1,28","  1,95","  2,20","  4,50","  4,51","  6,66"
   Maçã,"  2,07","  1,21","  0,98","  2,16","  2,74","  2,68","  5,88","  2,76"
   Outras frutas,"  10,57","  2,14","  7,80","  8,60","  13,46","  22,67","  32,49","  36,11"
"  Carnes, vísceras e pescados","  114,39","  55,36","  87,80","  105,41","  157,97","  154,96","  257,68","  254,50"
   Carne de boi de primeira,"  32,06","  13,03","  21,00","  24,90","  45,28","  67,56","  74,93","  112,88"
   Carne de boi de segunda,"  32,48","  20,37","  33,66","  31,87","  40,68","  31,72","  47,50","  43,48"
   Carne de suíno,"  6,33","  3,90","  6,50","  8,05","  4,13","  2,26","  9,27","  18,58"
   Carnes e peixes industrializados,"  17,34","  9,44","  12,84","  17,50","  19,27","  20,59","  45,12","  41,93"
   Pescados frescos,"  2,71","  1,71","  0,98","  2,64","  4,30","  2,79","  9,87","  1,79"
   Outros,"  23,47","  6,91","  12,81","  20,44","  44,31","  30,04","  70,99","  35,85"
  Aves e ovos,"  26,06","  13,18","  21,64","  27,06","  33,02","  33,98","  40,62","  41,01"
   Frango,"  17,99","  9,46","  14,85","  18,79","  22,48","  23,90","  27,53","  25,82"
   Ovo de galinha,"7,13","3,29","6,19","7,55","9,41","7,75","11,53","10,66"
   Orgânicos,"0,04","0,24",-,-,-,-,-,-
   Outros,"0,90","0,18","0,60","0,72","1,14","2,33","1,56","4,53"
  Leites e derivados,"46,13","17,01","27,37","48,46","59,87","62,51","104,75","132,06"
   Leite de vaca,"21,68","9,99","11,78","24,28","31,63","21,22","43,12","38,16"
   Leite em pó,"2,72","0,68","3,51","3,42","2,24","3,00","3,49","0,51"
   Queijos,"9,34","2,54","4,75","8,07","12,84","17,91","27,34","39,02"
   Light e diet,"0,41","0,22",-,"0,24","0,44","1,53","0,87","3,95"
   Orgânicos,"0,01",-,-,"0,00","0,01",-,-,"0,51"
   Outros,"11,97","3,58","7,34","12,44","12,69","18,84","29,93","49,92"
  Panificados,"34,78","13,67","26,21","35,43","46,87","47,51","55,93","90,62"
   Pão francês,"16,33","7,98","14,93","16,89","24,25","14,49","17,45","27,99"
   Biscoito,"7,86","2,58","5,18","8,79","9,95","12,40","16,35","8,55"
   Light e diet,"0,03",-,-,"0,06",-,-,"0,11",-
   Outros panificados,"10,56","3,12","6,10","9,70","12,67","20,62","22,03","54,09"
  Óleos e gorduras,"9,14","5,14","10,50","8,66","10,36","5,23","19,66","24,70"
   Óleo de soja,"6,15","4,91","7,82","6,85","5,10","2,92","8,66","3,49"
   Azeite de oliva,"2,23",-,"2,68","1,03","3,80","1,66","8,89","17,18"
   Outros,"0,77","0,23",-,"0,78","1,46","0,65","2,10","4,03"
  Bebidas e infusões,"49,79","20,37","28,61","50,57","81,80","59,89","97,28","85,18"
   Café moído,"10,86","6,17","8,11","12,55","14,00","6,23","20,98","14,82"
