"Tabela 1.3.5.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Pará - período 2017-2018,,,,,,,,
,,,,,,,(continua),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1)                 ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
Despesas com alimentação,"608,43","411,20","546,44","652,92","1027,35","1021,96","2463,17","1760,56"
 Alimentação no domicílio,"485,20","357,98","453,77","522,54","830,99","774,92","1065,56","1543,28"
"  Cereais, leguminosas e oleaginosas","25,02","23,81","26,63","22,38","29,10","28,14","42,33","47,15"
   Arroz,"15,49","15,66","17,31","13,17","18,74","16,36","5,10","27,06"
   Feijão,"6,87","6,68","7,18","6,96","7,75","7,28","1,25","11,95"
   Orgânicos,"0,05","0,04",-,-,"0,32",-,-,-
   Outros,"2,62","1,42","2,14","2,24","2,30","4,50","35,98","8,14"
"  Farinhas, féculas e massas","30,42","26,19","32,59","31,48","39,74","53,18","17,38","53,43"
   Macarrão,"4,38","3,87","4,70","5,00","4,75","3,50","0,71","17,38"
   Farinha de trigo,"0,83","0,49","0,90","1,19","1,80",-,-,-
   Farinha de mandioca,"18,40","17,06","21,57","18,10","21,00","20,92","11,02","0,43"
   Outras,"6,81","4,77","5,42","7,19","12,19","28,76","5,65","35,63"
  Tubérculos e raízes,"3,11","1,72","3,33","3,89","5,11","8,34","1,22","26,58"
   Batata inglesa,"1,23","0,84","0,99","1,21","2,62","3,33","0,35","16,35"
   Cenoura,"0,83","0,33","0,64","1,25","1,57","3,60","0,88","6,47"
   Mandioca,"0,37","0,26","0,61","0,35","0,29","0,65",-,"2,68"
   Outros,"0,68","0,29","1,09","1,08","0,63","0,76",-,"1,08"
  Açúcares e derivados,"14,85","10,62","14,78","13,64","21,59","38,11","51,90","79,79"
   Açúcar refinado,"2,91","3,07","3,90","2,29","3,00","0,38","0,07","1,83"
   Açúcar cristal,"2,48","2,33","2,50","2,50","1,87","3,93","4,32","9,33"
   Light e diet,"0,08","0,01",-,-,-,"1,91",-,"5,97"
   Outros,"9,39","5,22","8,38","8,86","16,72","31,89","47,50","62,67"
  Legumes e verduras,"10,21","6,01","9,98","12,59","13,48","27,38","16,49","109,52"
   Tomate,"2,80","1,85","2,93","2,94","3,72","5,15","8,64","24,14"
   Cebola,"1,77","1,55","1,87","1,75","2,88","1,28","0,26","8,15"
   Alface,"0,49","0,19","0,65","0,66","0,20","1,15","1,37","10,14"
   Outros,"5,15","2,43","4,52","7,24","6,68","19,81","6,22","67,09"
  Frutas,"14,95","7,33","13,63","16,35","22,96","74,98","58,17","83,47"
   Banana,"4,13","2,28","3,65","4,48","6,96","21,42","8,26","24,54"
   Laranja,"1,68","0,79","0,90","0,91","1,67","25,38","10,21","6,44"
