"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"3.442,75 ","1.343,21 ","2.162,17 ","3.589,70 ","6.312,92 ","10.171,99 ","14.685,22 ","24.457,06 "
 Despesas correntes,"3.242,70 ","1.298,80 ","2.080,07 ","3.348,75 ","5.985,91 ","9.534,07 ","13.637,01 ","22.104,29 "
  Despesas de consumo,"2.889,14 ","1.258,52 ","1.968,61 ","3.092,91 ","5.221,55 ","7.905,03 ","11.125,04 ","16.650,48 "
   Alimentação,"587,35 ","344,50 ","486,34 ","688,70 ","944,58 ","1.107,40 ","1.366,79 ","2.106,02 "
   Habitação,"963,56 ","474,70 ","710,50 ","960,95 ","1.682,80 ","2.719,08 ","3.405,69 ","5.229,75 "
    Aluguel,"475,41 ","247,55 ","366,39 ","484,07 ","790,64 ","1.286,20 ","1.610,40 ","2.202,96 "
     Aluguel monetário,"65,51 ","44,80 ","45,66 ","75,78 ","110,03 ","98,84 ","217,12 ","65,76 "
     Aluguel não monetário,"409,90 ","202,75 ","320,74 ","408,29 ","680,62 ","1.187,36 ","1.393,29 ","2.137,19 "
    Condomínio,"31,85 ","1,55 ","2,15 ","7,72 ","81,19 ","189,28 ","330,14 ","573,70 "
    Serviços e taxas,"240,91 ","125,41 ","194,34 ","263,80 ","415,13 ","619,61 ","655,66 ","923,56 "
     Energia elétrica,"81,81 ","41,81 ","66,78 ","90,94 ","140,65 ","200,66 ","222,28 ","333,07 "
     Telefone fixo,"3,51 ","1,07 ","2,61 ","5,36 ","7,13 ","9,49 ","4,03 ","12,64 "
     Telefone Celular,"33,71 ","13,16 ","23,64 ","38,36 ","71,39 ","93,93 ","104,22 ","162,26 "
"     Pacote de telefone, TV e Internet","20,99 ","1,25 ","5,34 ","15,56 ","52,04 ","100,54 ","171,16 ","248,55 "
     Gás doméstico,"40,44 ","36,30 ","41,95 ","44,88 ","44,37 ","38,72 ","32,29 ","47,48 "
     Água e esgoto,"29,15 ","20,20 ","28,20 ","32,51 ","40,44 ","57,33 ","51,53 ","33,37 "
     Outros,"31,29 ","11,62 ","25,82 ","36,19 ","59,11 ","118,93 ","70,16 ","86,19 "
    Manutenção do lar,"82,00 ","24,33 ","46,04 ","60,75 ","168,54 ","317,90 ","392,60 ","1.091,21 "
    Artigos de limpeza,"19,85 ","12,02 ","15,54 ","22,45 ","30,10 ","33,39 ","63,08 ","78,27 "
    Mobiliários e artigos do lar,"55,18 ","30,18 ","41,79 ","62,80 ","83,95 ","147,75 ","166,61 ","167,81 "
    Eletrodomésticos,"54,07 ","32,31 ","41,16 ","54,55 ","104,93 ","114,23 ","164,18 ","176,63 "
    Consertos artigos do lar,"4,29 ","1,35 ","3,08 ","4,80 ","8,31 ","10,73 ","23,02 ","15,61 "
   Vestuário,"155,36 ","64,62 ","110,88 ","191,74 ","274,00 ","363,89 ","510,83 ","780,64 "
    Roupa de homem,"38,26 ","16,33 ","28,00 ","46,99 ","70,49 ","100,05 ","96,02 ","191,12 "
    Roupa de mulher,"45,50 ","16,95 ","31,53 ","53,77 ","75,39 ","108,74 ","211,77 ","232,02 "
    Roupa de criança,"17,61 ","9,98 ","13,70 ","21,85 ","31,83 ","31,40 ","34,51 ","61,24 "
    Calçados e apetrechos,"45,32 ","19,35 ","33,31 ","58,81 ","76,03 ","101,61 ","126,17 ","228,51 "
    Jóias e bijuterias,"6,64 ","1,54 ","3,23 ","7,84 ","16,09 ","18,59 ","28,76 ","54,45 "
    Tecidos e armarinhos,"2,05 ","0,47 ","1,11 ","2,49 ","4,17 ","3,50 ","13,60 ","13,29 "
   Transporte,"489,24 ","126,02 ","229,88 ","479,69 ","915,63 ","1.839,22 ","3.131,58 ","3.608,14 "
    Urbano,"61,94 ","40,88 ","59,51 ","76,29 ","90,82 ","90,70 ","98,75 ","79,63 "
    Gasolina - veículo próprio,"112,56 ","33,35 ","65,06 ","122,61 ","258,19 ","352,76 ","456,00 ","758,64 "
    Álcool - veículo próprio,"3,98 ","0,37 ","0,49 ","3,46 ","10,31 ","37,48 ","20,23 ",-
    Manutenção e acessórios,"58,03 ","20,79 ","26,02 ","71,25 ","135,88 ","170,00 ","176,78 ","401,23 "
    Aquisição de veículos,"185,05 ","19,84 ","58,02 ","147,79 ","286,04 ","911,95 ","1.957,90 ","1.265,77 "
    Viagens esporádicas,"45,90 ","7,93 ","14,67 ","37,12 ","78,69 ","155,81 ","291,84 ","988,94 "
    Outras,"21,78 ","2,87 ","6,10 ","21,17 ","55,70 ","120,51 ","130,09 ","113,92 "
   Higiene e Cuidados Pessoais,"143,28 ","80,50 ","112,54 ","184,46 ","239,82 ","266,59 ","297,18 ","384,78 "
    Perfume,"49,94 ","26,07 ","39,10 ","71,97 ","77,78 ","91,88 ","95,91 ","80,67 "
    Produtos para cabelo,"17,31 ","9,95 ","13,71 ","20,00 ","34,20 ","23,76 ","45,36 ","59,44 "
    Sabonete,"8,63 ","5,39 ","7,66 ","9,94 ","12,36 ","19,20 ","16,09 ","24,33 "
    Instrumentos e produtos de uso pessoal,"67,40 ","39,10 ","52,06 ","82,55 ","115,47 ","131,75 ","139,82 ","220,34 "
   Assistência a saúde,"227,17 ","74,33 ","131,06 ","235,26 ","469,89 ","689,70 ","1.168,28 ","1.347,60 "
    Remédios,"105,64 ","53,43 ","84,87 ","123,04 ","177,71 ","217,42 ","362,54 ","296,77 "
    Plano/Seguro saúde,"72,99 ","4,51 ","17,31 ","44,73 ","199,25 ","328,04 ","685,43 ","801,63 "
    Consulta e tratamento dentário  ,"7,01 ","2,45 ","2,20 ","6,83 ","14,05 ","17,35 ","35,95 ","107,20 "
    Consulta médica,"12,33 ","4,73 ","10,50 ","16,56 ","20,70 ","45,66 ","13,35 ","28,52 "
    Tratamento médico e ambulatorial,"2,45 ","0,31 ","1,28 ","1,86 ","3,22 ","6,80 ","23,93 ","38,06 "
    Serviços de cirurgia,"4,63 ","0,16 ","0,63 ","13,99 ","0,20 ","14,71 ",-,"22,14 "
    Hospitalização,"0,20 ",-,-,"0,76 ",-,-,-,-
    Exames diversos,"7,28 ","3,91 ","4,54 ","11,25 ","10,15 ","24,82 ","4,50 ","4,91 "
    Material de tratamento,"13,65 ","4,43 ","9,04 ","15,04 ","41,61 ","33,56 ","39,49 ","47,77 "
    Outras,"0,98 ","0,39 ","0,69 ","1,18 ","2,99 ","1,32 ","3,09 ","0,60 "
    Educação,"135,18 ","31,76 ","74,94 ","149,10 ","302,11 ","374,02 ","501,00 ","1.661,75 "
    Cursos regulares,"40,44 ","7,66 ","18,85 ","39,89 ","114,24 ","104,80 ","127,83 ","675,25 "
    Cursos superiores,"26,02 ","0,64 ","13,76 ","30,29 ","71,17 ","117,33 ","71,19 ","293,17 "
    Outros cursos e atividades,"29,32 ","4,27 ","9,11 ","35,16 ","50,72 ","65,06 ","203,62 ","438,36 "
    Livros didáticos e revistas técnicas,"18,76 ","11,47 ","19,91 ","21,14 ","24,15 ","34,51 ","24,51 ","87,57 "
    Artigos escolares,"7,07 ","4,28 ","5,15 ","7,12 ","9,87 ","14,25 ","23,28 ","55,58 "
    Outras,"13,57 ","3,44 ","8,16 ","15,50 ","31,97 ","38,09 ","50,57 ","111,83 "
   Recreação e cultura,"72,99 ","18,97 ","42,58 ","76,43 ","142,40 ","256,61 ","324,00 ","678,43 "
    Brinquedos e jogos,"6,21 ","2,16 ","3,14 ","6,25 ","14,54 ","17,60 ","33,71 ","32,30 "
    Celular e acessórios,"33,70 ","11,95 ","28,77 ","36,87 ","69,10 ","119,13 ","99,33 ","68,72 "
"    Periódicos, livros e revistas não didáticos","3,45 ","0,61 ","1,85 ","3,19 ","8,53 ","11,84 ","16,98 ","39,42 "
    Recreações e esportes,"12,91 ","2,31 ","5,43 ","11,80 ","30,75 ","44,15 ","75,60 ","157,07 "
    Outras,"16,72 ","1,94 ","3,40 ","18,32 ","19,48 ","63,88 ","98,38 ","380,91 "
   Fumo,"12,78 ","9,38 ","11,26 ","17,99 ","14,15 ","20,64 ","10,19 ","1,59 "
   Serviços pessoais,"38,76 ","13,67 ","24,85 ","45,08 ","77,59 ","105,69 ","158,73 ","195,82 "
    Cabeleireiro,"25,13 ","10,36 ","18,41 ","30,16 ","49,48 ","55,07 ","82,42 ","115,98 "
    Manicuro e pedicuro,"6,19 ","1,28 ","2,94 ","6,73 ","15,22 ","22,52 ","30,98 ","38,59 "
    Consertos de artigos pessoais ,"1,78 ","0,90 ","1,21 ","3,00 ","2,93 ","0,83 ","4,05 ","2,30 "
    Outras,"5,67 ","1,13 ","2,28 ","5,19 ","9,97 ","27,27 ","41,27 ","38,95 "
   Despesas diversas,"63,47 ","20,06 ","33,78 ","63,51 ","158,58 ","162,20 ","250,78 ","655,95 "
    Jogos e apostas,"9,93 ","5,53 ","6,32 ","13,17 ","24,77 ","12,47 ","21,19 ","5,95 "
    Comunicação,"1,04 ","0,46 ","0,33 ","1,53 ","1,82 ","2,92 ","0,80 ","12,85 "
    Cerimônias e festas,"12,74 ","2,10 ","4,68 ","10,70 ","32,51 ","32,72 ","88,74 ","185,08 "
    Serviços profissionais,"12,45 ","4,00 ","4,55 ","10,78 ","16,63 ","47,09 ","69,06 ","214,63 "
    Imóveis de uso ocasional,"13,34 ","3,02 ","8,37 ","11,39 ","44,14 ","33,47 ","26,47 ","203,29 "
    Outras,"13,97 ","4,95 ","9,52 ","15,94 ","38,71 ","33,53 ","44,52 ","34,14 "
  Outras despesas correntes,"353,56 ","40,28 ","111,47 ","255,84 ","764,36 ","1.629,04 ","2.511,97 ","5.453,81 "
    Impostos,"114,34 ","9,69 ","20,92 ","54,02 ","216,67 ","582,14 ","1.004,99 ","2.448,99 "
    Contribuições trabalhistas,"116,69 ","14,21 ","46,37 ","103,49 ","277,15 ","503,81 ","706,03 ","1.342,24 "
