"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"647,17","425,72","583,43","760,46","1165,61","988,60","1723,31","2601,41"
 Alimentação no domicílio,"408,24","285,49","397,25","473,69","608,74","608,37","1222,34","886,17"
"  Cereais, leguminosas e oleaginosas","43,03","41,98","47,19","43,77","36,77","37,83","48,06","9,65"
   Arroz,"30,72","30,09","35,09","29,06","27,53","27,88","34,90","4,89"
   Feijão,"8,65","9,30","6,49","10,64","6,98","7,20","9,37","3,16"
   Orgânicos,"0,02",-,"0,07",-,-,-,-,-
   Outros,"3,65","2,59","5,55","4,07","2,26","2,75","3,79","1,60"
"  Farinhas, féculas e massas","20,30","15,23","19,02","24,15","28,57","31,98","51,03","20,44"
   Macarrão,"3,06","2,03","2,97","4,13","4,90","4,33","4,68",-
   Farinha de trigo,"0,42","0,13","0,25","0,87","1,03","0,47","1,08",-
   Farinha de mandioca,"2,62","1,80","3,34","2,90","3,20","4,10","3,63",-
   Outras,"14,20","11,26","12,45","16,25","19,44","23,08","41,63","20,44"
  Tubérculos e raízes,"5,28","2,11","5,93","7,31","8,68","11,90","12,03","15,37"
   Batata inglesa,"2,09","0,74","2,46","2,84","3,32","5,56","4,86","5,67"
   Cenoura,"0,97","0,33","0,72","1,64","2,41","1,49","3,37","2,45"
   Mandioca,"0,73","0,60","0,90","0,74","0,95","0,86","0,48",-
   Outros,"1,49","0,44","1,85","2,10","2,00","4,00","3,32","7,25"
  Açúcares e derivados,"12,45","10,47","11,16","13,28","15,33","25,42","29,18","14,76"
   Açúcar refinado,"1,34","1,67","0,95","0,93","1,65","2,27","1,63","0,72"
   Açúcar cristal,"5,60","5,37","6,18","5,04","5,80","6,58","8,59","4,05"
   Light e diet,-,-,-,-,-,-,-,-
   Outros,"5,51","3,43","4,03","7,32","7,88","16,57","18,96","9,99"
  Legumes e verduras,"22,62","16,90","22,25","26,87","31,34","29,22","51,11","39,63"
   Tomate,"7,98","5,10","8,40","9,96","12,61","10,30","16,45","14,65"
   Cebola,"4,06","3,07","4,11","5,10","4,51","4,83","8,20","7,21"
   Alface,"0,89","0,49","0,97","0,87","1,23","2,55","4,26","3,56"
   Outros,"9,69","8,24","8,77","10,94","13,00","11,54","22,19","14,21"
  Frutas,"27,56","16,86","25,88","33,29","51,26","44,30","77,69","79,55"
   Banana,"9,99","6,40","10,48","11,82","17,67","15,50","13,47","25,75"
   Laranja,"3,15","1,94","4,04","3,36","4,32","4,78","8,04","4,69"
   Maçã,"2,00","0,83","1,42","3,23","4,79","3,24","6,20","4,51"
   Outras frutas,"12,42","7,70","9,94","14,88","24,49","20,78","49,98","44,60"
"  Carnes, vísceras e pescados","105,48","67,38","112,02","136,75","146,09","131,64","259,50","137,97"
   Carne de boi de primeira,"31,49","18,09","29,24","37,34","56,74","60,12","133,06","69,82"
   Carne de boi de segunda,"13,44","7,95","19,83","14,27","20,89","5,87","27,40","5,76"
