"Tabela 1.3.11.3 - Despesa monetária e não monetária média mensal familiar, com alimentação,",,,,,,,,
"por classes de rendimento total e variação patrimonial mensal familiar, segundo os tipos de despesa,",,,,,,,,
com indicação do número e tamanho médio das famílias - Rio Grande do Norte - período 2017-2018,,,,,,,,
,,,,,,,(continua),
"Tipos de despesa,
número e tamanho médio
 das famílias","Despesa monetária e não monetária média mensal familiar, com alimentação (R$)                    ",,,,,,,
,Total                                                                           ,Classes de rendimento total e variação patrimonial mensal familiar (1)  ,,,,,,
,,Até 1 908        (2),"Mais de
1 908
a
2 862","Mais de
2 862
a
5 724","Mais de
5 724
a
9 540","Mais de
9 540
a
14 310","Mais de
14 310
a
23 850","Mais de
23 850"
Despesas com alimentação,"820,21","454,58","682,87","869,46","1309,22","1552,24","1642,62","3922,65"
 Alimentação no domicílio,"520,58","332,14","495,50","537,34","731,29","1030,22","862,95","1637,12"
"  Cereais, leguminosas e oleaginosas","23,63","22,15","23,37","23,81","28,32","26,93","19,18","23,91"
   Arroz,"9,75","8,40","10,25","11,33","11,42","8,21","3,19","3,07"
   Feijão,"10,70","11,06","11,47","9,61","12,17","10,60","5,74","9,70"
   Orgânicos,"0,04","0,09",-,"0,03",-,-,-,-
   Outros,"3,14","2,60","1,64","2,84","4,74","8,13","10,25","11,14"
"  Farinhas, féculas e massas","24,29","20,87","25,57","25,16","27,49","29,35","25,16","26,80"
   Macarrão,"6,69","6,39","7,01","7,06","7,79","4,97","3,76","1,92"
   Farinha de trigo,"0,79","0,92","0,46","1,10","0,32","0,68",-,"1,69"
   Farinha de mandioca,"2,94","3,35","3,76","2,80","1,13","2,63","0,81",-
   Outras,"13,87","10,21","14,35","14,20","18,24","21,07","20,59","23,19"
  Tubérculos e raízes,"8,47","5,39","7,14","8,71","14,10","15,37","18,87","22,01"
   Batata inglesa,"2,66","1,76","2,47","2,30","5,04","4,36","6,36","6,20"
   Cenoura,"1,80","1,23","1,74","1,50","2,77","4,15","3,44","6,45"
   Mandioca,"0,98","0,37","0,76","1,18","1,83","1,92","2,77","2,78"
   Outros,"3,04","2,03","2,16","3,72","4,45","4,93","6,30","6,58"
  Açúcares e derivados,"20,31","12,51","16,20","21,71","29,86","69,43","31,67","33,98"
   Açúcar refinado,"2,89","3,83","2,05","2,49","1,62","4,44","4,75","5,96"
   Açúcar cristal,"2,24","1,73","2,51","3,30","1,35","0,25","1,27","0,68"
   Light e diet,"0,15",-,"0,09","0,17",-,"1,50","0,62","1,04"
   Outros,"15,04","6,95","11,55","15,75","26,88","63,24","25,03","26,29"
  Legumes e verduras,"11,18","5,28","8,62","10,24","21,35","37,78","39,18","22,50"
   Tomate,"3,61","1,88","3,54","3,24","6,98","9,96","7,84","4,88"
   Cebola,"2,28","1,32","1,76","2,34","3,72","6,65","5,61","5,23"
   Alface,"0,73","0,26","0,54","0,65","0,95","3,69","3,95","2,10"
   Outros,"4,56","1,83","2,79","4,01","9,69","17,49","21,78","10,29"
  Frutas,"24,02","13,93","19,24","27,35","33,68","51,26","65,11","63,53"
   Banana,"5,77","3,54","6,27","6,20","5,62","9,59","18,55","9,90"
   Laranja,"2,17","1,53","1,96","2,37","2,91","1,65","6,53","4,68"
