"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"545,88","309,14","460,37","491,33","729,75","1837,96","663,94","898,32"
 Alimentação no domicílio,"476,55","288,61","403,45","409,13","610,10","1712,16","471,81","745,68"
"  Cereais, leguminosas e oleaginosas","32,97","30,27","33,87","32,61","45,41","28,44","32,99","14,09"
   Arroz,"19,87","18,36","22,98","17,87","24,53","19,16","22,26","10,88"
   Feijão,"10,85","10,03","10,12","11,87","16,54","6,15","9,17","1,73"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"2,26","1,88","0,77","2,86","4,34","3,13","1,55","1,47"
"  Farinhas, féculas e massas","21,98","17,14","26,58","19,04","37,12","20,61","11,92","20,63"
   Macarrão,"4,86","3,40","4,29","5,03","8,90","4,60","5,78","6,43"
   Farinha de trigo,"1,38","1,00","1,78","1,06","1,92","1,70","2,12","2,17"
   Farinha de mandioca,"2,82","2,74","3,20","1,86","5,19","2,26","0,81","2,45"
   Outras,"12,91","9,99","17,30","11,09","21,11","12,05","3,21","9,58"
  Tubérculos e raízes,"4,43","2,91","2,38","3,44","6,83","5,87","10,61","27,38"
   Batata inglesa,"2,35","1,75","1,42","1,15","2,20","3,51","3,98","25,60"
   Cenoura,"0,77","0,33","0,36","0,95","2,42","0,50","0,63","0,80"
   Mandioca,"0,47","0,23","0,22","0,21","0,99","1,55","2,49","0,39"
   Outros,"0,84","0,60","0,38","1,12","1,21","0,31","3,51","0,59"
  Açúcares e derivados,"15,52","10,31","20,69","15,82","14,86","21,69","15,76","30,82"
   Açúcar refinado,"2,29","2,56","1,80","4,09","0,17","1,41","0,18",-
   Açúcar cristal,"6,93","5,11","12,60","5,13","4,44","3,56","4,04","28,96"
   Light e diet,"0,04",-,-,"0,15",-,-,-,-
   Outros,"6,26","2,64","6,30","6,45","10,24","16,72","11,54","1,86"
  Legumes e verduras,"13,28","8,77","9,84","13,00","16,08","15,66","22,74","71,82"
   Tomate,"4,84","2,82","3,74","4,28","5,68","3,61","8,47","39,76"
   Cebola,"3,75","2,63","2,69","4,21","3,74","3,57","4,39","21,90"
   Alface,"0,85","0,55","0,56","0,91","1,35","2,40","1,09",-
   Outros,"3,85","2,76","2,84","3,60","5,31","6,08","8,80","10,16"
  Frutas,"13,14","9,77","13,28","8,29","21,60","30,61","27,80","3,99"
   Banana,"3,48","2,57","2,49","2,96","7,33","5,82","4,14","3,21"
   Laranja,"1,54","0,79","0,98","0,99","1,71","11,30",-,-
   Maçã,"1,21","1,34","1,64","0,55","1,66","0,82","2,21",-
   Outras frutas,"6,91","5,06","8,17","3,80","10,90","12,68","21,44","0,78"
"  Carnes, vísceras e pescados","92,81","58,09","84,79","89,87","148,05","124,07","147,86","231,09"
   Carne de boi de primeira,"22,01","8,69","16,58","18,65","26,18","45,86","65,28","144,48"
   Carne de boi de segunda,"19,15","16,03","28,22","16,68","24,62","9,13","9,03","23,34"
   Carne de suíno,"1,71",-,"3,91","2,48","1,58",-,"3,33","2,36"
   Carnes e peixes industrializados,"11,06","6,28","8,21","10,86","22,96","16,02","17,72","20,06"
   Pescados frescos,"11,66","8,20","9,40","14,20","16,56","16,76","9,37","17,44"
   Outros,"27,22","18,89","18,46","26,99","56,15","36,31","43,13","23,41"
  Aves e ovos,"44,82","31,11","47,52","54,37","59,00","44,40","23,51","70,41"
   Frango,"33,10","21,12","35,64","40,23","45,87","33,32","16,04","60,93"
   Ovo de galinha,"11,43","9,93","11,88","13,19","12,80","11,07","7,47","9,47"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"0,29","0,06",-,"0,94","0,33",-,-,-
  Leites e derivados,"42,72","28,20","41,13","34,07","72,63","98,01","45,34","56,26"
   Leite de vaca,"5,27","2,79","4,52","3,81","9,91","13,41","8,27","13,13"
   Leite em pó,"19,69","15,10","21,58","17,24","29,35","41,21","9,86","5,90"
   Queijos,"6,24","1,04","7,05","4,16","9,55","23,51","8,21","31,58"
   Light e diet,"0,09","0,06",-,-,-,"1,30",-,-
   Orgânicos,"0,05",-,-,-,"0,41",-,-,-
   Outros,"11,38","9,22","7,97","8,86","23,42","18,59","19,00","5,65"
  Panificados,"33,24","26,14","31,99","33,53","43,24","59,20","37,17","21,02"
   Pão francês,"21,95","18,49","20,11","23,42","26,22","35,15","20,99","17,52"
   Biscoito,"6,39","4,32","6,06","5,69","12,37","9,16","11,87",-
   Light e diet,"0,04",-,-,-,-,-,-,"1,48"
   Outros panificados,"4,88","3,32","5,81","4,41","4,65","14,89","4,31","2,02"
  Óleos e gorduras,"8,63","5,60","11,79","8,81","7,51","6,08","5,77","38,06"
   Óleo de soja,"7,08","4,92","11,34","7,80","4,18","3,78","4,37","21,35"
   Azeite de oliva,"0,87","0,24","0,24","0,82","1,09",-,-,"16,72"
   Outros,"0,68","0,44","0,21","0,18","2,24","2,30","1,40",-
  Bebidas e infusões,"27,75","14,81","23,10","25,18","43,96","77,18","52,30","36,75"
   Café moído,"9,48","7,29","12,01","8,31","11,84","10,50","17,20","6,72"
   Refrigerantes,"7,12","4,88","5,75","6,08","7,37","27,59","10,05","6,40"
   Bebidas não alcoólicas light e diet,-,-,-,-,-,-,-,-
   Cervejas e chopes,"3,63",-,"0,23","5,22","8,09","12,92","18,48",-
   Outras bebidas alcoólicas,"1,14","0,61","2,03","1,58","1,32",-,-,-
   Outras,"6,38","2,04","3,08","3,99","15,35","26,17","6,58","23,63"
  Enlatados e conservas,"2,64","0,92","1,79","3,74","5,49","4,48","2,38","3,29"
  Sal e condimentos,"8,90","4,51","7,06","9,12","17,14","14,63","16,64","15,57"
   Massa de tomate,"1,72","0,54","1,14","2,14","4,27","1,58","0,82","6,55"
   Maionese,"0,80","0,02","0,83","1,36","1,56","0,86","1,80",-
   Sal refinado,"0,49","0,38","0,65","0,60","0,40","0,26","0,84",-
   Outros,"5,90","3,56","4,43","5,03","10,91","11,92","13,17","9,02"
  Alimentos preparados,"8,11","5,83","8,74","13,09","0,68","10,50","9,61","14,20"
  Outros alimentos,"105,60","34,24","38,91","45,17","70,50","1150,73","9,43","90,30"
 Alimentação fora do domicílio,"69,34","20,53","56,91","82,19","119,65","125,80","192,13","152,64"
  Almoço e jantar,"53,68","12,60","41,46","62,46","93,35","107,17","161,65","151,57"
"  Café, leite, café/leite e chocolate","0,16","0,19",-,"0,16","0,45",-,-,-
  Sanduíches e salgados,"3,46","0,95","1,98","3,99","3,42","11,17","23,34",-
  Refrigerantes e outras bebidas não alcoólicas ,"0,96","0,71","0,44","1,03","1,12","2,25","3,16","1,07"
  Lanches,"2,45","0,27","1,36","3,61","9,94",-,-,-
"  Cervejas, chopes e outras bebidas alcoólicas ","3,98","0,75","9,41","3,19","9,41",-,-,-
  Alimentação light e diet,"0,02",-,-,"0,06",-,-,-,-
  Outras,"4,63","5,07","2,25","7,68","1,95","5,21","3,98",-
Número de famílias,137535,45276,26363,33524,16870,7733,4393,3376
Tamanho médio da família,"3,68","3,34","3,67","3,93","4,03","4,30","3,43","3,19"
