"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"6.312,16 ","1.750,16 ","2.644,07 ","3.879,87 ","6.502,80 ","9.863,26 ","15.476,89 ","30.480,76 "
 Despesas correntes,"5.879,88 ","1.700,77 ","2.547,87 ","3.716,45 ","6.171,34 ","9.358,18 ","14.162,14 ","26.657,44 "
  Despesas de consumo,"5.080,59 ","1.622,83 ","2.385,59 ","3.407,82 ","5.482,53 ","7.889,36 ","11.609,77 ","21.056,24 "
   Alimentação,"751,62 ","297,23 ","388,88 ","589,26 ","847,41 ","1.207,80 ","1.515,31 ","2.217,69 "
   Habitação,"2.002,55 ","799,87 ","1.112,31 ","1.407,91 ","1.985,67 ","3.000,47 ","4.596,64 ","7.698,88 "
    Aluguel,"1.071,16 ","450,54 ","633,83 ","773,79 ","1.088,85 ","1.566,97 ","2.315,58 ","3.910,67 "
     Aluguel monetário,"157,22 ","144,36 ","153,44 ","125,15 ","164,91 ","160,15 ","338,28 ","184,58 "
     Aluguel não monetário,"913,94 ","306,18 ","480,39 ","648,64 ","923,94 ","1.406,82 ","1.977,31 ","3.726,08 "
    Condomínio,"110,93 ","7,69 ","20,35 ","26,06 ","80,53 ","204,94 ","386,88 ","938,80 "
    Serviços e taxas,"431,60 ","211,29 ","275,51 ","373,99 ","490,24 ","629,65 ","750,36 ","975,78 "
     Energia elétrica,"124,74 ","76,20 ","92,01 ","117,14 ","140,48 ","160,87 ","179,68 ","222,85 "
     Telefone fixo,"12,07 ","5,55 ","8,70 ","12,96 ","13,28 ","15,54 ","15,36 ","18,81 "
     Telefone Celular,"69,69 ","22,49 ","36,18 ","50,78 ","83,96 ","113,52 ","129,23 ","237,13 "
"     Pacote de telefone, TV e Internet","85,04 ","17,76 ","29,42 ","59,30 ","99,39 ","163,01 ","217,23 ","276,59 "
     Gás doméstico,"38,86 ","30,49 ","33,65 ","38,02 ","38,97 ","43,33 ","45,03 ","69,13 "
