"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesa total,"2.552,53 ","1.403,54 ","2.197,62 ","3.240,34 ","4.755,94 ","6.220,77 ","9.717,67 ","13.519,88 "
 Despesas correntes,"2.426,93 ","1.353,26 ","2.096,05 ","3.088,95 ","4.486,61 ","5.892,23 ","9.470,43 ","10.530,21 "
  Despesas de consumo,"2.139,12 ","1.245,82 ","1.913,33 ","2.802,40 ","3.757,47 ","4.830,56 ","7.108,77 ","7.128,21 "
   Alimentação,"294,00 ","181,80 ","295,17 ","351,87 ","514,12 ","697,99 ","770,28 ","709,70 "
   Habitação,"842,98 ","545,33 ","733,14 ","1.123,58 ","1.400,78 ","1.558,67 ","2.207,58 ","3.165,85 "
    Aluguel,"418,49 ","281,57 ","375,52 ","583,31 ","608,69 ","766,06 ","838,66 ","1.128,58 "
     Aluguel monetário,"32,96 ","32,21 ","24,77 ","36,63 ","3,54 ","127,11 ","66,28 ","163,28 "
     Aluguel não monetário,"385,53 ","249,36 ","350,75 ","546,67 ","605,15 ","638,95 ","772,37 ","965,30 "
    Condomínio,"0,83 ",-,-,"3,72 ",-,-,-,-
    Serviços e taxas,"265,11 ","179,21 ","240,52 ","340,82 ","471,94 ","491,32 ","557,28 ","614,35 "
     Energia elétrica,"109,70 ","67,06 ","97,94 ","146,33 ","213,27 ","214,92 ","261,26 ","294,36 "
     Telefone fixo,"2,37 ","0,48 ","2,41 ","4,19 ","6,41 ","10,12 ","1,53 ",-
     Telefone Celular,"16,27 ","10,11 ","17,32 ","20,47 ","29,46 ","21,08 ","38,42 ","21,92 "
"     Pacote de telefone, TV e Internet","13,36 ","5,19 ","7,58 ","23,35 ","35,72 ","50,65 ","20,60 ","73,17 "
     Gás doméstico,"42,32 ","37,32 ","46,48 ","43,49 ","40,39 ","49,46 ","77,40 ","54,43 "
     Água e esgoto,"61,77 ","50,87 ","52,06 ","73,44 ","97,60 ","105,01 ","114,73 ","102,98 "
     Outros,"19,31 ","8,20 ","16,72 ","29,55 ","49,10 ","40,08 ","43,32 ","67,49 "
    Manutenção do lar,"64,06 ","21,90 ","27,75 ","87,33 ","157,07 ","214,75 ","571,96 ","525,29 "
    Artigos de limpeza,"12,26 ","7,99 ","10,77 ","10,52 ","44,96 ","7,17 ","12,05 ","124,82 "
    Mobiliários e artigos do lar,"34,73 ","22,53 ","37,89 ","37,59 ","44,67 ","31,77 ","66,12 ","473,87 "
    Eletrodomésticos,"45,01 ","30,81 ","37,52 ","57,86 ","71,48 ","38,99 ","146,25 ","298,94 "
    Consertos artigos do lar,"2,50 ","1,32 ","3,18 ","2,45 ","1,97 ","8,60 ","15,27 ",-
   Vestuário,"83,95 ","55,57 ","74,35 ","108,12 ","144,97 ","108,55 ","181,38 ","556,33 "
    Roupa de homem,"25,12 ","16,08 ","21,34 ","38,19 ","34,25 ","43,25 ","41,31 ","122,85 "
    Roupa de mulher,"26,32 ","18,84 ","20,58 ","31,98 ","45,42 ","27,07 ","48,90 ","319,56 "
    Roupa de criança,"10,47 ","6,78 ","12,97 ","12,18 ","21,08 ","1,01 ","12,85 ","16,11 "
    Calçados e apetrechos,"18,86 ","12,77 ","16,78 ","23,11 ","37,73 ","28,65 ","37,74 ","84,91 "
    Jóias e bijuterias,"2,53 ","0,85 ","2,02 ","1,85 ","5,81 ","7,52 ","33,84 ","12,61 "
    Tecidos e armarinhos,"0,65 ","0,26 ","0,66 ","0,81 ","0,69 ","1,05 ","6,73 ","0,29 "
   Transporte,"492,32 ","213,66 ","408,45 ","727,63 ","859,58 ","1.570,47 ","2.291,19 ","1.279,55 "
    Urbano,"24,94 ","18,76 ","19,87 ","39,59 ","37,78 ","38,76 ","7,43 ",-
    Gasolina - veículo próprio,"125,20 ","60,71 ","117,66 ","151,11 ","322,59 ","358,57 ","355,10 ","394,32 "
    Álcool - veículo próprio,"0,88 ","0,57 ",-,"0,12 ","9,94 ",-,-,-
    Manutenção e acessórios,"49,22 ","28,36 ","28,44 ","73,70 ","108,74 ","160,17 ","168,91 ","72,26 "
    Aquisição de veículos,"228,13 ","77,53 ","188,20 ","384,41 ","158,38 ","863,59 ","1.544,72 ","790,14 "
    Viagens esporádicas,"40,11 ","17,19 ","39,27 ","40,38 ","178,33 ","46,48 ","101,92 ","17,60 "
    Outras,"23,83 ","10,54 ","15,00 ","38,32 ","43,82 ","102,90 ","113,11 ","5,23 "
   Higiene e Cuidados Pessoais,"94,87 ","67,14 ","86,37 ","124,99 ","166,80 ","128,84 ","154,81 ","216,15 "
    Perfume,"38,37 ","27,46 ","27,98 ","51,30 ","75,48 ","90,59 ","73,26 ","77,25 "
    Produtos para cabelo,"9,90 ","6,78 ","10,62 ","13,96 ","12,01 ","4,58 ","17,89 ","17,95 "
    Sabonete,"5,75 ","4,73 ","5,29 ","7,48 ","7,26 ","5,08 ","7,74 ","12,11 "
    Instrumentos e produtos de uso pessoal,"40,85 ","28,17 ","42,49 ","52,25 ","72,05 ","28,59 ","55,92 ","108,83 "
   Assistência a saúde,"134,27 ","85,79 ","147,27 ","128,13 ","245,50 ","212,76 ","568,65 ","366,91 "
    Remédios,"86,62 ","62,36 ","117,55 ","68,66 ","136,86 ","142,60 ","206,28 ","49,50 "
    Plano/Seguro saúde,"8,99 ","1,18 ","1,09 ","7,65 ","43,51 ","18,07 ","123,13 ","179,94 "
    Consulta e tratamento dentário  ,"2,20 ","1,04 ","1,12 ","3,77 ","1,75 ","18,90 ",-,"24,36 "
    Consulta médica,"15,85 ","9,15 ","10,57 ","18,50 ","26,20 ","17,35 ","132,75 ","113,11 "
    Tratamento médico e ambulatorial,"0,36 ",-,"0,70 ","0,84 ",-,-,-,-
    Serviços de cirurgia,"3,47 ","1,53 ","2,15 ","5,58 ",-,-,"53,02 ",-
    Hospitalização,-,-,-,-,-,-,-,-
    Exames diversos,"8,92 ","4,90 ","3,91 ","12,99 ","30,23 ","6,78 ","49,83 ",-
    Material de tratamento,"7,11 ","4,25 ","10,13 ","9,44 ","6,94 ","9,06 ","3,63 ",-
    Outras,"0,75 ","1,39 ","0,04 ","0,71 ",-,-,-,-
    Educação,"68,29 ","18,89 ","37,18 ","97,31 ","200,93 ","292,53 ","431,09 ","415,94 "
    Cursos regulares,"10,15 ","0,01 ","19,17 ","14,01 ","22,64 ",-,"23,32 ","63,72 "
    Cursos superiores,"40,22 ","8,31 ","8,20 ","63,16 ","133,31 ","225,67 ","337,36 ","177,27 "
    Outros cursos e atividades,"8,38 ","2,72 ","2,88 ","9,48 ","32,02 ","58,85 ","49,39 ","41,35 "
    Livros didáticos e revistas técnicas,"2,00 ","1,94 ","0,80 ","2,94 ","2,77 ","0,07 ","7,09 ","2,55 "
    Artigos escolares,"4,17 ","3,17 ","4,42 ","3,73 ","9,17 ","2,17 ","13,24 ","6,30 "
    Outras,"3,37 ","2,74 ","1,70 ","4,00 ","1,02 ","5,77 ","0,69 ","124,75 "
   Recreação e cultura,"52,48 ","42,84 ","45,76 ","66,49 ","77,21 ","82,62 ","61,03 ","100,78 "
    Brinquedos e jogos,"1,97 ","0,46 ","1,67 ","3,11 ","7,20 ","2,45 ","5,83 ","9,43 "
    Celular e acessórios,"42,50 ","38,04 ","37,11 ","54,25 ","48,71 ","50,14 ","38,61 ","64,85 "
"    Periódicos, livros e revistas não didáticos","0,67 ","0,08 ","0,57 ","1,31 ","0,96 ","3,47 ","1,28 ","8,76 "
    Recreações e esportes,"4,93 ","3,31 ","4,92 ","5,33 ","13,97 ","6,59 ","2,15 ","14,23 "
    Outras,"2,42 ","0,95 ","1,50 ","2,49 ","6,36 ","19,97 ","13,16 ","3,52 "
   Fumo,"9,86 ","10,68 ","2,94 ","14,32 ","13,29 ","15,72 ","13,84 ","6,34 "
   Serviços pessoais,"18,78 ","10,71 ","18,51 ","21,34 ","38,14 ","37,56 ","63,97 ","89,63 "
    Cabeleireiro,"13,56 ","8,16 ","12,77 ","16,15 ","27,31 ","28,36 ","37,64 ","56,70 "
    Manicuro e pedicuro,"2,95 ","1,69 ","2,23 ","3,81 ","4,80 ","8,29 ","15,86 ","9,61 "
    Consertos de artigos pessoais ,"1,03 ","0,44 ","2,11 ","0,66 ","0,97 ",-,-,"19,85 "
    Outras,"1,24 ","0,41 ","1,41 ","0,71 ","5,06 ","0,91 ","10,47 ","3,47 "
   Despesas diversas,"47,31 ","13,41 ","64,21 ","38,62 ","96,15 ","124,86 ","364,93 ","221,02 "
    Jogos e apostas,"3,56 ","2,36 ","3,71 ","4,92 ","3,14 ","5,47 ","10,30 ","5,16 "
    Comunicação,"0,82 ","0,27 ","1,93 ","0,80 ","0,21 ","0,11 ","1,34 ",-
    Cerimônias e festas,"4,24 ","1,25 ","3,12 ","6,14 ","4,80 ","26,78 ","16,08 ","70,25 "
    Serviços profissionais,"17,75 ","4,56 ","36,20 ","10,03 ","47,87 ","75,50 ","0,20 ","1,99 "
    Imóveis de uso ocasional,"11,98 ","1,97 ","8,72 ","5,45 ","25,46 ",-,"312,56 ",-
    Outras,"8,97 ","3,00 ","10,54 ","11,29 ","14,66 ","16,99 ","24,46 ","143,61 "
  Outras despesas correntes,"287,80 ","107,45 ","182,72 ","286,55 ","729,14 ","1.061,67 ","2.361,66 ","3.402,00 "
    Impostos,"135,25 ","65,80 ","87,70 ","119,85 ","346,85 ","561,54 ","768,06 ","1.886,06 "
    Contribuições trabalhistas,"90,56 ","20,88 ","65,50 ","121,12 ","255,47 ","450,24 ","338,79 ","1.156,07 "
    Serviços bancários,"11,34 ","5,03 ","10,57 ","12,59 ","38,91 ","12,76 ","40,17 ","54,99 "
"    Pensões, mesadas e doações","15,11 ","6,10 ","8,38 ","13,74 ","35,97 ",-,"261,43 ",-
    Previdência privada,"0,27 ",-,-,"0,38 ","2,96 ",-,-,-
    Outras,"35,29 ","9,63 ","10,57 ","18,88 ","48,97 ","37,13 ","953,22 ","304,87 "
 Aumento do ativo,"48,24 ","16,79 ","40,07 ","74,73 ","85,21 ","27,28 ","23,89 ","1.443,29 "
   Imóvel (aquisição),"14,76 ","0,10 ","1,27 ","35,53 ","21,12 ","6,58 ",-,"885,46 "
   Imóvel (reforma),"33,22 ","16,70 ","38,02 ","39,20 ","64,08 ","17,79 ","23,89 ","557,83 "
  Outros investimentos,"0,26 ",-,"0,78 ",-,-,"2,92 ",-,-
 Diminuição do passivo,"77,36 ","33,48 ","61,50 ","76,66 ","184,12 ","301,25 ","223,34 ","1.546,38 "
   Empréstimo,"63,75 ","32,94 ","58,17 ","46,44 ","161,74 ","221,85 ","223,34 ","1.059,03 "
   Prestação de imóvel,"13,61 ","0,55 ","3,33 ","30,21 ","22,38 ","79,40 ",-,"487,34 "
Número de famílias,484676,202870,121393,108105,29871,10082,9595,2760 
Tamanho médio da família,"3,17","2,83","3,25","3,49","3,76","3,48","3,43","3,01"
